1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,233,235,237,239,241,243,245,247,249,251,253,255,257,259
ท่าปล่อยรถ รพ.สงฆ์,ตรงข้ามโรงเรียนสันติราษฎร์วิทยาลัย,สำนักงานเขตราชเทวี,กรมแพทย์ทหารบก,อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),ตรงข้ามสวนสันติภาพ,สำนักงาน ป.ป.ส.,โรงพยาบาลทหารผ่านศึก,ตรงข้ามโรงเรียนสุรศักดิ์มนตรี,ตรงข้ามมหาวิทยาลัยหอการค้าไทย,สนามกีฬากองทัพบก,สโมสรทหารบก,บริษัทกรุงเทพธุรภัณฑ์กรุ๊ปจำกัด,แยกสุทธิสาร(ถนนวิภาวดีรังสิตขาออก),อาคารอมตะตึกสีม่วง,"วิภาวดีซอย3,ตรงข้ามซอยโชคชัยร่วมมิตร",ซอยวิภาวดี 5,ตรงข้ามบริษัทการบินไทย(สำนักงานใหญ่),ไทยรัฐ,อาคารซันทาวเวอร์,ตรงข้ามโรงเรียนเซนต์จอห์น,ป้ายรถประจำทาง MRT พหลโยธิน(ทางออก3),แยกลาดพร้าว(ซอยลาดพร้าว 1),ตรงข้ามสงวนซาวต์ออโต้แคร์,ตรงข้ามธนาคารไทยพาณิชย์ลาดพร้าว,บิ๊กซีลาดพร้าว,"ซอยลาดพร้าว 17, ป้ายรถประจำทาง MRT ลาดพร้าว ,ลาดพร้าว 19",แยกลาดพร้าว-รัชดา(ซอยลาดพร้าว 25),"ซอยลาดพร้าว 31,ตรงข้ามซอยลาดพร้าว 40",ซอยลาดพร้าว 35,ซอยภาวนาลาดพร้าว 41,ซอยลาดพร้าว 41/1,ตรงข้ามโรงเรียนพิบูลย์อุปถัมภ์,ลาดพร้าวสะพาน 2,สถานีตำรวจโชคชัย,"ตรงข้ามตลาดโชคชัย 4,ซอยลาดพร้าว 58",ตรงข้ามโรงเรียนถนอมพิศ,ศึกษาภัณฑ์ลาดพร้าว,ไปรษณีย์ลาดพร้าว,"ซอยลาดพร้าว 67,ตรงข้ามซอยลาดพร้าว 80",ตรงข้ามแกรนด์วิลเลจ,"ซอยลาดพร้าว 79,ตรงข้ามแมงป่อง",อิมพิเรียลลาดพร้าว,สำนักงานเขตวังทองหลาง,ตรงข้ามโรงเรียนบางกอกศึกษา,ซอยลาดพร้าว 93,ฟู้ดแลนด์,โรงพยาบาลลาดพร้าว,โรงเรียนภาษาอังกฤษสันติ,ร้านอาหารทิพวรรณ,ซอยลาดพร้าว 101,โรงเรียนเตรียมศึกษาบางกะปิ,ซอยลาดพร้าว 107,เวชธานี,ซอยลาดพร้าว 111,เอ็นมาร์คพลาซ่า(น้อมจิตต์),โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,"บริษัทโอสถสภา,ซอยรามคำแหง 26/1","สถานีตำรวจหัวหมาก,สนามกีฬาหัวหมาก",ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,"ตรงข้ามฟู้ดแลนด์,เพอร์เฟคเพลส",โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,"คลองตัน,ซอยพัฒนาการ 1",โรงเหล้าตะวันแดง(พัฒนาการซอย7),ตรงข้ามซอยสวนหลวง,ตรงข้ามศูนย์อีซูซุพัฒนาการ,ท่ารถสาย 92 พัฒนาการ,"ซอยพัฒนาการ 27,ตรงข้ามหมู่บ้านแหลมทอง",ตรงข้ามโรงเรียนอนุบาลสายทิพย์,คลองลาว(พัฒนาการ 35),มหาวิทยาลัยเกษมบัณฑิต(ถนนพัฒนาการขาออก),เทสโก้โลตัสพัฒนาการ,โรงพยาบาลวิภาราม,"ตรงข้ามโรงเรียนเตรียมพัฒนาการ,พัฒนาการ53",ตรงข้ามตลาดพัฒนาการ,หมู่บ้านผาสุกนิเวศน์,บริษัทพัฒนาการถาวร(ขาออก),"โรงเรียนงามมานะ,ปั๊มบางจาก",ตรงข้ามบริษัท Scs,สุเหร่าทางควาย,หมู่บ้านชมเดือนอ่อนนุช 59/1,ซอยอ่อนนุช 63,"ซอยอ่อนนุช 65,ห้องอาหารเงิน",วัดกระทุ่มเสือปลา,"ซอยอ่อนนุช 67/2,อ่อนนุช 69",แยกประเวศ(ซอยอ่อนนุช 73/1),ลานกีฬาสุขภาพ,ตรงข้ามแยกแม็คอ่อนนุช-สุขาภิบาล 2,ตรงข้ามโรงพยาบาลสิรินธร,ศุภาลัยสุวรรณภูมิ,โรงเรียนพร้อม,วัดลานบุญ(วัด1),ซอยศรีสวัสศิริ 2,"แยกกิ่งแก้ว,วัดสังฆราชา",แยกกิ่งแก้วปั้มเอสโซ่,แยกร่มเกล้า-ลาดกระบัง,ตรงข้ามสถานีลาดกระบัง,หมู่บ้านรุ่งกิจวิลล่า 5,แอร์ลิงค์คอนโด,บริษัทเอสซีจีแลนด์สเคป,ตรงข้ามร่มเกล้า 25/2,ตรงข้ามวัดบำรุงรื่น,ตรงข้ามโรงเรียนเทพศิรินทร์ร่มเกล้า,ท่อน้ำสากล,โรงเรียนสารสาสน์วิเทศร่มเกล้า,หมู่บ้านรุ่งกิจวิลล่า 7,ซอยร่มเกล้า 40,หมู่บ้านรุ่งกิจวิลล่า 14,บ้านพาราไดซ์,รุ่งกิจวิลล่า11,หมู่บ้านเวร่า,ซอยร่มเกล้า 26,แนชั่นแนลเฟอร์นิเจอร์,แยกการเคหะร่มเกล้า,ตรงข้ามวัดปากบึง เคหะร่มเกล้า,ตรงข้ามสถานีตำรวจร่มเกล้า,การเคหะร่มเกล้าตลาดเกรียงไกร,,,,,,
บริษัทไทยยานยนตร์ร่มเกล้า,นครินทร์การ์เด้นท์(ซอย 19/1),ซอยร่มเกล้า 19/3,หมู่บ้านศิรินทรา(ซอย 19/7),ซอยร่มเกล้า 21/2,แยกเจ้ากรีฑา,โฮมมาร์ทร่มเกล้า,ร่มเกล้า 21/6,ตรงข้ามโรงเรียนสารสาสน์วิเทศร่มเกล้า,ร่มเกล้า21/9,โรงเรียนเทพศิรินทร์ร่มเกล้า,วัดบำรุงรื่น(ซ.25),ซอยร่มเกล้า 25/2,หมู่บ้านสราญวงศ์(ซ.25/3),หมู่บ้านร่มฤดี(ซ.25/5),ร่มสุขวิลเลจ 4 (ซอย 25/7),สถานีลาดกระบัง,ซอยลาดกระบัง 32,แยกกิ่งแก้ว(มาร์เก็ตแลนด์),ดิยูโรเปี้ยนทาวน์,ตรงข้ามวัดลานบุญ,หมู่บ้านไทยสมุทร,ซอยลาดกระบัง 14,โรงพยาบาลสิรินธร,แยกอ่อนนุช-สุขาภิบาล 2,ซอยอ่อนนุช 88,โรงงานขยะอ่อนนุช,ซอยอ่อนนุช 84,ซอยอ่อนนุช 82/1,ตรงข้ามหมู่บ้านชมเดือน 3,"เทสโก้โลตัส,ซอยอ่อนนุช 80",ซอยอ่อนนุช 76,แยกอ่อนนุช-พัฒนาการ,บริษัทพัฒนาการถาวร(ขาเข้า),ตรงข้ามหมู่บ้านผาสุกนิเวศน์,ตลาดพัฒนาการซอย 70,เขตสวนหลวง,โรงเตรียมอุดมศึกษาพัฒนาการ,ตรงข้ามโรงพยาบาลวิภาราม,แยกพัฒนาการ(ถนนศรีนครินทร์ขาเข้า),ศูนย์อนามัย 37,หมู่บ้านเคหะนคร3ตรงข้ามโลตัส,ตรงข้ามหมู่บ้านปรีชา 3,ซอยพัฒนาการ 44,ตรงข้ามมหาวิทยาลัยเกษมบัณฑิตพัฒนาการ,ซอยพัฒนาการ 36,ซอยนาคนาวา(พัฒนาการ 32-34),โรงเรียนอนุบาลสายทิพย์,หมู่บ้านแหลมทอง,สำนักงานไปรษณีย์พัฒนาการ,ศูนย์อีซูซุพัฒนาการ,ซอยพัฒนาการ 20,ซอยสวนหลวง,อิสานตะวันแดง(ซอย 12),"ซอยพัฒนาการ 10,แยกคลองตัน",ยูเอ็มทาวน์เวอร์คลองตัน,การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),"ฟู้ดแลนด์,เพอร์เฟคเพลส(รามคำแหง7)","โรงเรียนอนุบาลใจทิพย์,เดอะมอลล์รามคำแหง 3","บิ๊กซีราม,หมู่บ้านเสรี","โรงเรียนวัดเทพลีลา,เมเจอร์รามคำแหง",โรงเรียนวัดเทพลีลา,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,"ซอยรามคำแหง 77,ตรงข้ามโอสถสภารามคำแหง",ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),"ซอยรามคำแหง 83/2,โรงแรมแอนดา",โรงแรมอเล็กซานเดอร์,เดอะมอลล์บางกะปิ,"แม็คโครลาดพร้าว,ตะวันนา2",การไฟฟ้าสถานีย่อยคลองจั่น,ตรงข้ามโรงพยาบาลเวชธานี,ซอยลาดพร้าว 130 (วัดกลาง),"ซอยลาดพร้าว 130/1,ตรงข้ามวิสุทธานี",ตรงข้ามซอยลาดพร้าว 101,ร้านอาหารทิพวรรณ(ซอยกัณฑ์พร),ซอยลาดพร้าว 122,ตรงข้ามโรงพยาบาลลาดพร้าว,ตรงข้ามฟู้ดแลนด์,"ซอยลาดพร้าว 114,โรงเรียนบางกอกศึกษา",โรงเรียนบางกอกศึกษา(ลาดพร้าว112),ตรงข้ามสำนักงานเขตวังทองหลาง,ตรงข้ามอิมพิเรียลลาดพร้าว,ซอยลาดพร้าว 92,ตรงข้ามซอยลาดพร้าว 71,ซอยลาดพร้าว 80,ตรงข้ามไปรษณีย์ลาดพร้าว(ลาดพร้าว72),"ซอยลาดพร้าว64,ตรงข้ามศึกษาภัณฑ์พาณิชย์",กรมแผนที่ทหาร,"ตรงข้ามตลาดโชคชัย 4,ซอยลาดพร้าว 58",ตรงข้ามตลาดสะพาน 2,โรงเรียนพิบูลย์อุปถัมภ์,ซอยภาวนา,ซอยลาดพร้าว 42,"ซอยลาดพร้าว 40,ศิริชัยไก่ย่าง",ซอยลาดพร้าว 34,ตรงข้ามบ้านกลางเมือง ลาดพร้าว,ซอยลาดพร้าว 28,ป้ายรถประจำทาง MRT ลาดพร้าว,ซอยลาดพร้าว 26,ซอยลาดพร้าว 22,ซอยลาดพร้าว 20,ซอยลาดพร้าว 14,"ซอยลาดพร้าว 12,ตรงข้ามบิ๊กซีลาดพร้าว",ธนาคารไทยพาณิชย์สาขาลาดพร้าว,ตรงข้ามอาคารพร้อมพันธ์,แยกลาดพร้าว(ลาดพร้าวซอย4),ปากทางลาดพร้าว-วิภาวดีรังสิต,โรงเรียนเซนต์จอห์น,บริษัทมหานคร,การบินไทย(สำนักงานใหญ่),"ซอยบัวสุวรรณ,ธนาคารกรุงเทพ","ซอยวิภาวดี 18,ตึกวรสิน",ซอยโชคชัยร่วมมิตร,"ซอยวิภาวดี 14,ก่อนถึงแยกสุทธิสาร",แยกสุทธิสาร(ดับเพลิง),ศูนย์ฝึกรักษาดินแดน,มหาวิทยาลัยหอการค้าไทย,โรงเรียนสุรศักดิ์มนตรี,ตรงข้ามโรงพยาบาลทหารผ่าศึก,ตลาดศรีวานิช,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,องค์การเภสัชกรรม,กระทรวงอุตสาหกรรม,โรงพยาบาลสงฆ์,ท่าปล่อยรถ รพ.สงฆ์
