1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123
"ศูนย์ฟอร์ดบรมราชชนนี,ตรงข้ามโรงพยาบาลเจ้าพระยา",กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,แยกบรมราชชนนี (ขาเข้า),พาต้าปิ่นเกล้า,ซอยสมเด็จพระปิ่นเกล้า 3,พระอาทิตย์,ป้อมพระสุเมรุ,แยกบางลำพู 1,สำนักงานเขตพระนคร,วัดสามพระยา,ธนาคารแห่งประเทศไทย,มทร.พระนครศูนย์เทเวศร์,หอสมุดแห่งชาติ,วัดราชาธิวาสราชวรวิหาร,โรงเรียนเซนต์คาเบรียล,โรงพยาบาลวชิรพยาบาล,"วิทยาลัยอาชีวศึกษาอาชีวศิลป์,ตรงข้ามตลาดศรีย่าน","กรมชลประทาน,ศรีย่าน","แม็คโครบางกะบือ,ซอยสามเสน 25",กองพันทหารม้าที่ 4 รักษาพระองค์,ตรงข้ามสถานีวิทยุยานเกราะ,โรงเรียนโยธินบูรณะ,ตรงข้ามวัดประดู่,"ประชาราษฎร์ 1 ซอย7/1,ตรงข้ามสถานีดับเพลิงบางโพ","สี่แยกบางโพ,โรงพยาบาลบางโพ",ตรงข้ามโรงเรียนเทพสัมฤทธิ์,ซอยเยาวพา,ตรงข้ามตลาดเตาปูน,"ประชานฤมิตร,ธนาคารกสิกรไทย,ประชาคม,กรุงเทพ-นนทบรุี 5","ซอยกรุงเทพ-นนทบุรี 13,ซอยไสวสุวรรณ","สถานีตำรวจเตาปูน,ซอยกรุงเทพ-นนทบุรี 17","วัดเชิงหวาย,ซอยกรุงเทพ-นนทบุรี 21/1",โรงงานทอผ้า,"ตลาดบางซ่อน,ซอยกรุงเทพ-นนทบุรี 25",ซอยกรุงเทพ-นนทบุรี 29,ตรงข้ามกรมยุทธบริการ(ขาออก),ตรงข้ามกรมยุทธทหาร,"บางซ่อน, วงศ์สว่าง",ตรงข้ามซอยกรุงเทพ-นนทบุรี 56,ซอยกรุงเทพ-นนทบุรี 43,ตรงข้ามวัดทางหลวง,โรงพยาบาลสัตว์กรุงเทพ-นนท์,ซอยกรุงเทพ-นนทบุรี 11,โรงเรียนวัดลานนาบุญ,"ซอยประชาราษฎร์ 3, อู่สายพิน","หมู่บ้านช.รุ่งเรือง 4,โรงเรียนนนทบุรีคริสเตียนวิทยา",ตรงข้ามวัดทินกร,ซอยประชาราษฎ์ 11,เมเจอร์นนทบุรี,ธนาคารกรุงศรีอยุธยา(ถนนพิบูลสงครามขาเข้า),โรงเรียนการัญศึกษา,ตรงข้ามวัดนครอินทร์,วัดกำแพง(ขาเข้า),ปั๊มน้ำมัน Esso,สวิตบาร์,ตรงข้ามคอนโดริเวอร์ไรน์,ซอยพิลบูลสงคราม 14,ตรงข้ามวัดเขมา,ตรงข้ามโรงเรียนสตรีนนทบุรี-วัดปากน้ำ
โรงเรียนสตรีนนทบุรี-วัดปากน้ำ,โรงเรียนเขมพิทยา,"ตรงข้ามหมู่บ้านพิบูลย์การ์เดน,ซอยแสงเสนีย์1","คอนโดริเวอร์ไร,แฟรกส์บาร์,",สวนอาหารนัดพบ,ตรงข้ามวัดกำแพง,วิทยาลัยพาณิชย์พงษ์สวัสดิ์เทคโนโลยี,ตลาดนนท์,"โรงเรียนเทศบาล 2,วัดทินกรนิมิต","ซอยประชาราษฏร์ 16/1,ตรงข้ามโรงเรียนคริสเตียนวิทยา",ตรงข้ามโรงเรียนวัดลานนาบุญ,ธนาคารซีไอเอ็มบีไทย,ซอยกรุงเทพ-นนท์ 14,ซอยศิริชัย 1/1,โรงเรียนเขมวิทยา,วัดทางหลวง,ตรงข้ามซอยกรุงเทพ-นนท์ 43,ซอยกรุงเทพ-นนทบุรี 56,กรมยุทธบริการ,"ซอยกรุงเทพ-นนทบุรี 44,ตรงข้ามซอยสมถวิล","ดีสแควร์,ครัวคุณสุ,โรงเรียนอนุบาลพิริยะโยธิน","ตลาดบางซ่อน,ถนนกรุงเทพ-นนทบุรี 25","ตรงข้ามโรงงานทอผ้า,ซอยกรุงเทพ-นนทบุรี 34","ตรงข้ามวัดเชิงหวาย,ไปรษณีย์บางซื่อ",สถานีตำรวจเตาปูนซอยกรุงเทพ-นนทบุรี 26,ตรงข้ามซอยไสว,"ตรงข้ามประชานฤมิตร,ตรงข้ามธนาคารกสิกรไทย","ตลาดเตาปูน,ซอยกรุงเทพ-นนทบุรี4",ซอยสะพานขวา,"โรงเรียนเทพสัมฤทธิ์,ซอยพัฒนา",แยกบางโพ,"สถานีดับเพลิงบางโพ,ถนนประชาราษฎร์สาย 1 ซอย 16",วัดประดู่,"แยกเกียกกาย,ตรงข้ามวัดแก้วฟ้าจุฬามณี",ม.พัน 4 กองพันทหารม้าที่ 4 รักษาพระองค์,"บางกะบือ,น้อมจิตต์,ห้างสุพรีม",โรงเรียนพณิชยการสามเสน,ศรีย่าน,ตรงข้ามวชิรพยาบาล,ตรงข้ามสามเสน11-13,ตรงข้ามโรงเรียนเซนต์คาเบรียล,ตรงข้ามหอสมุดแห่งชาติ,ตรงข้าม มทร.พระนครศูนย์เทเวศร์,แยกเทเวศร์,แยกบางขุนพรหม,วัดใหม่อมตรส,ตรงข้ามสำนักงานเขตพระนคร,วัดชนะสงคราม,กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),แยกอรุณอัมรินทร์,ตรงข้ามพาต้าปิ่นเกล้า,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า
