1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117
ท่าปล่อยรถ กทม.2,แฟลต 7,โรงเรียนพร้อมพรรณ,ซอยประชาสงเคราะห์ 21,ซอยประชาสงเคราะห์ 23,วัดพรหมวงศาราม,ทีวีซีคอนโดมิเนียม,ตรงข้ามโรงเรียนอำนวย,"หอนาฬิกาห้วยขวาง,ศูนย์รับเลี้ยงเด็กห้วยขวาง","ซอยประชาสงเคราะห์ 45,โค้งยาดอง","ซอยประชาสงเคราะห์ 47,ซอยสมบูรณ์",ตรงข้ามซอยอินทามะระ 57,ซอยอินทามะระ 40,ป้อมตำรวจสุทธิสาร(ถนนประชาสุขขาออก),"ซอยอินทามะระ 32,ป้อมตำรวจสุทธิสาร",สถานีดับเพลิงสุทธิสาร,แยกวิภาวดี(ถนนสุทธิสารวินิจฉัยขาเข้า),ตลาดมิ่งขวัญ(ถนนสุทธิสารวินิจฉัยขาเข้า),ตรงข้ามซอยอินทามะระ 21,ตรงข้ามซอยอินทามะระ 7,ซอยอินทามะระ 4,โรมแรมสุดา,แยกสะพานควาย,"แยกสะพานควาย,ซอยประดิพัทธ์ 20",โรงแรมมิโดโฮเต็ล,สำนักงานเลขาธิการ,แยกประดิพัทธ์,ตรงข้ามซอยประดิพัทธ์ 1,กรมทหารปืนใหญ่ที่1รักษาพระองค์,"ขส.ทบ.,สะพานแดง",สโมสรนายทหารสื่อสาร,ตรงข้ามกรมสรรพาวุธทหารบก,ม.พัน3(ถนนทหารขาเข้า),ตรงข้ามวัดประดู่,"ประชาราษฎร์ 1 ซอย7/1,ตรงข้ามสถานีดับเพลิงบางโพ",ตลาดแยกบางโพ,"ซอยไสวสุวรรณ,วัดอนัมนิกายาราม(วัดญวณ)",ตลาดศรีเขมา(ขาออก),วัดสร้อยทอง,ใต้สะพานพระราม7(ขาออก),ตรงข้ามมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ธนาคารอาคารสงเคราะห์สาขาพระราม7,ตรงข้ามหมู่บ้านพิบูลย์บางซื่อ,โรงเรียนสตรีนนทบุรี-วัดปากน้ำ,โรงเรียนเขมพิทยา,"ตรงข้ามหมู่บ้านพิบูลย์การ์เดน,ซอยแสงเสนีย์1","คอนโดริเวอร์ไร,แฟรกส์บาร์,",สวนอาหารนัดพบ,ตรงข้ามวัดกำแพง,วิทยาลัยพาณิชย์พงษ์สวัสดิ์เทคโนโลยี,ตลาดนนท์,ท่าน้ำนนทบุรี,,,,,,,
ท่าน้ำนนทบุรี,เมเจอร์นนทบุรี,ธนาคารกรุงศรีอยุธยา(ถนนพิบูลสงครามขาเข้า),โรงเรียนการัญศึกษา,ตรงข้ามวัดนครอินทร์,วัดกำแพง(ขาเข้า),ปั๊มน้ำมัน Esso,สวิตบาร์,ตรงข้ามคอนโดริเวอร์ไรน์,ซอยพิลบูลสงคราม 14,ตรงข้ามวัดเขมา,ตรงข้ามโรงเรียนสตรีนนทบุรี-วัดปากน้ำ,หมู่บ้านพิบูลย์บางซื่อ,ตรงข้ามบริษัท พูลผลจำกัด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ใต้สะพานพระราม7(ขาเข้า),ตรงข้ามวัดสร้อยทอง,ตลาดศรีเขมา(ขาเข้า),โรงเรียนกุลวรรณ,ประชาราษฎร์สาย 1 ซอย 26,"ประชาราษฎร์สาย 1 ซอย 20,ตลาดบางโพ","สถานีดับเพลิงบางโพ,ถนนประชาราษฎร์สาย 1 ซอย 16",วัดประดู่,"แยกเกียกกาย,ตรงข้ามวัดแก้วฟ้าจุฬามณี",ปตอ.,กรมการขนส่งทางบก(่ถนนทหาร),ทหารสื่อสาร(ขาเข้า),กรมช่างอากาศ,ตรงข้ามกรมทหารปืนใหญ่ที่1,ซอยประดิพัทธ์ 1,แยกประดิพัทธ์(ไปรษณีย์),ตรงช้ามสำนักงานเลขาธิการ,โรงแรมกานต์มณี,ซอยประดิพัทธ์ 21,ตรงข้ามโรงแรมสุดาพาเลซ,ซอยอินทามะระ 7,ซอยอินทามะระ 10,ตลาดมิ่งขวัญ(ถนนสุทธิสารวินิจฉัยขาออก),แยกวิภาวดี(ถนนสุทธิสารวินิจฉัยขาออก),แยกสุทธิสาร(ถนนสุทธิสารวินิจฉัยขาออก),ซอยอินทามะระ 39,ซอยอินทามะระ 28/1,"Tot,ซอยอินทามะระ 32",ป้อมตำรวจสุทธิสาร(ถนนประชาสุขขาเข้า),ซอยอินทามะระ 51,ไปรษณีย์สุทธิสาร,ซอยอินทามะระ 55,ซอยอินทามะระ 59,ตรงข้ามซอยประชาสงเคราะห์ 47,ธนาคารกรุงไทยสาขาห้วยขวาง,หอนาฬิกาห้วยขวาง,ตรงข้ามทีวีซีคอนโดมิเนียม,ตรงข้ามวัดพรหมวงศาราม,ดีดีทาวเวอร์,ซอยประชาสงเคราะห์ 16-18,พร้อมพรรณ,ตรงข้ามศูนย์บริการสาธารณสุข 4,ตรงข้ามโรงเรียนวิชูทิศ,ท่าปล่อยรถ กทม.2
