1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135
RatchaWoraditPier,ThaChang,Sanamluang(OppositeWatPhraKaew),Sanamluang(OppositeSupremeCourt)Stop.2,PhraPinklaoBridge(Outbound),ArunAmmrin28,FlotillaNavalTransportationDepartment,SirirajHospital,SoiBanChangLo,SoiWattana,PhranNokIntersection,SoiWatYang,ThePawnShop6(FaiChaiJunction),AcrossFromNakhonLuangShoppositeing,WatAmpawa,MetropolitanElectricityAuthorityThonBuriDistrict,WatPoreang,NangLoiMarket,SiamTechnologyCollege(SiamTech),WatThaPhra,WatPraduNaiSongtham,OppositeViboonCollege,WatNuannoradit,Phyathai3Hospital,SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),OppositeSiamUniversity,Phetkasem27/1,OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,Kan-AriSportClub,WatRangbua,RedCrossStation11(Wisetniyom),SeaconBangkae,Phetkasem39,BangkaeHomeFoundation,BangkaeMarket,OppositeTescoLotusBangkae,NanyangIndustrial,CastlePeakCompany,Phetkasem45/1,OppositeTheMallBangkae,Phetkasem51,OppositeKasemradBangkaeHospital,Phetkasem-Sai2Junction(Outbd),AmnuaysilpaDhonburiSchool,WatMuang,LaksongNiwetVillage,SamnakPoosawan,BigcPhetkasem(Laksong),SoiPhetkasem67,OppositeScbSoiMubanSetthakit,Setthakit3,Setthakit19,MubanSetthakitSoi25,Setthakit33,Setthakit39,EconomyMansion(Outbound),SinsupNakhon2Village,OppositeSetthakitSoi56,Bunjongsup,Assumption11,AssumptionCollegeThonburi,blankjaa,blankjaa,blankjaa,blankjaa
AsumptionCollegeThonburi,7-11Soi6,AcrossFromBanjongsup,SetthakitSoi56,Setthakit50,Setthakit44,Setthakit42,Setthakit34,AcrossFromPicnicGas,MubanSetthakitSoi26,Setthakit20,Setthakit6,ScbSoiMubanSetthakit,DenlaKindergarten,LaksongPoliceStation,SoiPetchkasem96,Phetkasem3VillageSoi94,OppositeWatMuang,Suksan2Village,SoiPetchkasem92/1,KasemradBangkaeHospital,HealthCenter40,Phetkasem88,TheMallBangkae,Sukpawan3Village,BangkhaenuaeSchool,PasanusornBangkaeSchool,TescoLotusBangkae,Petchkasem62/1,Petchkasem62,Phetkasem58/1,Phetkasem58,OppositeSeaconBangkae,Phetkasem54,OppositeWatRangbua,OppositeKan-AriSportClub,WatChanpradittharam,KhundanChaoporsuaShrine,Phetkasem42,Phetkasem38,SiamUniversity,Petchkasem36WatPradu,SoiPetchkasem32SoiSermmit,SoiPetchkasem28,BangphaiHospital,ViboonBusinessAdministrationCollege,Petchkasem14ThaphraIntersection,SesawechVidhayaSchool,ThonburiCommercialCollege,WatBangSaoThong,OppositeMetropolitanElectricityAuthorityThonBuriDistrict,SoiBupphaSawan,NakornLuangShoppositeing,FaiChaiJunction,SoiSutSakhon,PhranNokPlaza,PhranNokVeterinaryClinic,WatWisetKan,OppositeSirirajHospital,ArunAmmarin39,PhraPinklaoBridge(Inbound),OppositeNationalTheater,Sanamluang(OppositeThammasartU.),Sanamluang(OppositeWatMahathat),MinistryOfDefense,WatPhoThaTian,NakarapiromPark,RatchaWoraditPier
