1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีบางขุนเทียน,หน้ามหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี (บางขุนเทียน),ทางแยกมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี (บางขุนเทียน),ตรงข้ามครัววาสนา,โรงไม้,ครัวติดดิน บ้านคลองสวน,ครัวลุงโป๊ะ ซีฟู้ด,ครัวบุญนำซีฟู้ด,ตรงข้ามร้านชัยการช่าง,ร้านตำลึงทอง,หมู่บ้านรุ่งเรืองวิลเลจ,หน้าหมู่บ้านหน่อไม้จีน,ตรงข้ามวัดคลองสวน,ตรงข้ามหมู่บ้านไทยสมบูรณ์ คลองสวน,ตรงข้ามหมู่บ้านไอลีฟทาวน์ 1,โรงหม้อ,วัดคลองมอญ,ตรงข้ามหมู่บ้าน พี.เค.แลนด์แอนด์เฮ้าส์,ตรงข้ามหมู่บ้านพฤษาวิลเลจ 7 (ซอยประชาอุทิศ 90),หมู่บ้าน พี.เค.การ์เด้น,หมู่บ้านสุขสำราญลิฟวิ่ง ซอยประชาอุทิศ 90,หมู่บ้านศวรรยา (ซอยประชาอุทิศ 90),ตรงข้ามโรงเรียนสารสาสน์วิเทศศึกษา ซอยประชาอุทิศ 90,หมู่บ้านพฤกษลดา ซอยประชาอุทิศ 90,ป้อมดำรง สาขาเก่า,โรงเรียนสารสาสน์ประชาอุทิศพิทยาคาร,ตรงข้ามตลาดประชาอุทิศ 90,สำนักงานเขตทุ่งครุ,ตรงข้ามซอยประชาอุทิศ 125,ซอยประชาอุทิศ 121,ตรงข้ามซอยประชาอุทิศ 115,วัดทุ่งครุ,ซอยประชาอุทิศ 78,ซอยประชาอุทิศ 76,ตรงข้ามซอยประชาอุทิศ 89/2,ตรงข้ามซอยประชาอุทิศ 89,ซอยประชาอุทิศ 62,โรงเรียนอนุบาลบ้านโดม,อิสลามวิทยาลัยแห่งประเทศไทย,จัสโก้ประชาอุทิศ,ซอยประชาอุทิศ 56,ซอยประชาอุทิศ 54,ซอยประชาอุทิศ 48,ตรงข้ามซอยประชาอุทิศ 53,ธนาคารกรุงเทพประชาอุทิศ(ขาออก),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ตรงข้ามซอยประชาอุทิศ 28,โรงเรียนขจรโรจน์ ซอยประชาอุทิศ 33,ตรงข้ามประชาอุทิศซอย27,ซอยประชาอุทิศ 22,ซอยประชาอุทิศ 21,ซอยประชาอุทิศ 14,ตลาดราษฎร์บูรณะเก่า หน้าโรงเรียนศึกษษ(เก่า),ซอยประชาอุทิศ 10,วิทยาลัยพณิชยการเชตุพน,ซอยประชาอุทิศ 7,วัดสารอด,แยกราษฎร์พัฒนา(ซอยสุขสวัสดิ์ 27),โรงพยาบาลราษฎร์บูรณะ,โรงเรียนโรจนนิมิตวิทยา,ร้านสากลอะไหล่ 99,ตรงข้ามโรงเรียนวัดประเสริฐสุทธาวาส,ซอยราษฎร์บูรณะ 18,ตรงข้ามบริษัทกรุงเทพคลังเอกสารจำกัด,ซอยราษฎร์บูรณะ 12,ตรงข้ามโรงแรมกู๊ดอินน์,ซอยราษฎร์บูรณะ 6,ซอยเจริญนคร 76,ซอยเจริญนคร 66,เจริญนคร ซอย 57/1,ซอยโรงเรียนเกือกูล,ซอยเจริญนคร 56,เจริญนคร ซอย 54-56,ไทเสรี(เจริญนคร52),ตลาดเจริญนคร,เจริญนคร ซอย 38,ธนาคารกรุงไทย สาขาถนนเจริญนคร,เจริญนคร ซอย 32,ตรงข้ามวัดเศวตฉัตร,เจริญนคร ซอย 22 23,ซอย เจริญนคร 20,สะพานตากสิน,วัดสุวรรณ,เจริญนคร ซอย 10,สหกรณ์กรุงเทพ,ตรงข้ามตลาดคลองสาน,ซอยสมเด็จเจ้าพระยา 20,โรงพยาบาลสมเด็จเจ้าพระยา,ซอยสมเด็จเจ้าพระยา 12,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),โรบินสันลาดหญ้า
โรบินสันลาดหญ้า,ทีโอทีลาดหญ้า,ซอยลาดหญ้า 11,ตรงข้ามโรงเรียนกุลศิริ,ตรงข้ามโรงเรียนกุลศิริบริหารธุรกิจและเทคโนโลยีกรุงเทพฯ,ซอยสมเด็จเจ้าพระยา 13,โรงพยาบาลตากสิน,ตลาดคลองสาน,ไอคอนสยาม,โรงแรมเพนนินซูล่า,สะพานตากสิน(เจริญนคร15),ซอยเจริญนคร 17,ซอยเจริญนคร 21-23,วัดเศวตฉัตร,ซอยเจริญนคร 39,ซอยเจริญนคร 51,ตลาดเจริญนคร(เจริญนคร55),ไทเสรี(ตรงข้ามเจริญนคร52),ซอยเจริญนคร 57/1,ตรงข้ามเจริญนคร 56,่เจริญนคร 59,วัดบางน้ำชน,ซอยเจริญนคร 61,ซอยเจริญนคร 63,ซอยเจริญนคร 65,ซอยราษฎร์บูรณะ 11,โรงแรมกู๊ดอินน์,ปั๊มน้ำมันสยามสหบริการจำกัด(มหาชน),บริษัทกรุงเทพคลังเอกสารจำกัด,บิ๊กซีซุปเปอร์เซ็นเตอร์ราษฎร์บูรณะ,ตลาดราษฎร์บูรณะ,วัดประเสริฐสุทธาวาส โรงเรียนวัดประเสริฐสุทธาวาส,ตรงข้ามโรงพยาบาลราษฎร์บูรณะ,แยกราษฏร์บูรณะสุขสวัสดิ์,ตรงข้ามวัดสารอด,ตรงข้ามโรงเรียนพณิชยการเชตุพน,ซอยประชาอุทิศ 17 แยก1,ตลาดราษฎร์บูรณะเก่า,ตรงข้ามซอยประชาอุทิศ 14,ป้ายประชาอุทิศ 19,ตรงข้ามซอยประชาอุทิศ 22,ซอยประชาอุทิศ 24,ป้ายประชาอุทิศ 29,โรงเรียนขจรโรจน์,ซอยประชาอุทิศ 28,ธนาคารไทยพาณิชย์ประชาอุทิศ,แยกนาหลวง หน้าธนาคารกรุงเทพ(ประชาอุทิศ),ซอยประชาอุทิศ 51,ตรงข้ามซอยประชาอุทิศ 48,ซอยประชาอุทิศ 67,จัสโก้ประชาอุทิศ,มิตรไมตรี(ถนนประชาอุทิศขาออก),โรงเรียนอิสลามวิทยาลัย,ศูนย์คุมอง,ร้านอาหารแม่อิ่ม(ถนนประชาอุทิศขาออก),ซอยประชาอุทิศ 89/2,สถานีตำรวจทุ่งครุ ตรงข้ามซอยประชาอุทิศ 76,ซอยประชาอุทิศ 79/1,หมู่บ้านนริศาซอยประชาอุทิศ 3,ตรงข้ามวัดทุ่งครุ,ซอยประชาอุทิศ 115,หมู่บ้านทัศนีย์,ซอยประชาอุทิศ 125,บิ๊กซีประชาอุทิศ,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
