1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227
BusStopMRTHuaLamphong(Exit3),SaphanLueang,Chulalongkorn9,Chulalongkorn11,SamYanIntersection,Chulalongkorn(Law/CommunicationArts),Chulalongkorn(FacultyOfEducation),Chulalongkorn(ChamchuriArtGallery),SiamCenter,WatPathumWanaram,LangSuanBusStopBTSChitLom,CentralChidlom,SoiNaiLaertBusStopBTSPloenChit,SoiNana,PacificFellBuildingSoiSukhumvit7,SukhumvitSoi15,Sukhumvit19Robinson,SukhumvitSoi23,Sukhumvit27SainamphuengSoi22,SoiSukhumvit31,Suanbenjasiri,Emquartier,SukhumvitSoi41,SukhumvitSoi47,Sukhumvit49(Soi49),SoiSukhumvit34,BusStopBTSThonglo(Exit1),SukhumvitSoi57,SoiSukhumvit40(Unesco),MajorEkamai,WatThatthong,PaiRongrianSiWiKonSoiSukhumvit65/1,BusStopBTSPhraKhanong(Exit3),TalatPhraKhanong(PridiBanomyongSoi5),SathanThutLaoOppositeHangChatKoPhraKhanong,SoiPridiBanomyong13,OppositeThanakhanKrungthai,PridiPhanomYong19OppositeRongphayabanPhatthanaWet,OppositeSoiPridi30OppositeTheMosqueLeeDaYaStimulusIslam(InTheMosque).,MiSuwanKuatwicha,KasemPolytechnicSchoolSoiPridiPhanomyong39,OppositePridiPhanomYongSoi44,RongKaiPridiPhanomYong45,VillageMarketOppositeTheSchoolConstructionDrawingsAndEngineering.,KanFaifaYoiKhlongtan,PowerSub-Area,HospitalDr.Panya(Ramkhamhaeng5),FoodlandPerfectPlace(Ramkhamhaeng7).,KindergartenDivineMindTheMallRamkhamhaeng3.,BigCRamkhamhaeng,WatThepleeSchoolMajorRamkhamhaeng,RongrianWatThepLila,OppositeRamkhamhaengUniversity,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,BangKapiMarket(LatPhraoSoi127),YaekBangkapi,WatSiBunRueang(AemWeMai),BangKapiSchool,Nida,YaekNida,SriBurapha22KruaPramong,SriBurapha20,SriBurapha16(Garden),SriBurapha8,KruaRimbueng,ThalaySaab1BangkapiLandOffice,MubanWangtong,OppositeMubanSiNakhon1OppositeMubanSiNakhon1,RongrianSoMapha2,SoiPhuengBun(NawaMin69)OppositeMubanPricha,TalatInThraRak,NawaMin83OppositeSantiAsok,SantiAsoke(SoiPrinSiriNavamin).,PrakanSangkhomNawaminSoi56,SoiPhoKaeoOppositeWatBangToei,MubanSamakkhi,NuanchanMarket,OppositeTalatPatWiKon,OppositeRongrianBadinDeCha2,OppositeRongrianBenchaMin,NawaMinSoi135,KhehaNawaMin,OppositeNawaminSoi86,OppositePhyathaiNawaminHospital,NawaMin151MubanUeangSuk,RongrianNawaMitRaChuThit(SinghaSeni),ChonKheBuaPostOfficeSahaFam,NawaMin163SoiAmonWiwatKomo8,Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,RamInThra89YueangPamEsSo,YaekThanonLiapKhlongSong,FashionIsland,ThanakhanKrungthaiRamInThra,PamPotothoOppositeRanHiaHoPuDong,Wisutavil,NoppositeharatHospital,JanpenRestaurant,MakmaiRestaurant,PhrayaSuren,Ramintra117,Sinthanee2Village,PaenamRestaurant,SetthabutBamphenSchool,MinBuriIntersection(SoiTakhian),MinburiTechnicalCollege,Jatujak2Minburi,MinburiMarket(GoldenFiishBuilding),MinburiBusDepot
MinburiBusDepot,Chatuchak2MarketMinburi,Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),Ramintra90,OppositeSetthabutBamphenSchool,Ramintra86,Ramintra84,MomchaoSangangam,OppositeRamintra115,OppositePhrayaSuren,MubanRangsiYa,TechnoThaiSuriya,OppositeNoppositeharatHospital,RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,OppositeFashionIsland,UmnuayPhesaj,SoiChuenKamon,SynphaetHospital,RamInThra50OppositeSunNitSan,KhondoLumPhiNiOppositeSoiAmonWiwat,NawaMin98OppositePraisaniChorakheBua,OppositeRongrianNawaMin(SingSinghaSeni),MubanAmRinNawaMin90,PhyathaiNawaminHospital,NawaMin80OppositeKhehaNawaMin,RongrianBadinDeCha2,MubanPatWiKon,SoiNuanchanNawamin,MubanThanaSin,NawaMin58(MubanSinThani1)OppositePrakanSangkhom,SantiAsok,OppositeTalatInThraRak,NawaMin36ThanakhanKasikon,MubanThanThipOppositeRongrianSoMapha,MubanSrinakron1,OppositeMubanWangThong,SoiSriBurapha3ThalaySaab1,SoiSriBurapha3KruaRimbueng,SoiSriBurapha8,SoiSriBurapha15,SoiSriBurapha20KlongjunKindergarten,YaekNidaBusStop,SathabanNiDa,PierMeasuredSriboonruangTempleSriboonruang,YaekBangKapi,BangKapiMarket,SunHonDaRamKhamNgae,RamkhamhaengHospital,ThaiNamthipRamkhamhaeng,BorisatOsotSaphaSoiRamKhamNgae26/1,MakPoliceStationHuaMarkStadium.,SunNangsueMoRamKhamNgae,AkhanSetSatMoRamKhamNgae,RamKhamNgaeSoi20,TheMallRamkhamhaeng2,OppositeFoodlandPerfectPlace.,HospitalDr.Panya,BangOppositeThePowerSubstationTheFoundationForIslamicCentreOfThailand.AirportLinkS,KhlongtanMarket(PridiBanomyongSoi50),PridiPhanomYongSoi44,KasemPolytechnicSchool,PridiPhanomYong38,InThreeMosques,SukhumvitSoi28,RongphayabanPhatthanaWet,PridiPhanomYongSoi18SathanThutNaichiria,SoiPridiBanomyong16,PridiBanomyongSoi12,TalatPhraKhanong(SoiSukU-Thit1),BusStopBTSPhraKhanong(Exit2),GatewayEkamai,BangkokPlanetarium,SoiSukhumvit40,BusStopBTSThonglo(Exit2/4),SoiSukhumvit34(SoiSuphang),SoiSukhumvit28(SoiBansan),BenjasiriPark,SoiSukhumvitSoi20,SukhumvitSoi12(RoBinSanSukhumvit),SoiSukhumvit10(Ambasder)SuanChoowit,SukhumvitSoi6BusStopBTSNana,PlernjitCenterSoiNana,BusStopBTSPhloenchit(Exit4),SoiTonson,RoyalThaiPolice,SiamSquare,OppositeMbkCenter,TriamUdomSuksaSchool,Chulalongkorn(TheEquestrianStatue),Chulalongkorn(FacultyOfScience),MandarinHotel,SaphanLuengChurch,CentralLabourCourtPathumwan,HuaLamphongRailwayStation,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
