1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61
OppositeThonBuriPhalasa,TheMallThapra,SocialSecurity,WatSutthawat,OppositeRongrianSaengThongThorathat,OppositeTalatDaoKhanong,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatWatNak,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,OppositeWatSarod,PrachaUthitJunction,SuksawatKm.9(ExitExpressway),WatSon,SoiWatRuak,HuaPlaChongNonsi,WatChongnonsi,Phraram3Soi71,WatchonglomSchool,NonseeWattayaSchool,SoiPhocharern,OppositeSamosonKanTharuea,SanamkilaKanTharuea,SoyRoastedPeppersBeforeTheSeparateCustoms.,KlongtoeyBusDepot
KlongtoeyBusDepot,BusZone4,KlongToeyMarket(ThanonRama3Inbound),KhlongToeiMarket(ThanonSunthonKhosa),LoxleyPublicCompanyLimited,OppositeSoiAmon,OppositeRongrianNonsiWitthaya,WatChongLom,KhlangNamman,OppositeChongnonsi,OppositeHuaPlaPaiThanakhanKrungthep,OppositeSoiWatRuak,OppositeWatSon,SoiDekKamPra,SuksawatKm.9,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,MahaiSawan,RatchadaphisekSoi5,ThanachartBank,OppositeTheMallThapra,Ratchada-ThaPhraHospital
