1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125
"วัดบวรนิเวศวิหาร,ท่ารถสาย 68 บางลำพู",สะพานวันชาติ,"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง","โรงพยาบาลศรีวิชัย,วัดรวก",ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,ซอยจรัญสนิทวงค์ 4,ตรงข้ามสถานีตำรวจบางกอกใหญ่,ตรงข้ามธนบุรีพลาซ่า,Brt ราชพฤกษ์,เดอะมอลล์ท่าพระ,"ประกันสังคม,ซอยรัชดาภิเษก 6",วัดสุทธาวาส,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,"ธนาคารกสิกรไทยสาขาดาวคะนอง,ตรงข้ามบิ๊กซืดาวคะนอง",ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,วัดโพธิ์แก้ว,"ซอยงูเห่า,เกียร์เซอร์วิส",สำนักงานเขตจอมทอง,ตลาดโอ๋เอ๋,พระราม 2 ซอย 21,ซอยวัดพุทธบูชา,ตรงข้ามจันทร์พริ้ง,การประปาวัดยายร่ม,หมู่บ้านชิชา,หมู่บ้านวิชิตนคร,โรงพยาบาลบางมด,ตรงข้ามวัดกก,วัดเลา,ตรงข้ามศาลเจ้าแม่งู,โฮมโปร พระราม 2,บิ๊กซีพระราม 2,สำนักงานเขตบางขุนเทียนสนามฟุตบอลสุขโกกี,หัวกระบือ,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),ตรงข้ามสะแกงาม,ตรงข้ามหมู่บ้านพระราม 2,"อมรชัย 4,บริษัท เซ็นทรัลกลาส จำกัด",บางกระดี่,ฟาร์มไก่ชนพม่าพระราม2,ตรงข้ามซอยโฟร์โมส,คลองระหาญ 1,"โรงค้าถัง,ตรงข้ามอู่แสมดำ",อู่แสมดำ
อู่แสมดำ,พระราม 2 ซอย 94 อู่แสมดำ,คลองระหาญ,ซอยโฟร์โมส,พระราม 2 ซอย 86,บางกระดี่(ถนนพระราม2ขาเข้า),อมรชัย 4,หมู่บ้านพระราม 2,สะแกงาม,พระราม 2 ซอย 66,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,แยกหัวกระบือ,สำนักงานเขตบางขุนเทียน,เซ็นทรัลพระราม 2,วัดกำแพง(ถนนพระราม2ขาเข้า),ศาลเจ้าแม่งู,วัดกก,สถานีตำรวจบางมด,สมาคมฮินแหน่นแห่งประเทศไทย,ธนาคารอาคารสงเคราะห์,วัดสีสุก,จันทร์พริ้ง,ศูนย์โตโยต้า(ตรงข้ามซอยวัดพุทธบูชา),โรงพยาบาลบางปะกอก9อินเตอร์เนชั่นแนล,โพธิ์ทอง(ใต้ทางด่วนด่านดาวคะนอง),ตรงข้ามสำนักงานเขตจอมทอง,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงเรียนแสงทองโทรทัศน์,แยกมไหสวรรย์,ซอยรัชดาภิเษก 5,ธนาคารธนชาติ,ตรงข้ามเดอะมอลล์ท่าพระ,โรงพยาบาลท่าพระ,แยกท่าพระตรงข้ามโรงเรียนประสาทวิทยาอนุชน,ซอยจรัญสนิทวงค์ 1,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,"ตรงข้ามโรงพยาบาลศรีวิชัย,วัดรวก",ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),โรงเรียนสตรีวิทยา,บางลำพูมหาวิทยาลัยมหามงกุฏ,,,,
