1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97
การเคหะบางพลีป้าย 1,ตรงข้ามหน้าธนาคารไทยพาณิชย์,ตรงข้ามโรงงานสวอนอินดัสตรี,ซอยโรงงานซิกมาร์แอนฮาร์ด,โรงพยาบาลบางนา 2,บริษัทวิจิตราภรณ์รังสี,ตรงข้ามบริษัทไทยยามาฮ่ามอเตอร์,ตรงข้ามบริษัทse-Education,ปั๊มน้ำมันสตาร์โฮลดิ้ง,ตรงข้ามร้านอาหารธัญรส,ตรงข้ามซอยร่วมใจ,ตรงข้ามมหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ตลาดบางโฉลง,โรงเรียนอเมริกัลสคูลออฟแบงค็อก,ซอยสุขาภิบาล6,โฮมโปรบางพลี,ซอยมหาชัย,บางพลีไดร์ฟวิงแลนจ์,เมกาบางนา,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,ต่างระดับศรีเอี่ยม,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(บางนา-ตราดขาเข้า),แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),"ตรงข้ามตลาดอ่อนนุช,การประปาพระโขนง"
"ดับเพลิง,อ่อนนุช",ซอยสุขุมวิท 79,"ป้ายรถประจำทาง BTSอ่อนนุช,ซอยสุขุมวิท 81 (ศิริพจน์)",ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,"โรงพยาบาลไทยนครินทร์,บางนา-ตราด27","ศรีเอี่ยม,ตรงข้ามเคหะบางนา","ซอยบางนา-ตราด 19,กม.4","พาร์คแลนด์,อินเด็กซ์ลิฟวิ่งมอร์ บางนา",สำนักงานสรรพากรพื้นที่บางพลี,"บริษัท Hks Thailand,ตรงข้ามบางนาทาวเวอร์",ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,เทสโก้โลตัส บางนา-ตราด,ตรงข้ามเมกาบางนา,ตรงข้ามบางพลีไดร์ฟวิงแลนจ์,ตรงข้ามซอยมหาชัย,ตลาดกิ่งแก้ว,ตรงข้ามซอยสุขาภิบาล 6,แยกตัด ถนนบางนา-ตราด,บางโฉลง,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ซอยร่วมใจ,ร้านอาหารธัญรส,โรงงานบริษัทดีแซดการ์ด,บริษัท เอส.อี.-เอ็ดดิวเคชั่น,บริษัทไทยซีเซ็นเตอร์,ตรงข้ามโรงพยาบาลบางนา 2,ตรงข้ามโรงงานซิกมาร์แอนฮาร์ด,ตรงข้ามทางเข้าการเคหะบางพลีป้าย 1,,,,
