1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69
ท่าปล่อยรถ เทเวศร์ (72),สำนักงานก.พ,โรงเรียนราชวินิตร,สนามม้านางเลิ้ง,ตรงข้ามโรงพยาบาลมิชชั่น,"อุรุพงษ์,โคลีเซียม (ถนนเพชรบุรีขาออก)",มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,ตรงข้ามวัดมักกะสัน,นิคมมักกะสัน(ถนนเพชรบุรีขาออก),ตรงข้ามอาคารธนภูมิ,ตรงข้ามโรงเรียนเซนต์ดอมินิก(รร.ดอนบอสโก),ตรงข้าม มศว.ประสานมิตร,สุกี้เรือนเพชร,บริษัทอิตาเลียน-ไทย,ตรงข้ามวัดใหม่ช่องลม (บริษัท อิตัลไทยอุตสาหกรรม จำกัด (สำนักงานใหญ่)),ศูนย์วิจัย,ตรงข้ามชาญอิสสระทาวเวอร์ 2,แยกทองหล่อเหนือ(ขาออก),เอวีต้าเอกมัย,โรงพยาบาลเพชรเวช,ตลาดคลองตัน(ขาออก),ยูเอ็มทาวน์เวอร์คลองตัน,การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),"ฟู้ดแลนด์,เพอร์เฟคเพลส(รามคำแหง7)","โรงเรียนอนุบาลใจทิพย์,เดอะมอลล์รามคำแหง 3","บิ๊กซีราม,หมู่บ้านเสรี","โรงเรียนวัดเทพลีลา,เมเจอร์รามคำแหง",โรงเรียนวัดเทพลีลา,ซอยรามคำแหง 43/1,ตรงข้ามมหาวิทยาลัยรามคำแหง
มหาวิทยาลัยรามคำแหง,โรงเรียนวัดเทพลีลา,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,"ตรงข้ามฟู้ดแลนด์,เพอร์เฟคเพลส",โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,ตลาดคลองตัน(เพชรบุรี42),"โรงพยาบาลคลองตัน,ตรงข้ามโรงพยาบาลเพชรเวช","แยกเอกมัย,เมรี",แยกทองหล่อเหนือ(ขาเข้า),ชาญอิสสระทาวเวอร์2เพชรบุรีตัดใหม่,ตรงข้ามศูนย์วิจัย,"บริษัท สหพัฒนพิบูลจำกัด,",วัดใหม่ช่องลม,ตรงข้ามสุกี้เรือนเพชร,มศว.ประสานมิตร,โรงเรียนเซนต์ดอมินิก,โรงแรมรอยัลปริ๊นซ์โฮเต็ล,นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),วัดมักกะสัน,เมโทร,แยกประตูน้ำ,พันธุ์ทิพย์ประตูน้ำ,รร.กรุงเทพการบัญชี,กิ่งเพชร,อุรุพงษ์,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,วิทยาเขตพณิชยการพระนคร,ทำเนียบรัฐบาล,กระทรวงศึกษาธิการ (ตรงข้ามกองบัญชาการตำรวจนครบาล),วังแดง,ตลาดเทเวศร์
