1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129
PriestHospital,OppositePhayathaiPoliceStation,RatchathewiDistrictOffice,ArmyMedicalDepartment,VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),PraDiPhatSoi20,RongraemMiDoHoten,SamnaknganLekhathikan,OppositePradiphatSoi1,KromthahanPuenyaiThi1RaksaPhra-Ong,OppositeRongrianChangAkatBamrungKromSanPhaWut,SamosonThahanAkatBangSue,WatThammaphitaramOppositeWatSaphanSoong,OppositeTaopoonMansion,YaekTaopoon,BusStopMRTBangsue,SoiPrachaNaruemit,KasikornthaiBank,SoiKrungthep-Nonthaburi13,SoiKrungthep-Nonthaburi17,WatCherngWaiSoiKrungthep-Nonthaburi21/1,SoiKrungthep-Nonthaburi23/1ThorPhaFactory,SoiKrungthep-Nonthaburi25BangSonMarket,SoiKrungthep-Nonthaburi29,TrongKhamKromYutBorikarn,BigCWongsawang,WatLiap,OppositeSoiWatluang,ThongkhamWatNoiOppositeWongSawangSoi15,WongSawangSoi4,WatSaoHin,OppositeKmutnb,Rama7Bridge(Outbound),BoriBatPhunPhonChamkat,BangOppositeTheVillagePibo,SatrinonthaburiSchool-WatPaknam,RongrianWatKhamaoPhinTaRam,GardenOppositeTheVillagePiboonSoi1SeniLight,CondoRiverRyanFlagsBar.,SuanAhanNatPhop,OppositeSoiWatKamphaeng,Pongsawass,TalatNon,OppositeSoiPrachaRat13,RongrianThetsaban2,TrongkhamRongrianKhrittianWitthayaAllRightsChai,OppositeRongrianWatLanNaBun,BigCNonthaburi,EntranceToTheMinistryOfPublicHealth.,KrasuangSatharanasuk,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
Satharanasuk,OppositeHangBigCNonthaburi,RongrianWatLanNaBun,SoiPracharat3,GlobalEnlishSchoolSatitChristianWitthaya,WatTinnakorn,SoiPrachaRat11,NonthaburiPier,MajorNontaburi,AyudayaBank,RongrianKaRanSueksa,WatNakhonIn,SoiWatKamphaeng,PamnamManEsso,SawitBa,KhondoWiktoeRai,SoiPhilaSongkhram14,WatKhamao,OppositeSatrinonthaburiSchool-WatPaknam,MubanPhibun,OppositeBorisatPhunPhonChamkat,Kmutnb,I.Q.Center,OppositeWatSaoHin,WongSawangSoi4SoiYimPrayun,WatNoiSoiWongsawang13,Watluang,WatLiapSoiWongsawang21,BigCWongSawangSoiWongsawang27,KromYutBorikan(Krungthep-NonthaburiRd),SoiKrungthep-Nonthaburi44OppositeSoiSomThawin,D-SquareKruaKunSuPiriyaYothinKindergarten,BangsonMarketOppositeSoiKrungthep-Nonthaburi25,ThoPhaSoiKrungthep-Nonthaburi34,WatCherngWaiSangkornTutorialSchool,TaoPoonPoliceStationSoiKrungThep-Nonthaburi26,SoiSawaiPumpNamMun,PrachaNaruemitOppositeThanakhanKasikonthai,TalatTaoPunSoiKrungthep-Nonthaburi4,YaekTaoPoonLotusTaopoon,BusStopMRTBangsue,PaiOppositeTuekScg,TheaterTaoppositeoonMansion,SamosornThahanAkatBangSue,SaphanDang,TheTechnical,ArtilleryRegiment1,PradiphatSoi1,TrongChamSamnaknganLekhathikan,KarnmaneePalaceHotel,PraDiPhatSoi21,BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(RatchawithiSide),ChildrenHospital,TheBangkokSchoolForTheBlind,GovernmentPharmaceuticalOrganization,MinistryOfIndustry,PriestHospital
