1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69
OppositeSalaWaKanKrungthepmahanakhon,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,OppositeKongSalak,PhraPinklaoBridge(Outbound),OppositePataPinklao,HappyInHotel,CharanSanitwongSoi34/2,CharunBusinessCollege,BangKhunNonJunction,OppositeMakroCharansanitwong,OodlandSupermarketPhleng.,HospitalSrivijayaWadrwk,PoliceStationNoi,AcrossFromNakhonLuangShoppositeing,WatAmpawa,MetropolitanElectricityAuthorityThonBuriDistrict,WatPoreang,NangLoiMarket,SiamTechnologyCollege(SiamTech),WatThaPhra,CharanSanitWongSoi4,OppositeThePoliceStationYai,ThaphraRungruengMarket,SoiPetchkasem4,NaowaChamnianBridge(Inbound),BangYiRea(Inbound),WongWianYai(ThonburiSuksa),YaekBanKhaek(Inbd),SuksanariSchool,SaphanPhut,PakKlongTalad,PakKlongTalad(KhlongLod),BanMo,WatSuthatWijitpanich
SalaWaKanKrungthepmahanakhon,SaoChingcha,Phahurat(Pohchang-Suankularb),SaphanPhut,SoiSomdetchaophraya6,OppositeSoiSomdetchaophraya12,KulsiriSchool,SoiThaDindaeng,Latya8,KrungdebCo-OperativeLatya,OppositeRobinsonLatya,BangYiRea(Outbound),NaowaChamnianBridge(Outbound),OppositeWatSangkajai,SoiPhetkasem5/1,Conifers.Yai,CharanSanitWongSoi1,SesawechVidhayaSchool,ThonburiCommercialCollege,WatBangSaoThong,OppositeMetropolitanElectricityAuthorityThonBuriDistrict,SoiBupphaSawan,NakornLuangShoppositeing,OppositeTheHospitalSrivijayaWadrwk.,WatRuakSuttharam,BangKhunSi,BangKhunNon,CharansanitwongTechnologicalCollege,CharanSanitWongSoi43,WatNaiRong,PataPinklao,PhraPinklaoBridge(Inbound),KongSalak,KhokWuaIntersection,DemocracyMonument(Suksapan)
