1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65
ท่าเรือใต้สะพานพระราม7,การไฟฟ้าฝ่ายผลิต,ตรงข้ามวัดเสาหิน,ตรงข้ามซอยวงศ์สว่าง 4 ซอยยิ้มประยูร,วัดน้อย ซอยวงศ์สว่าง 13,ชุมชนวัดหลวง,วัดเลียบ ซอยวงศ์สว่าง 21,ตรงข้ามบิ๊กซีวงศ์สว่าง ซอยวงศ์สว่าง 27,ดับเพลิงวงศ์สว่าง กรุงเทพ-นนท์,ตรงข้ามกรมยุทธบริการ ตรงข้ามสำนักงานทหารพัฒนา,วิริยะประกันภัย ซอยรัชดาภิเษก 68,แยกประชานุกูล(รัชดาภิเษก64),ซีเมนต์ไทย1 ทางด่วน ซอยรัชดาภิเษก 60,หมู่บ้านปูนซีเมนต์ 2,ตรงข้ามรัชดาหินอ่อน,ซอยเสือใหญ่,มหาวิทยาลัยราชภัฏจันทรเกษม,กรมส่งเสริมการค้าระหว่างประเทศ,ป้ายรถประจำทาง MRT รัชดาฯ โอลิมเปีย,ตรงข้ามโรงเรียนปัญจทรัพย์,ป้ายรถประจำทาง MRT สุทธิสาร ตรงข้ามสถานีตำรวจสุทธิสาร,บริษัทเมืองไทยภัทร,ซอยรัชดาภิเษก 14,ป้ายรถประจำทาง MRT ห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ศูนย์วัฒนธรรมแห่งประเทศไทย,สยามนิรมิต,ทิพยประกันภัย,อู่พระราม9,blankjaa,blankjaa,blankjaa
อู่พระราม9,อาคารว่องวานิช,แยก อ.ส.ม.ท. พระราม 9 ซอย 4,ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,แยกห้วยขวาง(ธนาคารกรุงไทยสาขาดินแดง),ป้ายรถประจำทาง MRT ห้วยขวาง ซอยประชาษฎร์บำเพ็ญ 1,ตรงข้ามเมืองไทยภัทร บริษัทเมืองไทยประกันชีวิต,สถานีตำรวจสุทธิสาร,บุญถาวรรัชดาภิเษก,โรงเรียนปัญจทรัพย์,ศาลแขวงพระนครเหนือ,ศาลอาญา,ตรงข้ามมหาวิทยาลัยราชภัฏจันทรเกษม,ตรงข้ามซอยเสือใหญ่,รัชดาหินอ่อน,หมู่บ้านปูนซีเมนต์,แยกประชานุกูล(ซอยรัชดาภิเษก 35),ซอยรัชดาภิเษก 39 ศิริชัยไก่ย่าง,กรมยุทธบริการ สำนักงานทหารพัฒนาหน่วยบัญชาการทหารพัฒนา,แยกวงศ์สว่าง,บิ๊กซีวงศ์สว่าง,ธนาคารกรุงเทพสาขาวงศ์สว่าง วัดเลียบ,ตรงข้ามซอยวัดหลวง,ตรงข้ามวัดน้อย ตรงข้ามซอยวงศ์สว่าง 15,ซอยยิ้มประยูร,วัดเสาหิน,โรงเรียนวัดวิมุต,ท่าเรือใต้สะพานพระราม7
