1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121
ท่าปล่อยรถ เทเวศร์ (23),"สำนักงานทรัพย์สินส่วนพระมหากษัตริย์,ตรงข้ามคุรุสภา",ตรงข้ามกระทรวงศึกษาธิการ (สหกรณ์ออมทรัพย์สำนักงานก.พ.),สำนักงานก.พ,โรงเรียนราชวินิตร,สนามม้านางเลิ้ง,"อุรุพงษ์,โคลีเซียม (ถนนเพชรบุรีขาออก)",มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,ตรงข้ามวัดมักกะสัน,นิคมมักกะสัน(ถนนเพชรบุรีขาออก),ตรงข้ามอาคารธนภูมิ,ตรงข้ามโรงเรียนเซนต์ดอมินิก(รร.ดอนบอสโก),ตรงข้าม มศว.ประสานมิตร,สุกี้เรือนเพชร,ตรงข้ามวัดใหม่ช่องลม (บริษัท อิตัลไทยอุตสาหกรรม จำกัด (สำนักงานใหญ่)),ตรงข้ามสหพัฒนพิบูลย์( แอค สาขาอาร์.ซี.เอ ถ.เพชรบุรีตัดใหม่),ศูนย์วิจัย,ตรงข้ามชาญอิสสระทาวเวอร์ 2,ตรงข้ามวัดภาษี,ตรงข้ามซอยแจ่มจันทร์,ซอยเอกมัย 22 (ซอยนวลน้อย),ซอยยาดอง(ขาออก),ซอยเอกมัย 14-12,แยกทองหล่อ,ซอยเอกมัย 10,บิ๊กซีเอกมัย,ซอยเอกมัย 2,ตรงข้ามสหกรณ์กรุงเทพเอกมัย,วัดธาตุทอง,"ตรงข้ามโรงเรียนศรีวิกรม์,ซอยสุขุมวิท 65/1",ป้ายรถประจำทาง BTSพระโขนง(ทางออก3),ตลาดพระโขนง,"ดับเพลิง,อ่อนนุช",ซอยสุขุมวิท 79,"ป้ายรถประจำทาง BTSอ่อนนุช,ซอยสุขุมวิท 81 (ศิริพจน์)",ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(ขาออกป้ายที่2),"ป้ายรถประจำทาง BTS บางนา,กรมอุตุวิทยา",หมู่บ้านนภาลัย,ป้ายรถประจำทาง BTS แบริ่ง(ซอยลาซาล),ซอยแบริ่ง,ซอยสันติคาม(สุขุมวิท109),ตลาดธรรมสาโรจน์,ตรงข้ามอิมพิเรียลสำโรง(ตลาดสำโรง),บิ๊กซีสำโรง(บิ๊กซีจัมโบ้)(อู่สำโรงเก่า),ซอยสุขุมวิท 115 (ซอยอภิชาติ),เนชั่นแนล,อู่ปู่เจ้าสมิงพราย
อู่ปู่เจ้าสมิงพราย,ตลาดสำโรงตรงข้ามสุขุมวิท 111,ซอยสันติคาม(ธ.นครหลวงไทย),ซอยโปษยานนท์,"ป้ายรถประจำทาง BTS แบริ่ง,ลาซาล",หมู่บ้านนภาลัย รพ.มนารมย์,"ตรงข้ามกรมอุตุนิยมวิทยา,ป้ายรถประจำทาง BTS บางนา",แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),"ตรงข้ามตลาดอ่อนนุช,การประปาพระโขนง",ตรงข้ามตลาดพระโขนง,ป้ายรถประจำทาง BTS พระโขนง(ทางออก 2),โรงเรียนศรีวิกรม์,สหกรณ์กรุงเทพเอกมัย,อาคารสรชัย,"ตรงข้ามธนาคารกสิกรไทย,บิ๊กซีเอกมัย",ร้านสบายใจ,ซอยศรียาภัย,ซอยเอกมัย 7,ซอยยาดอง(ขาเข้า),ซอยเอกมัย 19,ซอยแจ่มจันทร์,"วัดภาษี,โรงเรียนวัดภาษี",ชาญอิสสระทาวเวอร์2เพชรบุรีตัดใหม่,ตรงข้ามศูนย์วิจัย,"บริษัท สหพัฒนพิบูลจำกัด,",วัดใหม่ช่องลม,ตรงข้ามสุกี้เรือนเพชร,มศว.ประสานมิตร,โรงเรียนเซนต์ดอมินิก,แยกมิตรสัมพันธ์(ถนนเพชรบุรีขาเข้า),นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),วัดมักกะสัน,เมโทร,แยกประตูน้ำ,พันธุ์ทิพย์ประตูน้ำ,รร.กรุงเทพการบัญชี,กิ่งเพชร,อุรุพงษ์,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,วิทยาเขตพณิชยการพระนคร,ทำเนียบรัฐบาล,กระทรวงศึกษาธิการ (ตรงข้ามกองบัญชาการตำรวจนครบาล),วังแดง,ตลาดเทเวศร์,ท่าปล่อยรถ เทเวศร์ (23),,,,
