1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103
อู่คลองเตย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,โรงเรียนคอนแวนต์ ตลาดปีนัง,การไฟฟ้าคลองเตย,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),ลุมพินีประทุมวัน,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),โรงพยาบาลจุฬาลงกรณ์(ฝั่งราชดำริ),แยกสารสิน,ตรงข้ามเอยูเอ,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก1),โรงพยาบาลตำรวจ,เซ็นทรัลเวิลด์,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),ซอยพหลโยธิน 1 ซอยลือชา,โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),ซอยพหลโยธิน 5 ซอยราชครู,ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,ซอยพหลโยธิน 11 ซอยเสนาร่วม,ตรงข้ามโรงแรมสุดาพาเลซ,ซอยอินทามะระ 7,ซอยอินทามะระ 10,ตลาดมิ่งขวัญ(ถนนสุทธิสารวินิจฉัยขาออก),แยกวิภาวดี(ถนนสุทธิสารวินิจฉัยขาออก),แยกสุทธิสาร(ถนนสุทธิสารวินิจฉัยขาออก),ซอยอินทามะระ 39,ซอยอินทามะระ 28/1,Tot ซอยอินทามะระ 32,ป้อมตำรวจสุทธิสาร(ถนนประชาสุขขาเข้า),ซอยอินทามะระ 51,ไปรษณีย์สุทธิสาร,ซอยอินทามะระ 55,ซอยอินทามะระ 59,ตรงข้ามซอยประชาสงเคราะห์ 47,ตรงข้ามตลาดสดห้วยขวาง,โรงแรมเลอคองคอร์ด,รร.เตรียมอุดมฯ รัชดา,ตรงข้ามบิ๊กซีรัชดาภิเษก,ตรงข้ามเอสพลานาดรัชดาภิเษก,ตรงข้ามสถานทูตจีน,เซ็นทรัลพระราม 9,แยก อ.ส.ม.ท. พระราม 9 ซอย 5
แยก อ.ส.ม.ท. พระราม 9 ซอย 4,ฟอร์จูนทาวน์,สถานทูตจีน,เอสพลานาดรัชดาภิเษก,บิ๊กซีรัชดาภิเษก,ตรงข้าม รร.เตรียมอุดมฯ รัชดา,โรงแรมดิเอมเมอรัล,ตลาดห้วยขวางหลังโรงเรียนสามเสนนอก,ซอยประชาสงเคราะห์ 45 โค้งยาดอง,ซอยประชาสงเคราะห์ 47 ซอยสมบูรณ์,ตรงข้ามซอยอินทามะระ 57,ซอยอินทามะระ 40,ป้อมตำรวจสุทธิสาร(ถนนประชาสุขขาออก),ซอยอินทามะระ 32 ป้อมตำรวจสุทธิสาร,สถานีดับเพลิงสุทธิสาร,แยกวิภาวดี(ถนนสุทธิสารวินิจฉัยขาเข้า),ตลาดมิ่งขวัญ(ถนนสุทธิสารวินิจฉัยขาเข้า),ตรงข้ามซอยอินทามะระ 21,ตรงข้ามซอยอินทามะระ 7,ซอยอินทามะระ 4,โรมแรมสุดา,สถานีตำรวจบางซื่อ,ซอยพหลโยธิน 8 ซอยสายลม,ป้ายรถประจำทาง BTS อารีย์(ทางออก4),ซอยราชครู ตรงข้ามซอยพหลโยธิน 5,ซอยพหลโยธิน 2 ซอยกาญจนาคม,ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,ซอยลือชา ตรงข้ามซอยพหลโยธิน 1,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,อาคารศรีอยุธยา,โรงเรียนศรีอยุธยา ในพระอุปถัมภ์ฯ,โรงเรียนศรีอยุธยา,เจ้าพระยา 2 นวดแผนโบราณ,ตรงข้ามอินทราสแควร์ประตูน้ำ,บิ๊กซีราชดำริ,เพนนินซูล่าพลาซ่า,ป้ายรถประจำทาง BTS ราชดำริ(ทางออก2),สถาบันสอนภาษา Aua,สวนลุมพินี(ฝั่งราชดำริป้าย2),สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,ตลาดคลองเตย(ถนนสุนทรโกษาขาออก),ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,blankjaa,blankjaa
