1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65
SaphanPhutBusTerminal,PakKlongTalad,PakKlongTalad(KhlongLod),SinDamRong,Klongthom(CharoenkrungSide),KwongsiewHospital,MaitriChit,BusStopMRTHuaLamphong(Exit3),YaekSaphanLueang[C],OppositeChiangkongSamyan,YaekCharatmueang[A],RongmueangPostOffice,OppositeChulalongkorn4-6,SathabanTheknoloyiPathumWan,BangkokArt&CultureCenter,SiamCenter,WatPathumWanaram,CentralWorld,IndraSquarePratunam,OppositeSoiRangNam,OppositeWatTaphan,OncbOffice,PiboonPrachasanSchool,RajanukulInstitute,OppositeFatimaCatholicChurch,KhwanPhatthanaMarket,SoiPopan,FortuneTown,EmbassyOfChina,EsplanadeRatchadapisek,BigcRatchadapisek,OppositeTriamudomRatchadaSchool,TheEmeraldHotel
OppositeTalatsotHuaiKhwang,HotelLeConcorde,TriamudomRatchadaSchool,OppositeBigcRatchadapisek,OppositeEsplanadeRatchadapisek,OppositeEmbassyOfChina,OppositeSoiPopan,OppositeKhwanPhatthanaMarket,FatimaCatholicChurch,DindaengHousing(Stop.1),DindaengHousing(Stop.2),OppositePiboonPrachasanSchool,SriwanitMarket,WatTaphan,SoiRangNam,OppositeIndraSquarePratunam,BigcRajdamri,RoyalThaiPolice,SiamSquare,BusStopBTSNationalStation,MunkongBuilding,YaekCharatmueang[B],YaekSaphanLueang[D],CentralLabourCourtPathumwan,BusStopMRTHuaLamphong(Exit4),WatThaimit,ThianfahHospital,ChaloemburiIntersection,OldMarketYaowarat,WatTuk,Sampeng-Phahurat,SaphanPhutBusTerminal,blankjaa
