1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65
WatRatchabopitSchool,PhraPhiphit,Phahurat(Pohchang-Suankularb),SaphanPhut,OppositeSuksanariSchool,YaekBanKhaek(Outbd),WongWianYai(Niranrat),WongwianYai,SimClanShrine,SamLePostOffice,TalatSamre(SoiWatSutharam),OppositeSomdejprapinklaoHospital,SoiRongKaeo,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,OppositeWatSarod,PrachaUthitJunction,SuksawatKm.9(ExitExpressway),WatSon,SoiWatRuak,OppositeMajorPhrapradaeng(TangRadapWongwaen),BangkokBank(ThanonKuanKan),WatKlang,PakLatFaMaSi
OppositeWatPhayaPrap,PaiWatKlang,YaekPhraPradaeng,MajorPhrapradaeng(TangRadapWongwaen),OppositeSoiWatRuak,OppositeWatSon,SoiDekKamPra,SuksawatKm.9,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,RongKaeo,SomdejprapinklaoHospital,OppositeSamreMarket,WongWianYai(ThonburiSuksa),YaekBanKhaek(Inbd),SuksanariSchool,PakKlongTalad,WatRatchabopitSchool,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
