1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115
Mochit2BusDepot,QueenSirikitPark,JjMall,ChatuchakMarket(Gate1),BusStopBTSMoChit(Exit3),TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(PhayaThaiSide),Century,WannasornTower,SriAyutthayaBuilding,SriAyudhyaSchool,Chaopraya2Massage,OppositeIndraSquarePratunam,BigcRajdamri,PeninsulaPlaza,BusStopBTSRatchadamri(Exit2),Aua,LumphiniPark(RatchadamriSideStop.1),LumphiniPark(RatchadamriSideStop.2),BusStopBTSSaladaeng(Exit2/4),CpTower,NararomIntersection,DechoJunction(Inbound),WatKhaek,SolSilom19,LerdsinHospital,OppositeRobinsonBangrak,BusStopBTSSurasak(Exit3),BangkokChristianCollege,SuksaWittaya,SoiNarathiwat7,SoiNarathiwat15,RajamagalaUniversityOfTechnologyKrungthep,OppositeMakroSathorn,JanjaoSchool,SamyanSeafood,BorisatHonDa,SamnaknganKhetYanNawa,TescoLotusRama3(NaradhiwatSide),SupalaiPrimaRiva,TescoLotusRama3(RatchadapisekSide),PanjathaniTower,SathuPraditExpressway,CentralRama3,SathuPraditBusDepot
SathuPraditBusDepot,SathuPraditExpressway,CentralRama3,TheUpRama3,WatPhoMaenKhuNaRam,BrtThanonochan,SoiNarathiwat18,MakroSathon,SoiNarathiwat10,ArkanJohni,SoiNarathiwat4,YakaeNarinthonBangrakHospital,SaintLouisHospital,ThaiCc,SoiRongNamkhaeng,RobinsonBangrak,OppositeLerdsinHospital,CentralSilom,PramuanJunction,OppositeWatKhaek,DechoJunction(Outbound),TheBangkokChristianHospital,BusStopBTSSaladaeng(Exit1),ChulalongkornHospital(RatchadamriSide),SarasinJunction,OppositeAua,BusStopBTSRatchadamri(Exit1),PoliceGeneralHospital,CentralWorld,IndraSquarePratunam,OppositeSoiRangNam,OppositeWatTaphan,SantiphapPark,VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,ChatuchakPark(ViphavadiSide),PttHeadquarter,TourProperties,BorisatTriPhetThatCharinWitthayaBangKhen,NakhonchaiAir,BangchakPetroleumKamphaengphet2,NikhomRotfaiKm.11,Mochit2BusDepot,blankjaa,blankjaa,blankjaa,blankjaa
