1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101
สะแกงาม,พระราม 2 ซอย 66,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,แยกหัวกระบือ,สำนักงานเขตบางขุนเทียน,เซ็นทรัลพระราม 2,วัดกำแพง(ถนนพระราม2ขาเข้า),ศาลเจ้าแม่งู,วัดกก,สถานีตำรวจบางมด,สมาคมฮินแหน่นแห่งประเทศไทย,ธนาคารอาคารสงเคราะห์,วัดสีสุก,จันทร์พริ้ง,ศูนย์โตโยต้า(ตรงข้ามซอยวัดพุทธบูชา),โรงพยาบาลบางปะกอก9อินเตอร์เนชั่นแนล,โพธิ์ทอง(ใต้ทางด่วนด่านดาวคะนอง),ตรงข้ามสำนักงานเขตจอมทอง,บิ๊กซีบางประกอก,วัดบางปะกอก,ซอยสุขสวัสดิ์ 23,โรงพยาบาลบางปะกอก1,ตลาดบางปะกอก,ตรงข้ามวัดสารอด,แยกประชาอุทิศ,ตรงข้ามวัดสน,ซอยเด็กกรำพร้า,สุขสวัสดิ์ กม.9 (ขึ้นทางด่วน),ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,"โรงพยาบาลไทยนครินทร์,บางนา-ตราด27","ศรีเอี่ยม,ตรงข้ามเคหะบางนา","ซอยบางนา-ตราด 19,กม.4","พาร์คแลนด์,อินเด็กซ์ลิฟวิ่งมอร์ บางนา",สำนักงานสรรพากรพื้นที่บางพลี,"บริษัท Hks Thailand,ตรงข้ามบางนาทาวเวอร์",ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,เทสโก้โลตัส บางนา-ตราด,ตรงข้ามเมกาบางนา,ตรงข้ามบางพลีไดร์ฟวิงแลนจ์,ตรงข้ามซอยมหาชัย,บางพลี,ตลาดกิ่งแก้ว,ตรงข้ามซอยสุขาภิบาล 6,สุวรรณภูมิ(ศูนย์การขนส่งสาธารณะ)
สุวรรณภูมิ(ศูนย์การขนส่งสาธารณะ),ซอยสุขาภิบาล6,โฮมโปรบางพลี,ซอยมหาชัย,บางพลีไดร์ฟวิงแลนจ์,เมกาบางนา,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,สุขสวัสดิ์ กม.9(ลงทางด่วน),ตรงข้ามวัดสน,สุขสวัสดิ์ กม.9,วัดสารอด,ตรงข้ามตลาดบางปะกอก,ศรีไทยซุปเปอร์แวร์,ซอยอนามัย(สุขสวัสดิ์ 32),ตรงข้ามวัดบางปะกอก,ตรงข้ามบิ๊กซีบางประกอก,วัดโพธิ์แก้ว,"ซอยงูเห่า,เกียร์เซอร์วิส",สำนักงานเขตจอมทอง,ตลาดโอ๋เอ๋,พระราม 2 ซอย 21,ซอยวัดพุทธบูชา,ตรงข้ามจันทร์พริ้ง,การประปาวัดยายร่ม,หมู่บ้านชิชา,หมู่บ้านวิชิตนคร,โรงพยาบาลบางมด,ตรงข้ามวัดกก,วัดเลา,ตรงข้ามศาลเจ้าแม่งู,โฮมโปร พระราม 2,บิ๊กซีพระราม 2,สำนักงานเขตบางขุนเทียนสนามฟุตบอลสุขโกกี,หัวกระบือ,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),,
