1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87
อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,ป้ายรถประจำทาง BTS-Arl พญาไท,กรมปศุสัตว์,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,แยกมิตรสัมพันธ์(ถนนสุขุมวิท 3),ตรงข้ามโรงพยาบาลบำรุงราษฎร์,"เพลินจิตเซ็นเตอร์,ซอยนานา",ป้ายรถประจำทาง BTS เพลินจิต(ทางออก4),"แยกเพลินจิต,อาคารมหาทุนพลาซ่า",สถานทูตสหรัฐ,สมาคมสร้างคุณค่าในประเทศไทย,ซอยพระเจน,สวนลุมไนท์บาร์ซ่าร์,ซอยสาทร 1,โรงแรมสุโขทัย,สถานทูตออสเตรเลีย,ปิยะสาทร,ตรงข้ามตลาดสวนพลู(ซอยสวนพลู 8),สำนักงานตรวจคนเข้าเมือง,"วิทยุการบิน,ตรงข้ามเทคนิคกรุงเทพ",ซอยนางลิ้นจี่ 2,แยกเย็นอากาศ,ตรงข้ามอาคารtpi,บ้านนนทรี,ซอยรุ่งเพชร(ถนนจันทร์ขาออก),ตรงข้ามศูนย์การค้าวรรัตน์,"สะพาน 3 สะพาน 4,ธนาคารศร๊อยุธยา",ซอยสาธุประดิษฐ์ 1,ตรงข้ามโรงเรียนยานเวศน์,ซอยสาธุประดิษฐ์ 11,วัดโพธิ์แมน,เซ็นทรัลพระราม 3,เทสโก้โลตัสพระราม3(ฝั่งรัชดาภิเษก),ตลาดรุ่งเจริญ(ถนนสาธุประดิษฐ์ขาออก),ซอยสาธุประดิษฐ์ 43,ซอยสาธุประดิษฐ์ 49,ตลาดลานทราย,"ซอยสาธุประดิษฐ์ 57,ซอยปรียานนท์",ท่าปลอยรถสาย 62
ท่าปลอยรถสาย 62,ซอยสาธุประดิษฐ์ 58,ซอยสาธุประดิษฐ์ 52,ตรงข้ามซอยสาธุประดิษฐ์ 49,ชอยสาธุประดิษฐ์ 44,ตรงข้ามตลาดรุ่งเจริญ(พัฒนาการ1),โรงเรียนสารสาส์น,ซอยสาธุประดิษฐ์ 20,ซอยสาธุประดิษฐ์ 12,โรงเรียนยานเวศน์,สะพาน 3 สะพาน 4,ศูนย์การค้าวรรัตน์,ซอยไมตรี,โรงเรียนอนุบาลจันทร์เจ้า,ตรงข้ามตลาดนางลิ้นจี่,ซอยพัฒนสิน,เทคนิคกรุงเทพซอยพยับหมอก 2,ตลาดสวนพลู(ซอยสวนพลู 3),ซอยสวนพลู 1,ตลาดสวนพลู(พระพินิจ),สาทร-คอนแวนต์,"ไทยธนาคาร,ศูนย์มิตซู",ซอยสาทร 2,สวนลุมพินีป้ายแรก (เข้าเมือง),ตรงข้ามสถานีตำรวจลุมพินี,"อาคารสินธร,ตรงข้ามสถานฑูตอเมริกา","แยกเพลินจิต,โรงแรมเซ็นเตอร์พ้อยท์",สถานเอกอัครราชทูตอังกฤษ,เมโทร,แยกประตูน้ำ,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),,,,,,,,,
