1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139
ซอยลาดหญ้า 14,แยกลาดหญ้า(ขาเข้า),ซอยลาดหญ้า 8,สหกรณ์กรุงเทพลาดหญ้า,ตรงข้ามโรบินสันลาดหญ้า,วงเวียนใหญ่ ตลาดวงเวียนใหญ่,แยกสาทร(สมเด็จพระเจ้าตากสิน7),ตรงข้ามศาลเจ้าแซ่ซิ้ม,โรงพยาบาลกรุงธนบุรี,ไปรษณีย์สำเหร่,ตลาดสำเหร่(ซอยวัดสุทธาราม),สำนักงานไปรษณีย์สำเหร่,ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,แยกแซ่ซิ้ม,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,ตรงข้ามตลาดดาวคะนอง,ธนาคารกสิกรไทยสาขาดาวคะนอง ตรงข้ามบิ๊กซืดาวคะนอง,องค์การโทรศัพท์ดาวคะนอง,ตรงข้ามถนนวุฒากาศ,ซอยเอกชัย 3,ตรงข้ามซอยเอกชัย 10/1,ซอยเอกชัย 11,ซอยเอกชัย 25/1,ซอยเอกชัย 37,โรงเรียนมัธยมวัดสิงห์,คริสตจักรธนบุรี,บิ๊กซีเอกชัย ตรงข้ามซอยเอกชัย54,บิ๊กซีถนนเอกชัย,ตรงข้ามโรงพยาบาลบางบอน,ซอยเอกชัย 83/6,ซอยเอกชัย 83/8,ซอยเอกชัย 85,หมู่บ้านสุนทร 7,ซอยเอกชัย 89/2,ซอยเอกชัย 89/8,สำนักงานเขตบางบอน,แยกถนนเอกชัย,ซอยเอกชัย 95/1,ซอยเอกชัย 99/1,ซอยเอกชัย 101,ซอยเอกชัย 105,ซอยเอกชัย 107,กรุงธนบุรีตำรวจภูธรตำบลสำโรงเหนือเรือนจำ(ผู้หญิง),ซอยเอกชัย 117,วัดบางบอน,หมู่บ้านชนิกา,หมู่บ้านลลิลวิลล์,ซอยเอกชัย 33 แยก 1,หมู่บ้านเพชรเอกชัย(เอกชัย135),ตรีสมพลาสติกอินดัสเชียล,หมู่บ้านภาสกร 2(เอกชัย139),ตรงข้ามโรงเรียนศึกษานารี 2,ตรงข้ามสวนจงสถิตย์ปาร์ค,ตรงข้ามวัดโพธิ์แจ้,คอกกระบือ,แยกราษฎร์พัฒนา,โรงเรียนวัดราษฎร์รังสรรค์,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
วัดโสภณาราม,นาดี(ซอยสินชัย),มหาชัยคอนโด(ขาออก),ตรงข้ามโรงพยาบาลสมุทรสาคร,โรงเรียนอนุบาลสมุทรสาคร,สมาคมวัฒนธรรมจีน12,โรงพยาบาลสมุทรสาคร,มหาชัยคอนโด(ขาเข้า),นาดี,ตรงข้ามวัดโสภณาราม,ตรงข้ามโรงเรียนวัดราษฎร์รังสรรค์,แยกเลียบคลองสี่วาพาสวัสดิ์,หน้าปั๊มน้ำมัน,วัดโพธิ์แจ้,สวนจงสถิตย์ปาร์ค,หมู่บ้านภาสกร 2,หมู่บ้านเพชรเอกชัย(เอกฃัยซอย 130),ตรงข้ามซอยเอกชัย 33 แยก 1,ซอยหมู่บ้านลลิลวิลล์,ตรงข้ามหมู่บ้าน ชนิกา,ตรงข้ามวัดบางบอน,ซอยเอกชัย 116(สถานีตำรวจนครบาลบางบอน),ซอยเอกชัย 116,หน้าเรือนจำหญิงธนบุรี,แยกบางบอน3(ขาเข้า),ซอยเอกชัย 104,ซอยเอกชัย 110,ซอยเอกชัย 106,ซอยหมู่บ้านแก้วกาญจน์,ซอยเอกชัย100,ซอยเอกชัย 94,โรงพยาบาลบางกอก8อินเตอร์เนชั่นแนล,ตรงข้ามสำนักงานเขตบางบอน,ซอยเอกชัย 80,ซอยเอกชัย 76,หมู่บ้านสุนทร7(เอกชัย72),ซอยเอกชัย 64/7,ตลาดสดเอกชัย,โรงพยาบาลบางบอน,โรงเรียนวิชัยวิทยา,ตรงข้ามบิ๊กซีเอกชัย,ซอยเอกชัย 46,ซอยเอกชัย 40,ตรงข้ามโรงเรียนมัธยมวัดสิงห์(ศาลแขวงธนบุรี),ซอยเอกชัย 35/2,ซอยเอกชัย 30,ซอยเอกชัย 24,ซอยเอกชัย 16,ซอยเอกชัย 10/1,ซอยเอกชัย 10,ซอยเอกชัย 2,ซอยเลิศเหนือ-เลิศใต้,ตรงข้ามเทียมทรัพย์ออมการ 3/2,วัดมะเกลือ,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,โรงเรียนแสงทองโทรทัศน์,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,ศาลเจ้าแซ่ซิ้ม,แยกตากสิน,ป้ายรถประจำทาง BTS วงเวียนใหญ่(ทางออก3),สินสาธรทาวเวอร์,ป้ายรถประจำทาง BTSกรุงธนบุรี(ทางออก1),ท่าปล่อยรถ ป้ายรถประจำทาง BTS กรุงธนบุรี,ป้ายรถประจำทาง BTSกรุงธนบุรี(ทางออก3),แยกกรุงธนบุรี,วัดสุวรรณ,ตรงข้ามตลาดคลองสาน
