1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129
"แยกลำลูกกา,ตลาดลำลูกกา","กม.27,ซอยพหลโยธิน 62/2 แยก2-1",โรงพยาบาลบีแคร์เมดิคอลเซ็นเตอร์,หมู่บ้านการ์เด้นโฮม,ซอยแอนเน็กซ์,กม.26,"กม.25,พหลโยธิน 54/4",ประตูกรุงเทพ,แยก คปอ.,โรงเรียนนายเรืออากาศ,ตรงข้ามกองบัญชาการกองทัพอากาศไทย,กองบัญชาการกองทัพอากาศไทย,หอประชุมกานตรัตน์,โรงเรียนฤทธิยะ,"สโมสรทหารอากาศ,หอประชุมกองทัพอากาศ",โรงพยาบาลภูมิพลอดุลยเดช,"แยกท่าดินแดง,ตรงข้ามโรงเรียนเสนาธิการทหารอากาศ",แยกวัดเกาะ,สะพานใหม่ตรงข้ามตลาดยิ่งเจริญ,"ซอยโชคดี 2,ตรงตลาดไชยณรงค์",บิ๊กซีสะพานใหม่,"ตรงข้ามธนาคารกรุงไทย,โรงพยาบาลเซ็นทรัล",ซอยสายหยุด,ธนาคารไทยพาณิชย์(พหลโยธิน46/1),หมู่บ้านฝนทอง,"เทสโก้โลตัสหลักสี่บางเขน,กรมทหารสื่อสารกองทัพบก","การไฟฟ้าบางเขน,กรมทหารราบที่11(ประตู1)",ตรงข้ามอู่บางเขน,ตรงข้ามซอยพหลโยธิน 51,กรมทหารราบที่11(ประตู2),กรมทหารราบที่11(ประตู3),วัดบางบัว,มหาวิทยาลัยศรีปทุม,โรงเรียนสารวิทยา,กรมวิทยาศาสตร์ทหารบก,โรงแรมมารวย,สำนักงานใหญ่ธกส.,ตรงข้ามมหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),ตลาดอมรพันธ์(ซอยอมรพันธ์),ตรงข้ามมหาวิทยาลัยเกษตรประตู1,ตรงข้ามมหาวิทยาลัยเกษตรประตู3,เรือนจำกลางคลองเปรม (ลาดยาว),ตรงข้ามชินเขตน์2,ตรงข้ามชินเขตน์1(นุกูลธร),แยกพงษ์เพชร(พงษ์เพชรดำเนิน),เดอะมอลล์งามวงศ์วาน,ตรงข้ามพันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามวัดบัวขวัญ,ตรงข้ามองค์การโทรศัพท์งามวงศ์วาน,"ซอยอัคนี,ซอยงามวงศ์วาน 2",ซอยปิ่นประภาคม 1,โรงพยาบาลบำราศนราดูร,"ซอยติวานนท์ 8, คนติดดิน",กระทรวงสาธารณสุข(ซอย หลวงวิเชียรแพทยาคม),ตรงข้ามบิ๊กซีติวานนท์,โรงเรียนวัดลานนาบุญ,"ซอยประชาราษฎร์ 3, อู่สายพิน","หมู่บ้านช.รุ่งเรือง 4,โรงเรียนนนทบุรีคริสเตียนวิทยา",ตรงข้ามวัดทินกร,ซอยประชาราษฎ์ 11,เมเจอร์นนทบุรี,ธนาคารกรุงศรีอยุธยา(ถนนพิบูลสงครามขาเข้า),วัดสังฆทาน,โลตัดสาขานครอินทร์,อู่นครอินทร์
อู่นครอินทร์,วัดสังฆทาน,โลตัดสาขานครอินทร์,วิทยาลัยพาณิชย์พงษ์สวัสดิ์เทคโนโลยี,ตลาดนนท์,ท่าน้ำนนทบุรี,ตรงข้ามซอยประชาราษฎ์ 13,"โรงเรียนเทศบาล 2,วัดทินกรนิมิต","ซอยประชาราษฏร์ 16/1,ตรงข้ามโรงเรียนคริสเตียนวิทยา",ตรงข้ามโรงเรียนวัดลานนาบุญ,บิ๊กซี นนทบุรี,ตรงข้ามกระทรวงสาธารณสุข,ซอยติวานนท์ 3,เรวดี,ตรงข้ามซอยปิ่นประภาคม 1,"ซอยงามวงศ์วาน 1,ตรงข้ามซอยอัคนี",ซอยแว่นตา,องค์การโทรศัพท์งามวงศ์วาน,พันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามเดอะมอลล์งามวงศ์วาน,แยกพงษ์เพชร(ซอยพงษ์เพชรพัฒนา),ชินเขตน์ 1,ชินเขตน์ 2,ตรงข้ามเรือนจำกลางคลองเปรม(ซอยศรีจั่น),มหาวิทยาลัยเกษตรประตู 3,มหาวิทยาลัยเกษตรประตู 1,มหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),กรมส่งเสริมการเกษตร,สำนักงานคณะกรรมการวิจัยแห่งชาติ,กรมป่าไม้,ไปรษณีย์จตุจักร,ตรงข้ามมหาวิทยาลัยศรีปทุม,โรงเรียนบางบัว,โรงเรียนปราโมชวิทยาทาน,สวนอาหารบางบัว,ซอยพหลโยธิน 49/2,หน้าอู่บางเขน,วัดพระศรีมหาธาตุ,ตรงข้ามเทสโก้โลตัสพหลโยธิน,"ซอยน้ำใส,ซอยพหลโยธิน 61",ซอยพหลโยธิน 65,ตรงข้ามซอยสายหยุด,"ธนาคารกรุงไทย,ตรงข้ามโรงพยาบาลเซ็นทรัล",ตรงข้ามบิ๊กซีสะพานใหม่,ตลาดไทยณรงค์,ตลาดยิ่งเจริญ,"ตรงข้ามแยกวัดเกาะ,แยกสายไหม,ช่องทางพาราจันทร์","ตรงข้ามช่องทางท่าดินแดง,โรงเรียนเสนาธิการทหารอากาศ",ตรงข้ามโรงพยาบาลภูมิพลอดุลยเดช,ตรงข้ามสโมสรทหารอากาศ,ตรงข้ามโรงเรียนฤทธิยะ,พิพิธภัณฑ์กองทัพอากาศ,"กองบัญชาการกองทัพอากาศไทย,ตรงข้ามโรงเรียนนายเรือ",ตรงข้ามโรงเรียนนายเรืออากาศ,"แยก คปอ.,แยกแปดแฉก","ตรงข้าม กม.25,ซอยพหลโยธิน 54/1",ตรงข้ามซอยแอนเนกซ์,"หมู่บ้านการ์เด้นโฮม,ตรงข้ามซอย 39",ตรงข้ามโรงพยาบาลบีแคร์,ตรงข้ามแยกลำลูกกา,"แยกลำลูกกา,ตลาดลำลูกกา",,,,
