1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123
แยกสี่พระยา,ซอยวัดมหาพฤฒาราม,วัดแก้วแจ่มฟ้า,ซอยสองพระ,ก่อนถึงแยกสามย่าน,แยกสามย่าน,จุฬาลงกรณ์ (นิติศาสตร์/นิเทศศาสตร์),จุฬาลงกรณ์ (คณะครุศาสตร์),จุฬาลงกรณ์ (หอศิลป์จามจุรี),มาบุญครอง,ป้ายรถประจำทาง BTS สนามกีฬาแห่งชาติ,ชุมชนบ้านครัว,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,ตรงข้ามวัดมักกะสัน,นิคมมักกะสัน(ถนนเพชรบุรีขาออก),ตรงข้ามอาคารธนภูมิ,ตรงข้ามโรงเรียนเซนต์ดอมินิก(รร.ดอนบอสโก),ตรงข้าม มศว.ประสานมิตร,สุกี้เรือนเพชร,บริษัทอิตาเลียน-ไทย,ตรงข้ามวัดใหม่ช่องลม (บริษัท อิตัลไทยอุตสาหกรรม จำกัด (สำนักงานใหญ่)),ตรงข้ามศูนย์วิจัย,ตรงข้ามชาญอิสสระทาวเวอร์ 2,แยกทองหล่อเหนือ(ขาออก),เอวีต้าเอกมัย,โรงพยาบาลเพชรเวช,ตลาดคลองตัน(ขาออก),การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),ฟู้ดแลนด์ เพอร์เฟคเพลส(รามคำแหง7),โรงเรียนอนุบาลใจทิพย์ เดอะมอลล์รามคำแหง 3,บิ๊กซีราม หมู่บ้านเสรี,โรงเรียนวัดเทพลีลา เมเจอร์รามคำแหง,โรงเรียนวัดเทพลีลา,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,ซอยรามคำแหง 77 ตรงข้ามโอสถสภารามคำแหง,ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),ซอยรามคำแหง 83/2 โรงแรมแอนดา,โรงแรมอเล็กซานเดอร์,แยกลำสาลี(ถนนศรีนครินทร์ขาออก),ซอยโรงงาน ปั้มน้ำมัน ป.ต.ท.,ตรงข้ามบริษัท กรีนสปอร์ต,แยกกรุงเทพกรีฑา หมู่บ้านนักกีฬา,ตรงข้ามเจวีเค,โรงเรียนลำสาลี,ซอยบ้านเอื้ออาทร 7,หมู่บ้านกฤษณา,ตรงข้ามหมู่บ้านแสงทอง,โรงเรียนยุคลธรซอย18,ซอยบี 5,หมู่บ้านอยู่สบาย,มัสยิดดารุนาฮีม,ชุมชนสะฮาดะห์ซอย 26,กรมที่ดินประเวศ,หมู่บ้านนักกีฬา,blankjaa
หมู่บ้านนักกีฬา,ตรงข้ามกรมที่ดินประเวศ,ชุมชนสะฮาดะห์,ตรงข้ามมัสยิดดารุนาฮีม,ตรงข้ามหมู่บ้านอยู่สบาย,กรุงเทพกรีฑาซอย C4,บริษัทคอมฟอร์ม,โรงเรียนยุคลธรซอย18,ตรงข้ามหมู่บ้านแสงทอง,หมู่บ้านกฤษณา,สนามกอล์ฟยูนิโก้,สนามกอล์ฟกรุงเทพกรีฑา,ตรงข้ามบ้านเอื้ออาทรซอย7,ตรงข้ามโรงเรียนลำสาลีบำรุงราษฎร์,อาคารเจวีเค,บริษัทกรีนสปอร์ต,ตรงข้ามซอยโรงงาน,โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,บริษัทโอสถสภา ซอยรามคำแหง 26/1,สถานีตำรวจหัวหมาก สนามกีฬาหัวหมาก,ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง,โรงเรียนวัดเทพลีลา,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,ตรงข้ามฟู้ดแลนด์ เพอร์เฟคเพลส,โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,ตลาดคลองตัน(เพชรบุรี42),โรงพยาบาลคลองตัน ตรงข้ามโรงพยาบาลเพชรเวช,แยกเอกมัย เมรี,แยกทองหล่อเหนือ(ขาเข้า),ชาญอิสสระทาวเวอร์2เพชรบุรีตัดใหม่,ตรงข้ามศูนย์วิจัย,บริษัท สหพัฒนพิบูลจำกัด ,วัดใหม่ช่องลม,ตรงข้ามสุกี้เรือนเพชร,มศว.ประสานมิตร,โรงเรียนเซนต์ดอมินิก,โรงแรมรอยัลปริ๊นซ์โฮเต็ล,แยกมิตรสัมพันธ์(ถนนเพชรบุรีขาเข้า),นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),วัดมักกะสัน,เมโทร,แยกประตูน้ำ,พันธุ์ทิพย์ประตูน้ำ,รร.กรุงเทพการบัญชี,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก2),ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),จุฬาลงกรณ์ (คณะพาณิชยศาสตร์และการบัญชี),จามจุรีสแควร์,ตรงข้ามโรงแรมตะวันนา,ตรงข้ามศูนย์ฮอนด้าพระราม3สาขาสุรวงศ์,องค์การโทรศัพท์,ท่าน้ำสี่พระยา,แยกสี่พระยา
