1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127
อู่รังสิต,หมู่บ้านรัตนโกสินทร์ 200 ปี,โรงพยาบาลปทุมเวช,ฟิวเจอร์ปาร์ครังสิต,เมเจอร์รังสิต,โรงเรียนธัญบุรี,ฟาร์มโชคชัย,ตรงข้ามวัดประยูรจินดารามพหลโยธิน 84,โรงพยาบาลแพทย์รังสิต,เซียร์รังสิต,แยกลำลูกกา ตลาดลำลูกกา,กม.27 ซอยพหลโยธิน 62/2 แยก2-1,โรงพยาบาลบีแคร์เมดิคอลเซ็นเตอร์,หมู่บ้านการ์เด้นโฮม,ซอยแอนเน็กซ์,กม.26,กม.25 พหลโยธิน 54/4,ประตูกรุงเทพ,แยก คปอ.,โรงเรียนนายเรืออากาศ,หอประชุมกานตรัตน์,โรงเรียนฤทธิยะ,สโมสรทหารอากาศ หอประชุมกองทัพอากาศ,โรงพยาบาลภูมิพลอดุลยเดช,แยกท่าดินแดง ตรงข้ามโรงเรียนเสนาธิการทหารอากาศ,แยกวัดเกาะ,สะพานใหม่ตรงข้ามตลาดยิ่งเจริญ,ซอยโชคดี 2 ตรงตลาดไชยณรงค์,บิ๊กซีสะพานใหม่,ตรงข้ามธนาคารกรุงไทย โรงพยาบาลเซ็นทรัล,ซอยสายหยุด,ธนาคารไทยพาณิชย์(พหลโยธิน46/1),หมู่บ้านฝนทอง,เทสโก้โลตัสหลักสี่บางเขน กรมทหารสื่อสารกองทัพบก,การไฟฟ้าบางเขน กรมทหารราบที่11(ประตู1),ตรงข้ามอู่บางเขน,ตรงข้ามซอยพหลโยธิน 51,กรมทหารราบที่11(ประตู2),กรมทหารราบที่11(ประตู3),วัดบางบัว,มหาวิทยาลัยศรีปทุม,โรงเรียนสารวิทยา,กรมวิทยาศาสตร์ทหารบก,โรงแรมมารวย,สำนักงานใหญ่ธกส.,ตรงข้ามมหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),ตลาดอมรพันธ์(ซอยอมรพันธ์),ตรงข้ามมหาวิทยาลัยเกษตรประตู1,ตรงข้ามมหาวิทยาลัยเกษตรประตู3,ลาดยาว ตรงข้ามการไฟฟ้าส่วนภูมิภาค (สำนักงานใหญ่),เรือนจำกลางคลองเปรม (ลาดยาว),ตรงข้ามชินเขตน์2,ตรงข้ามชินเขตน์1(นุกูลธร),แยกพงษ์เพชร(พงษ์เพชรดำเนิน),เดอะมอลล์งามวงศ์วาน,ตรงข้ามพันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามวัดบัวขวัญ,ซอยศาสนา,การประปานครหลวงสามเสน,ซอยสวนเงิน,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน)
อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),พันธุ์ทิพย์งามวงศ์วาน,ตรงข้ามเดอะมอลล์งามวงศ์วาน,แยกพงษ์เพชร(ซอยพงษ์เพชรพัฒนา),ชินเขตน์ 1,ชินเขตน์ 2,ตรงข้ามเรือนจำกลางคลองเปรม(ซอยศรีจั่น),มหาวิทยาลัยเกษตรประตู 3,มหาวิทยาลัยเกษตรประตู 1,มหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),กรมส่งเสริมการเกษตร,สำนักงานคณะกรรมการวิจัยแห่งชาติ,กรมป่าไม้,ไปรษณีย์จตุจักร,ตรงข้ามมหาวิทยาลัยศรีปทุม,โรงเรียนบางบัว,โรงเรียนปราโมชวิทยาทาน,สวนอาหารบางบัว,ซอยพหลโยธิน 49/2,หน้าอู่บางเขน,วัดพระศรีมหาธาตุ,ตรงข้ามเทสโก้โลตัสบางเขน,ซอยน้ำใส ซอยพหลโยธิน 61,ซอยพหลโยธิน 65,ตรงข้ามซอยสายหยุด,ธนาคารกรุงไทย ตรงข้ามโรงพยาบาลเซ็นทรัล,ตรงข้ามบิ๊กซีสะพานใหม่,ตลาดไทยณรงค์,ตลาดยิ่งเจริญ,ตรงข้ามแยกวัดเกาะ แยกสายไหม ช่องทางพาราจันทร์,ตรงข้ามช่องทางท่าดินแดง โรงเรียนเสนาธิการทหารอากาศ,ตรงข้ามโรงพยาบาลภูมิพลอดุลยเดช,ตรงข้ามสโมสรทหารอากาศ,ตรงข้ามโรงเรียนฤทธิยะ,พิพิธภัณฑ์กองทัพอากาศ,กองบัญชาการกองทัพอากาศไทย ตรงข้ามโรงเรียนนายเรือ,แยก คปอ. แยกแปดแฉก,ตรงข้าม กม.25 ซอยพหลโยธิน 54/1,ตรงข้ามซอยแอนเนกซ์,หมู่บ้านการ์เด้นโฮม ตรงข้ามซอย 39,ตรงข้ามโรงพยาบาลบีแคร์,ตรงข้ามแยกลำลูกกา,บิ๊กซี ตรงข้ามเซียร์รังสิต,ตลาดสี่มุมเมือง,วัดประยูร หมู่บ้านสีวลี,มหาวิทยาลัยรังสิต,แม็คโครรังสิต,ตลาดรังสิต,ตรงข้ามหมู่บ้านรัตนโกสินทร์ 200 ปี,อู่รังสิต,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
