1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101
ท่ารถสาย105,ตลาดมหาชัยเมืองใหม่,ตรงข้ามตลาดมหาชัยเมืองใหม่,วัดราษฎร์รังสรรค์,ฮีโน่ชัยรัชการ,บางน้ำจืด,ตรงข้ามวัดพันท้ายนรสิงห์,ตรงข้ามวัดแทนวันดี,พระราม 2 ซอย 100 ตรงข้ามวัดพรหมรังษี,พระราม 2 ซอย 94 อู่แสมดำ,คลองระหาญ,ซอยโฟร์โมส,พระราม 2 ซอย 86,บางกระดี่(ถนนพระราม2ขาเข้า),อมรชัย 4,หมู่บ้านพระราม 2,สะแกงาม,พระราม 2 ซอย 66,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,แยกหัวกระบือ,สำนักงานเขตบางขุนเทียน,เซ็นทรัลพระราม 2,วัดกำแพง(ถนนพระราม2ขาเข้า),ศาลเจ้าแม่งู,วัดกก,สถานีตำรวจบางมด,สมาคมฮินแหน่นแห่งประเทศไทย,ธนาคารอาคารสงเคราะห์,วัดสีสุก,จันทร์พริ้ง,ศูนย์โตโยต้า(ตรงข้ามซอยวัดพุทธบูชา),โรงพยาบาลบางปะกอก9อินเตอร์เนชั่นแนล,โพธิ์ทอง(ใต้ทางด่วนด่านดาวคะนอง),ตรงข้ามสำนักงานเขตจอมทอง,บางปะแก้วซอยสุขสวัสดิ์,วัดนาคนิมิตร,ซอยปลั่ง,ตลาดดาวคะนอง,บิ๊กซีดาวคะนอง,ตรงข้ามโรงเรียนแสงทองโทรทัศน์,โรงแก้ว,โรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามตลาดสำเหร่,ศาลเจ้าแซ่ซิ้ม,ป้ายรถประจำทาง BTS วงเวียนใหญ่(ทางออก3),ท่าปล่อยรถ ป้ายรถประจำทาง BTS กรุงธนบุรี,แยกกรุงธนบุรี,วัดสุวรรณ,ตรงข้ามตลาดคลองสาน
วงเวียนใหญ่ ตลาดวงเวียนใหญ่,แยกสาทร(สมเด็จพระเจ้าตากสิน7),ตรงข้ามศาลเจ้าแซ่ซิ้ม,ตลาดสำเหร่(ซอยวัดสุทธาราม),ตรงข้ามโรงพยาบาลสมเด็จพระปิ่นเกล้า,ตรงข้ามซอยโรงแก้ว,ธนาคารกสิกรไทยสาขาดาวคะนอง ตรงข้ามบิ๊กซืดาวคะนอง,ตรงข้ามตลาดดาวคะนอง,ตรงข้ามซอยปลั่ง,ตรงข้ามวัดนาคนิมิตร,บางปะแก้วตรงข้ามซอยสุขสวัสดิ์,วัดโพธิ์แก้ว,ซอยงูเห่า เกียร์เซอร์วิส,สำนักงานเขตจอมทอง,ตลาดโอ๋เอ๋,พระราม 2 ซอย 21,ซอยวัดพุทธบูชา,ตรงข้ามจันทร์พริ้ง,การประปาวัดยายร่ม,หมู่บ้านชิชา,หมู่บ้านวิชิตนคร,โรงพยาบาลบางมด,ตรงข้ามวัดกก,วัดเลา,ตรงข้ามศาลเจ้าแม่งู,โฮมโปร พระราม 2,บิ๊กซีพระราม 2,สำนักงานเขตบางขุนเทียนสนามฟุตบอลสุขโกกี,หัวกระบือ,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),ตรงข้ามสะแกงาม,ตรงข้ามหมู่บ้านพระราม 2,อมรชัย 4 บริษัท เซ็นทรัลกลาส จำกัด,บางกระดี่,ฟาร์มไก่ชนพม่าพระราม2,ตรงข้ามซอยโฟร์โมส,คลองระหาญ 1,โรงค้าถัง ตรงข้ามอู่แสมดำ,วัดพรหมรังษี,วัดเทพธงชัย(บริษัทฮีโน่มอเตอร์),วัดพันท้ายนรสิงห์(ถนนพระราม2ขาออก),บางน้ำจืดตรงข้ามเอเซียคอมแพ็ค,วัดโครกคราม,ตลาดมหาชัยเมืองใหม่,ท่ารถสาย105,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
