1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143
SanChaoPaeBai,PratunamAngThong,OppAngthongthaniVillage,OopSoiMakamwan,Suansukapap72,Suansukapap84,SoiSukonthawit24,ThasaoJunction,OppPanompraiApartment,Santatong,KrathumBaenMarketOppositeSukhontawitSoi6,HoNalika,KrathumBaenPostOffice,TalatSapCharoen,Watrajbamrung,Tipwanich,Uathorn,Kampeangpet,PutthaSakhonRd/Setthakit1Rd,Grandkittiya,Suanluang,Suanluang(AtRoad4001Intersection),WatMaiNongPhraong,SoiPetkasem116/3,SoiPetkasem114,OppositeTheNongkhaemMarket,SoiPetkasem112,SoiPetkasem110,SoiPetkasem108,SriphetVillagePhetkasemSoi106,SoutheastAsiaUniversity,WichaivetInterHospital,ThonburiMarket(SanamLuang2),BigCPhetkasem,RungrakFarm,OppositeNanyangTextileIndustrythaveewongRoad,SoiPetkasem102/3,SetthakitVillage,DenlaKindergarten,LaksongPoliceStation,SoiPetchkasem96,Phetkasem3VillageSoi94,OppositeWatMuang,Suksan2Village,SoiPetchkasem92/1,KasemradBangkaeHospital,HealthCenter40,Phetkasem88,TheMallBangkae,Sukpawan3Village,BangkhaenuaeSchool,PasanusornBangkaeSchool,TescoLotusBangkae,Petchkasem62/1,Petchkasem62,Phetkasem58/1,Phetkasem58,OppositeSeaconBangkae,Phetkasem54,OppositeWatRangbua,OppositeKan-AriSportClub,WatChanpradittharam,KhundanChaoporsuaShrine,Phetkasem42,Phetkasem38,SiamUniversity,Petchkasem36WatPradu,SoiPetchkasem32SoiSermmit,SoiPetchkasem28,BangphaiHospital,ViboonBusinessAdministrationCollege,ThaPhraIntersectionPrasartWittayaAnuchonSchoolKindergarten
ThaPhraIntersection,OppositeViboonCollege,WatNuannoradit,Phyathai3Hospital,SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),OppositeSiamUniversity,Phetkasem27/1,OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,Kan-AriSportClub,WatRangbua,RedCrossStation11(Wisetniyom),SeaconBangkae,Phetkasem39,BangkaeHomeFoundation,BangkaeMarket,OppositeTescoLotusBangkae,NanyangIndustrial,CastlePeakCompany,Phetkasem45/1,OppositeTheMallBangkae,Phetkasem51,OppositeKasemradBangkaeHospital,Phetkasem-Sai2Junction(Outbd),AmnuaysilpaDhonburiSchool,WatMuang,LaksongNiwetVillage,SamnakPoosawan,BigcPhetkasem(Laksong),SoiPhetkasem67,OppositeSetthakitVillage,Phetkasem69,NanYangTextileIndustry,SoiPhetkasem73/2,TalatPhetKasem,SoiPhetKasem77,SoiPhetKasem77/7,WatUdomRangSri,SoiPhetKasem81,NongKhaemMarket,MubanHansa,KhokMa,PakThangWatMaiNongPha-Ong,Suanluang2,Klongsapandam,KrathumBaenMarketOppositeSukhontawitSoi6,OppositeEye,AngThongThaniVillage,OppositePhasiCharoenWaterSupplyAndMaintenanceProject(PratunamAngThong),OppositeTheShrine,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
