1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135
WatKoosrang,MubanKheSi,BaanRayong(Inbound),MubanSiamnivej,MubanPrachaSamakkee,RongrianKhlongNaKlueaNoi,SaphanSudKhetKrungThep(Inbound),MubanWaralom,BaanPhukong,KonThuengYaekFlaetThungkhru,TrongkhamPrachaUthit125,OppositeWatThungKhru,MubanNarisa,SoiPrachauthit78,SoiPrachauthit76,OppositeSoiPrachaUthit89/2,OppositeSoiPrachaUthit89,SoiPrachauthit62,Mithmaitree,IslamiccollegeOfThailand,JuscoPtachauthit,SoiPrachauthit56,SoiPrachauthit54,SoiPrachaUthit61,SoiPrachauthit48,SoiPrachauthit51,YaekNaaluang,KingMongkut'SUniversityOfTechnologyThonburi,SoiPrachauthit28,KajornrojSchoolPrachauthit33,PrachaU-ThitSoi43,SoiPrachauthit22,SoiPrachaUthit21,SoiPrachauthit14,RatburanaOldMarketSueksaSchool(Old),SoiPrachauthit10,ChetuponCommercialCollage,SoiPrachaUthit7,WatSarod,OppositeBangpakokMarket,SukSawatSoi34,SuksawatSoi30,OppositeWatBangPaKok,OppositeBigCBangPrakok,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,RongrianSaengThongThorathat,RongKaeo,SomdejprapinklaoHospital,OppositeSamreMarket,KrungThonBuriHospital,SathonIntersection(SomdetPhraChaoTaksin6),WongWianYai(ThonburiSuksa),SuksanariSchool,Phahurat(IndiaEmporium),blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
Phahurat(IndiaEmporium),Wangburapa,MiramarHotel,Sampeng-Phahurat,OppositeSuksanariSchool,YaekBanKhaek(Outbd),WongWianYai(Niranrat),WongwianYai,SathonIntersection(SomdetPhraChaoTaksin7),SimClanShrine,PaiRongphayabanKrungThonBuri,SamLePostOffice,TalatSamre(SoiWatSutharam),OfficeTalon,OppositeSomdejprapinklaoHospital,SoiRongKaeo,OppositeRongrianSaengThongThorathat,BankOfThailandDaoKhanongBranchOppositeBigShiDaoKhanong.,OppositeTalatDaoKhanong,OppositeSoiPlangAnuson,OppositeWatNaknimit,TalatWatNak,TalatBangPraKaeo,BigCBangPraKok,WatBangPaKok,SuksawatSoi23,BangPakok1Hospital,BangpakokMarket,OppositeWatSarod,ChetuponCommercialCollageSoiPrachaUthit13,RatburanaOldMarket,SoiPrachaUthit14,PaiPrachaUthit19,SoiPrachaUthit21,SoiPrachaUthit22,SoiPrachaUthit24,KajornrojSchool,SoiPrachaUthit28,ScbBankPrachauthit,SoiPrachaUthit51,OppositeSoiPrachaUthit48,SoiPrachaUthit67,JuscoPtachauthit,Mithmaitree,IslamwattayalaiSchool,SunKumong,SoiPrachaUthit68,MaeaimRestaurant,SoiPrachaUthit89/2,PrachaUthitSoi76,SoiPrachaUthit79/1,MubanNarisa,OppositeWatThungKhru,SoiPrachauthit115,MubanTassanee,PrachaUthit125,KonThuengYaekFlaetThungkhru,BigCThungkhru,BaanPhukong,MubanWaraRom,SaphanSudKhetKrungThep(Outbound),NaKrueNoiSchool,SoiPeng,SoiHuaThanon,MubanSukCharoen2,MubanSiamprachanivej,BaanRayong(Outbound),WatKoosrang
