1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131
ท่ารถแฮปปี้แลนด์ (95 95ก 143),ตรงข้ามลุมพินีเซ็นเตอร์แฮปปี้แลนด์,ตลาดแฮปปี้แลนด์,แยกแฮปปี้แลนด์ 2,แยกลำสาลี(รามคำแหง95),บางกะปิคอนโด(แยกสวนสน),ตรงข้ามบริษัทแอมเวย์(เก่า),วัดศรีบุญเรือง,ตรงข้ามรามคำแหง 68,แยกบ้านม้า(รามคำแหงขาออก),ตรงข้ามศูนย์อีซูซุรามคำแหง,ศูนย์เกียรามคำแหง,หมู่บ้านเดชา 2,ตรงข้ามหมู่บ้านรุ่งกิจ,ตรงข้ามหมู่บ้านฐิติพร 1,โรงเรียนโสมาภา(ตรงข้ามหมู่บ้านชวนชื่น),ตรงข้ามโรงพยาบาลการุณเวช(ถนนรามคำแหง),ตรงข้ามหมู่บ้านสัมมากร,ตรงข้ามหมู่บ้านพฤษชาติ,ซอยรามคำแหง 151/1,ตรงข้ามหมู่บ้านเกศรี 2,ตรงข้ามคลองจั่นวิลล่า 4,ตรงข้ามโรงเรียนเตรียมอุดมน้อมเกล้า,ตรงข้ามหมู่บ้านธารารมณ์,ตรงข้ามคลองจั่นวิลล่า 7,ตรงข้ามหมู่บ้านปรีชา 2,ตรงข้ามบริษัท มิสทีน,ตรงข้ามซอยรามคำแหง 162,ตรงข้ามหมู่บ้านธรากร,ตรงข้ามกรมสรรพากรพื้นที่ 11,ตรงข้ามโรงเรียนเทพอักษร,ซอยรามคำแหง 191,ตรงข้ามหมู่บ้านบัวขาว,ตรงข้ามหมู่บ้านรินทร์ทอง,บิ๊กซีสุขาภิบาล 3,เคหะรามคำแหง,ตรงข้ามไทวัสดุแยกร่มเกล้า,แยกร่มเกล้า(ตรงข้ามบิ๊กซีร่มเกล้า),ตรงข้ามบิ๊กซีร่มเกล้า,ปั้มก๊าซแอลพีจี ไทยก๊าซร่มเกล้า,ตรงข้ามมหาวิทยาลัยเกษมบัณฑิต ร่มเกล้า,บริษัททองดินจำกัด ทองฤทธิ์พลาสติก,ครัวทะเล,โรงงานไบโอ,ตรงข้ามบริษัท สหพัฒนพิบูล จำกัด,ปั๊มเอ็นเอสก๊าซแอลพีจี,ซอยร่มเกล้า 9,เคซีเนเชอรัลวิลล์ร่มเกล้า(ซอย 11),ซอยร่มเกล้า 13 ตรงข้ามมัสยิดนูรุ้ลฮูดา,ตรงข้ามวัดปากบึง,ซอยร่มเกล้า 17,บริษัทไทยยานยนตร์ร่มเกล้า,นครินทร์การ์เด้นท์(ซอย 19/1),ซอยร่มเกล้า 19/3,หมู่บ้านศิรินทรา(ซอย 19/7),ซอยร่มเกล้า 21/2,แยกเจ้ากรีฑา,ตรงข้ามร้านมาสเตอร์สุกี้,แยกถนนคุ้มเกล้า-เจ้าคุณทหาร(ขาออก),หมู่บ้านเอกไพลิน(หมู่บ้านลาดกระบัง),แยกนิคมอุตสาหกรรมลาดกระบัง(ขาออก),ตรงข้ามหมู่บ้านรุ่งอรุณ 2,วัดสุทธาโภชน์,สจล.(คณะครุศาสตร์อุตสาหกรรม),สจล.(คณะเทคโนโลยีสารสนเทศ),ท่าปล่อยรถ พระจอมเกล้าลาดกระบัง
ท่าปล่อยรถ พระจอมเกล้าลาดกระบัง,สจล.(คณะครุศาสตร์อุตสาหกรรม),สจล.(คณะเทคโนโลยีสารสนเทศ),หมู่บ้านรุ่งอรุณ2,แยกนิคมอุตสาหกรรมลาดกระบัง(ขาเข้า),ตรงข้ามหมู่บ้านเอกไพลิน(เจ้าคุณทหาร),แยกถนนคุ้มเกล้า-เจ้าคุณทหาร(ขาเข้า),สำนักงานศุลกากรตรวจสินค้าลาดกระบัง,บ้านพาราไดซ์,รุ่งกิจวิลล่า11,หมู่บ้านเวร่า,ซอยร่มเกล้า 26,แนชั่นแนลเฟอร์นิเจอร์,แยกเคหะร่มเกล้า,วัดปากบึง,มัสยิดนูรุ้ลฮูดา,โค้วยู่ฮะอีซูซุเซลส์ หมู่บ้านกฤษณาร่มเกล้า,ศุภาลัยพาร์ควิลล์ร่มเกล้า,ไทยออสนอวร์,บริษัท สหพัฒนพิบูลจำกัด,บริษัทสานติบรรจุภัณฑ์จำกัด,ร่มเกล้าซอย4,บ้านสวนร่มเกล้า,ตรงข้ามทองฤทธิ์พลาสติก,มหาวิทยาลัยเกษมบัณฑิต ร่มเกล้า,บิ๊กซีร่มเกล้า,แยกร่มเกล้า(บิ๊กซีร่มเกล้า),หมู่บ้านรุ่งนภา 2,เตหะชุมชนรามคำแหง,หมู่บ้านรินทร์ทอง,ตรงข้ามซอยรามคำแหง 199,หน้าหมู่บ้านเบญจรงค์,โรงเรียนเทพอักษร,กรมสรรพากรพื้นที่ 11,หมู่บ้านธรากร,ซอยรามคำแหง 162,บริษัท มิสทีน,หมู่บ้านปรีชา 2(รามคำแหง159/1),คลองจั่นวิลล่า 7,หมู่บ้านธารารมณ์,โรงเรียนเตรียมอุดมน้อมเกล้า,คลองจั่นวิลล่า 4,หมู่บ้านเกศรี 2,ตรงข้ามซอยรามคำแหง 151/1,หมู่บ้านพฤษชาติ,หมู่บ้านสัมมากร,โรงพยาบาลการุณเวช(ถนนรามคำแหง),หมู่บ้านชวนชื่น,หมู่บ้านฐิติพร 1,หมู่บ้านรุ่งกิจ,ตรงข้ามหมู่บ้านเดชา 2,ศูนย์เกียรามคำแหง ตรงข้ามซอยรามคำแหง 123,ศูนย์อีซูซุรามคำแหง,แยกบ้านม้า(รามคำแหงขาเข้า),ตรงข้ามวัดศรีบุญเรือง,บริษัทแอมเวย์(เก่า),บางกะปิคอนโด(แยกสวนสน)(รามคำแหง60/1),แยกลำสาลี(ถนนรามคำแหงขาเข้า),ตลาดบางกะปิ(ซอยลาดพร้าว 127),สถานีตำรวจลาดพร้าว,หมวดการทางบางกะปิ,โรงเรียนบ้านบางกะปิ,ตรงข้ามสำนักงานการเคหะแห่งชาติ,ซอยนวมินทร์ 17,ตรงข้ามสนามกีฬาคลองจั่น(นวมินทร์33),ท่ารถแฮปปี้แลนด์ (95 95ก 143)
