1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185
SouthernBus(Talingchan)BusTerminal,WatMakok,ThanonChimPhli,Borommaratchachonnani52,OppositeTheDusitMunicipalityCourt,SoiBorommaratchachonnani46,SoiChimpee2,BenzTalingchan,SeriGolf,SoiBorommaratchachonnani22,Borommaratchachonnani12,ChaophrayaHospital,MinistryOfCulture,LumpiniParkPinklao,MajorPinklao,TescoLotusPinKlao,PataPinklao,PhraPinklaoBridge(Inbound),Sanamluang(SupremeCourt),Sanamluang(CityPillarShrine),MinistryOfDefense,SaranRomPalace,OppositeCharachonKlang,OppositeChalermkrung,SinDamRong,Klongthom(CharoenkrungSide),KwongsiewHospital,Wongwian22Kadukhada,BusStopMRTHuaLamphong(Exit3),SaphanLueang,Chulalongkorn9,Chulalongkorn11,ChamchuriSquare,SathanSaowapha,LumphiniPark,LumphiniPark(OppositeLumphiniParkView),BrunKai,KhlongToeiBusStopMRT,RongNganYasup,OppositeElectricityAuthorityKhlongToei,OppositeKlongToeyMarket(SoiPhaiSingto),SoiCharoenSuk,SoiChokDi,Sainamphueng(Sukhumvit22),OppositeTescoLotusRama4,TheRoofSirinrat,BotThaoWoe,OppositeTheptharinHospital,SanChaophoKuanU,OppositeBangkokUniversityCityCampus,OppositeSoiChainSawat,KluaiNamThaiIntersection(KluaiNamThaiPostOffice),OppositeSoiFamWatthana,HospitalCampus(Rama4Outbound).,RongrianPhraKhanongWitthaya,PhraKhanongMarket,DapphloengOnNut,Sukhumvit79,PaiSukhumvit81(Soi81SiriPhot),SunkankhaMaketPhlat(KhetPhraKhanong),TalatBangChak,TransportOfficeArea3,Punnawithi(Sukhumvit101),BusStopBTSPunnawithi(Exit3),WachirathamSatit(Sukhumvit101/1),Sukhumvit101/2,BusStopBTSUdomsuk(Exit1),OppositeKluaynamthai2Hospital,BangnaIntersection(OutboundStop.1),BangnaIntersection(OutboundStop.2),BusStopBTSBangNa(Exit3),MubanNaphalai,BusStopBTSBaering(BetweenExit1And3),SoiBaeRing,SoiSantiKham(Sukhumvit109),TalatThamSaRot,OppositeImPhiRianSamrong(TalatSamrong),BigCSamrong,Sukhumvit115(SoiAphiChat),ToyotaNechannaen,WatTrai,KhongKroek,UdomDet(Kosono),RongNom,NatSunthon(RongrianPhraNinWatchara),WatBangNangKrengYuwaPrasatHospital,SamutPrakanPostOffice,SoiBunSiri,RongrianSaraphatChangSamutPrakanSongThaeo36,SamutprakanAreaRevenueOffice1,WatPichaiSongkram,blankjaa,blankjaa
PakNamMarket,SalaKlangChangwatSamutPrakan,RongrianSaraphatChangSamutPrakan,Navy,RongrianNairueaPraisaniPaknam,WatBangNangKreng,OppositeSukhumvitSoi17,OppositeRongNom,DetUdom(Nfe.).,KhongKroekKao,WatTraiChangErawan,HiTaChiToyota,PttPetrolStation.,OppositeHangBikSiSamrong,SamrongMarketOppositeSukhumvitSoi11,SoiSantiKham(ThoNakhonLuangThai)Soi74,SukhumvitSoi70/1,BearingSkytrainStationLasal,ManaromHospital,BangnaSkytrainStation,BangnaIntersection(Inbound),Kluaynamthai2Hospital,BusStopBTSUdomsuk(Exit4),UdomSukPostOffice,WachirathamSatit(OppositeSukhumvit101/1),BusStopBTSPunnawithi(Exit4),BusStopBTSPunnawithiStation,BusStopBTSPunnawithi(Exit2),Sukhumvit62/1,TalatBangChak(Sukhumvit93),SukhumvitSoi56,RongrianNariNiramon(KhetPhraKhanong),BusStopBTSOnNut(Exit2),TalatOnNut(KanPrapaOnNut)KanPrapaPhraKhanong,OppositePhrakhanongMarket,KluaiNamThaiSaeTonLet,ThanakhanKrungSiAyutthaya,OppositeHospitalCampus(Rama4Outbound).,SoiFamWatthana,KluaiNamThai(Intersection),SoiChainSawat,BangkokUniversityCityCampus,KwonKonKan,TheptharinHospital,OppositeBotThaoWoe,Manorom,TescoLotusRama4,RanAhanSonThong,Sainamphueng,SoiChaiMongkhon1,ElectricityAuthorityKhlongToei,OppositeRongNganYasup,ThailandLife(Kai),LumPhiNiPraThumWan,UChuLiangBuilding,DusitThaniHotel(ThanonRamaIv),KingChulalongkornMemorialHospitalRobinSrilom,MontienHotel,WatHunLomphon,MandarinHotel,SaphanLuengChurch,CentralLabourCourtPathumwan,BusStopMRTHuaLamphong(Exit4),WatThaimit,ThianfahHospital,ChaloemburiIntersection,OldMarketYaowarat,WatTuk,Wangburapa,ChaloemKrung,CharachonKlang,TerritorialDefenseCommand,GrandPalace,Sanamluang(OppositeSupremeCourt)Stop.1,Sanamluang(OppositeSupremeCourt)Stop.2,PhraPinklaoBridge(Outbound),OppositePataPinklao,SeparateBoromarajonani,ThanonBoromRatChonnani,CentralPinklao,LumpiniCondoPinklao,ChaophyaHospital,BefPinklaoBusTerminal,SoiBorommaratchachonnani35,SoiBorommaratchachonnani45,CedarMansion,TalingchanPoliceStation,Ratchapreuk-BorommaratchachonnaniIntersectionStop1,TheDusitMunicipalityCourt,TalingchanPublicProsecutionOffice,OppositeThanonChimphli,PaimrakVillage,SouthernBus(Talingchan)BusTerminal
