1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171
อู่รถเมล์สาย 38 48 (ม.รามคำแหง2),ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),ซอยจรรยวรรธ,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(บางนา-ตราดขาเข้า),แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ซอยสุขุมวิท 66,ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),ตรงข้ามตลาดอ่อนนุช การประปาพระโขนง,ตรงข้ามตลาดพระโขนง,ป้ายรถประจำทาง BTS พระโขนง(ทางออก 2),โรงเรียนศรีวิกรม์,เกตเวย์เอกมัย,ท้องฟ้าจำลอง,ซอยสุขุมวิท 40,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 2/4),ซอยสุขุมวิท 34(ซอยสุภางค์),ซอยสุขุมวิท 28(ซอยบรรณสาร),ป้ายรถประจำทาง BTS พร้อมพงษ์(ทางออก4),อุทยานเบญจสิริ,ซอยสุขุมวิท 20,ซอยสุขุมวิท 18 แยกอโศก,แยกสุขุมวิท-อโศก ตลาดอโศก,อาคารเสริมมิตร ตรงข้ามตึกชิโนทัย,ตรงข้ามตึกจีเอ็มเอ็มแกรมมี่,ตรงข้ามมหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตร,โรงเรียนเซนต์ดอมินิก,โรงแรมรอยัลปริ๊นซ์โฮเต็ล,แยกมิตรสัมพันธ์(ถนนเพชรบุรีขาเข้า),นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),วัดมักกะสัน,เมโทร,แยกประตูน้ำ,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),ซอยพหลโยธิน 1 ซอยลือชา,โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),ซอยพหลโยธิน 5 ซอยราชครู,ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,ซอยพหลโยธิน 11 ซอยเสนาร่วม,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),ป้ายรถประจำทาง MRT พหลโยธิน(ทางออก3),แยกลาดพร้าว(ซอยลาดพร้าว 1),ตรงข้ามสงวนซาวต์ออโต้แคร์,ตรงข้ามธนาคารไทยพาณิชย์ลาดพร้าว,บิ๊กซีลาดพร้าว,ซอยลาดพร้าว 15 ตรงข้ามซอยลาดพร้าว 20,ซอยลาดพร้าว 17  ป้ายรถประจำทาง MRT ลาดพร้าว  ลาดพร้าว 19,ศาลแขวงพระนครเหนือ,ศาลอาญา,ตรงข้ามมหาวิทยาลัยราชภัฏจันทรเกษม,blankjaa,blankjaa,blankjaa,blankjaa
ตรงข้ามมหาวิทยาลัยราชภัฏจันทรเกษม,ตรงข้ามซอยเสือใหญ่,ซอยเสือใหญ่ 2,รัชดาหินอ่อน,สถานีตำรวจพหลโยธิน,ตึกช้าง,โรงเรียนสตรีวรนาถบางเขน,กองปราบปราม,เทสโก้โลตัสลาดพร้าว,ตรงข้ามเซ็นทรัลลาดพร้าว,ธนาคารทหารไทย (สำนักงานใหญ่),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,ซอยพหลโยธิน 8 ซอยสายลม,ป้ายรถประจำทาง BTS อารีย์(ทางออก4),ซอยราชครู ตรงข้ามซอยพหลโยธิน 5,ซอยพหลโยธิน 2 ซอยกาญจนาคม,ททบ.5,ซอยลือชา ตรงข้ามซอยพหลโยธิน 1,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,ป้ายรถประจำทาง BTS-Arl พญาไท,กรมปศุสัตว์,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,เมโทรตรงข้ามตู้ทรูแขวงมักกะสัน,ตรงข้ามวัดมักกะสัน,นิคมมักกะสัน(ถนนเพชรบุรีขาออก),ตรงข้ามอาคารธนภูมิ,ตรงข้ามโรงเรียนเซนต์ดอมินิก(รร.ดอนบอสโก),มหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตร,ตรงข้ามอาคารเสริมมิตร,ตึกชิโนทัย ตรงข้ามตลาดอโศก,แยกสุขุมวิท-อโศก(ซอยคาวบอย),ซอยสุขุมวิท 23,ซอยสุขุมวิท 27 ตรงข้ามสายน้ำผึ้ง,ซอยสุขุมวิท 31,ตรงข้ามสวนเบญจศิริ,เอ็มควอเทียร์,ซอยสุขุมวิท 41,ซอยสุขุมวิท 47,ซอยสุขุมวิท 49,ซอยสุขุมวิท 34,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 1),ซอยสุขุมวิท 57,ซอยสุขุมวิท 40(ยูเนสโก้),เมเจอร์เอกมัย,วัดธาตุทอง,ตรงข้ามโรงเรียนศรีวิกรม์ ซอยสุขุมวิท 65/1,ป้ายรถประจำทาง BTSพระโขนง(ทางออก3),ตลาดพระโขนง,ดับเพลิง อ่อนนุช,ซอยสุขุมวิท 79,ป้ายรถประจำทาง BTSอ่อนนุช ซอยสุขุมวิท 81 (ศิริพจน์),ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,เซ็นทรัลบางนา,โรงพยาบาลไทยนครินทร์ บางนา-ตราด27,ศรีเอี่ยม ตรงข้ามเคหะบางนา,ซอยบางนา-ตราด 19 กม.4,พาร์คแลนด์ อินเด็กซ์ลิฟวิ่งมอร์ บางนา,สำนักงานสรรพากรพื้นที่บางพลี,บริษัท Hks Thailand ตรงข้ามบางนาทาวเวอร์,ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,เทสโก้โลตัส บางนา-ตราด,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),อู่รถเมล์สาย 38 48 (ม.รามคำแหง2)
