1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,CentralLadprao,OppositeCrimeSuppressionDivision,OppositeSatriWoranatBangkhenSchool,OppositeElephantBuilding,ThaivichitsilpArtSchool,OppositeMayoHospital,KasetIntersection(Amornpan),KasetsartUniversity(PhahonyothinSide),DepartmentOfAgriculturalExtension,NationalResearchCouncilOfThailand,RoyalForestDept.,ChatuchakPostOffice,OppositeSripatumUniversity,BangbuaSchool,PramotWitthayatanSchool,BangbuaRestaurant,Phahonyothin49/2,SoiPhaholyothin53,BangkhenBusDepot[FrontOf],WatPhraSiMahathat,BangkhenPoliceStation,KrirkUniversity,CentralRamintra,Ramintra5,PramochWitthayaRaminthraSchool,OppositeLumpineeStadiumRamintra,LatPlakhaoJunction(Ramintra15),SoiRamindra21,OppositeBigcRamintra,MubanKaoli,TaladKomo4,KhehaRamInthraKomo4,OppositeSoiMaiLap,KongBinTamruat,WatcharaPhon(Km.5),MubanSawatdikanThahan,SoiRaminthra65,Komo7RamInThra,RamInThraSoi69,Komo8RamInThra,Komo8RamInThra52SunNitSanPamPariToNat,OppositeSynphaetHospital,RamInThra89YueangPamEsSo,YaekThanonLiapKhlongSong,FashionIsland,ThanakhanKrungthaiRamInThra,PamPotothoOppositeRanHiaHoPuDong,Wisutavil,NoppositeharatHospital,JanpenRestaurant,MakmaiRestaurant,PhrayaSuren,Ramintra117,Sinthanee2Village,PaenamRestaurant,SetthabutBamphenSchool,MinBuriIntersection(SoiTakhian),MinburiTechnicalCollege,Jatujak2Minburi,MinburiMarket(GoldenFiishBuilding),MinburiBusDepot
MinburiBusDepot,Chatuchak2MarketMinburi,Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),OppositeSetthabutBamphenSchool,Ramintra86,MomchaoSangangam,OppositeRamintra115,OppositePhrayaSuren,MubanRangsiYa,TechnoThaiSuriya,OppositeNoppositeharatHospital,RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,OppositeFashionIsland,UmnuayPhesaj,SoiChuenKamon,SynphaetHospital,SoiRamInThra46,OppositeSoiRamintra69,Komo7RamInThra42/3,SoiNuanchan,RongrianSaiAksonKomo6,OppositeMubanSawatdikanThahanBok,WatcharaPhon,OppositeKongBinTamruat,SoiMaiyalap,OppositeTaladKomo4,OppositeMubanKaoli,BigCRamintra,LatPlakhaoJunction(RamintraCenter),LumpineeBoxingStadiumRamintra,RtaSportsCenter,SanamKopThobo,OppositeCentralRamintra,OppositeKrirkUniversity,ElectricityKhen11ThInfantryRegiment(Gate1),OppositeBangkhenBusDepot,OppositePhahonyothin51,11ThInfantryRegiment(Gate2),11ThInfantryRegiment(Gate3),WatBangbua,SripatumUniversity,SarawittayaSchool,RtaChemicalDept.,MaruayHotel,BaacHeadquarter,OppositeKasetsartU(PhahonyothinSide),KasetIntersection(Phahonyothin34/2),MayoHospital,OppositeThaivichitsilpArtSchool,MajorRatchayothin,ElephantBuilding,SatriWoranatBangkhenSchool,CrimeSuppressionDivision,TescoLotusLatphrao,OppositeCentralLadprao,TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(PhahonYothinSide),blankjaa,blankjaa
