1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141
ท่าปล่อยรถ หัวลำโพง,สถานีรถไฟหัวลำโพง,แยกมหานคร,สะพานเหลือง,จุฬาลงกรณ์ 9,จุฬาลงกรณ์ 11,แยกสามย่าน,จุฬาลงกรณ์ (นิติศาสตร์/นิเทศศาสตร์),จุฬาลงกรณ์ (คณะครุศาสตร์),จุฬาลงกรณ์ (หอศิลป์จามจุรี),มาบุญครอง,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก3),พญาไทพลาซ่า,สำนักงานเขตราชเทวี,กรมแพทย์ทหารบก,อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),"ซอยพหลโยธิน 1,ซอยลือชา",โรงพยาบาลพญาไท2,ป้ายรถประจำทาง BTS สนามเป้า(ทางออก1),ป้ายรถประจำทาง BTS สนามเป้า(ทางออก3),"ซอยพหลโยธิน 5,ซอยราชครู",ป้ายรถประจำทาง BTS อารีย์(ทางออก3),กองบัญชาการตชด.,"ซอยพหลโยธิน 11,ซอยเสนาร่วม",ป้ายรถประจำทาง BTS สะพานควาย(ทางออก1),วัดไผ่ตัน,ป้ายรถประจำทาง BTS สถานีหมอชิต(ทางออก3),ตรงข้าม ธนาคารทหารไทย (สำนักงานใหญ่),สวนจตุจักร(ฝั่งวิภาวดี),สำนักงานใหญ่ปตท.,สมบัติทัวร์,วิทยาลัยธัชชรินทร์วิทยา,ตรงข้ามสำนักงานเขตจตุจักร,กองบัญชาการตำรวจ 191,วัดเสมียนนารี,ข้ามแยกเกษตร,วัดเทวสุนทร,ตรงข้ามหนังสือพิมพ์เดลินิวส์,สถานีตำรวจนครบาลทุ่งสองห้อง,"ตรงข้ามโรงเรียนไผทอุดม,มิราเคิลแกรนค์",สถาบันวิจัยจุฬาภรณ์,ไอทีสแควร์,วัดหลักสี่,เคหะทุ่งสองห้อง,คลังน้ำมัน(ถนนวิภาวดีรังสิต),สำนักงานเขตดอนเมือง,ตลาดใหม่ดอนเมือง,วัดดอนเมือง,ตรงข้ามฝ่ายช่างดอนเมือง,"โรงเรียนดอนเมืองทหารอากาศบำรุง,สถานีตำรวจดอนเมือง","หมู่บ้านธนิทร,ซอยวิภาวดีรังสิต 35",หมู่บ้านอยู่เจริญ,"วิภาวดีรังสิต39,หมู่บ้านยิ่งโอฬาร",โรงเรียนพหลโยธิน,หมู่บ้านวังทองวิภาวดีซอย 47,โรงเรียนสังคีต,"บิ๊กซี,ตรงข้ามเซียร์รังสิต",ตลาดสี่มุมเมือง,"วัดประยูร,หมู่บ้านสีวลี",มหาวิทยาลัยรังสิต,แม็คโครรังสิต,ตลาดรังสิต,ตรงข้ามหมู่บ้านรัตนโกสินทร์ 200 ปี,อู่รังสิต,,,,,,,
อู่รังสิต,หมู่บ้านรัตนโกสินทร์ 200 ปี,โรงพยาบาลปทุมเวช,ฟิวเจอร์ปาร์ครังสิต,เมเจอร์รังสิต,โรงเรียนธัญบุรี,ฟาร์มโชคชัย,ตรงข้ามวัดประยูรจินดารามพหลโยธิน 84,โรงพยาบาลแพทย์รังสิต,เซียร์รังสิต,อนุสรณ์สถาน,โรงงานพรมไทยปิง,"หมู่บ้านพิพรพงษ์ 2,3,4",หมู่บ้านศุภลักษณ์,"บริษัทttl,Isuzu",ฐานทัพอากาศ,ตรงข้ามสถานีตำรวจนครบาลดอนเมือง,ฝ่ายช่างท่าอากาศดอนเมือง,ดอนเมือง(สำนักงานท่าอากาศยาน),ดอนเมือง (อาคารผู้โดยสาร 1-2),ดอนเมือง (อาคารผู้โดยสาร 3),ดอนเมือง(คลังสินค้า),ดอนเมือง (ช่องทาง ทดม.8),ร้านเจ้เล้ง,คอตโต้,ฮีโน่มอเตอร์สเซลส์,แยกหลักสี่(ศูนย์อะไหล่หลักสี่ซอย 2),หนังสือพิมพ์แนวหน้า,โรงเรียนไผทอุดมศึกษา,สโมรสตำรวจthaipbs,ซอยวิภาวดี 58,โรงแรมรามากาเด้นซ์,หนังสือพิมพ์เดลินิวส์,บริษัท ยาคูลท์,มหาวิทยาลัยเกษตรศาสตร์,การทางพิเศษบางเขน,โรงพยาบาลวิภาวดีถนนวิภาวดีรังสิต,"บริษัทโตโยต้า,ซอยวิภาวดี 46","ซอยวิภาวดี 42,ตรงข้ามวัดเสมียน","สถานีตำรวจวิภาวดี,หนังสือพิมพ์บ้านเมือง",สำนักงานเขตจตุจักร,"อาคารชินวัตร3,บริษัทตรีเพชร",โรงเรียนหอวัง,ธนาคารทหารไทย (สำนักงานใหญ่),ตรงข้ามสวนจตุจักร,กรมการขนส่งทางบก,ซอยพหลโยธิน 18,ตรงข้ามวัดไผ่ตัน,ป้ายรถประจำทาง BTS สะพานควาย(ทางออก2),สถานีตำรวจบางซื่อ,"ซอยพหลโยธิน 8,ซอยสายลม",ป้ายรถประจำทาง BTS อารีย์(ทางออก4),"ซอยราชครู,ตรงข้ามซอยพหลโยธิน 5","ซอยพหลโยธิน 2,ซอยกาญจนาคม",ป้ายรถประจำทาง BTSสนามเป้า(ทางออก4),ททบ.5,"ซอยลือชา,ตรงข้ามซอยพหลโยธิน 1",อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,กรมปศุสัตว์,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก2),ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,สถานีรถไฟหัวลำโพง,ท่าปล่อยรถ หัวลำโพง
