1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105
กองสลาก,แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,"โรงหนังธนบุรีรามา,จรัญสนิทวงศ์49",โรงเรียนปิ่นมงคลการศึกษา,"วัดรวกบางบำหรุ,บ้านบรรหารศิลปอาชา",สำนักงานที่ดินกรุงเทพมหานครสาขาบางกอกน้อย,ซอยจริญสนิทวงศ์ 65(ซอยร่วม),แยกบางพลัด(จรัญสนิทวงศ์ 69),ซอยจรัญสนิทวงศ์ 73,โรงเรียนบูรณวิทย์,"วัดบางพลัด,จรัญสนิทวงศ์ 77/3",สำนักงานเขตบางพลัด,"บางพระครู,จรัญฯ 85",ซอยจรัญสนิทวงศ์ 89/1,ตรงข้ามโรงพยาบาลยันฮี,ตรงข้ามสถานีตำรวจดับเพลิงบางอ้อ,ตรงข้ามซอยจรัญสนิทวงศ์ 96/2,ตรงข้ามมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ธนาคารอาคารสงเคราะห์สาขาพระราม7,ตรงข้ามหมู่บ้านพิบูลย์บางซื่อ,โรงเรียนสตรีนนทบุรี-วัดปากน้ำ,"ตรงข้ามหมู่บ้านพิบูลย์การ์เดน,ซอยแสงเสนีย์1","คอนโดริเวอร์ไร,แฟรกส์บาร์,",สวนอาหารนัดพบ,ตรงข้ามวัดกำแพง,วิทยาลัยพาณิชย์พงษ์สวัสดิ์เทคโนโลยี,ตลาดนนท์,ท่าน้ำนนทบุรี,ตรงข้ามซอยประชาราษฎ์ 13,"โรงเรียนเทศบาล 2,วัดทินกรนิมิต",หมู่บ้านเรวดี,ซอยเลี่ยงเมืองนนทบุรี 13,"คอนโดลุมพินี,สวนส้มธนาธร",แยกพระนั่งเกล้า,หมู่บ้านชมเพลิน,"รัตนคลินิค,หมู่บ้านซื่อตรง",ซอยบางรักน้อย-ไทรม้า,โรงเรียนป่าไม้อุทิศ,บางรักน้อย ซอย 2,หมู่บ้านลัดดารมย์ 1,อนามัยบางรักน้อย,โรงเรียนท่าอิฐศึกษา,คาซ่าวิลล์,หมู่บ้านมณียา,หมู่บ้านนันทนาโจ๊กบางกอกท่าอิฐ,หน้าเขตการเดินรถที่ 7,อู่ท่าอิฐ,,,
อู่ท่าอิฐ,หน้าเขตการเดินรถที่ 7,หมู่บ้านนันทนา,หมู่บ้านเอื้ออาทรท่าอิฐ 8,ครัวสะเด็ด,ซอยบางรักน้อย 13,ปากซอยท่าอิฐ,สะพานลอยมณียา,ป้ายรถประจำทาง MRT ไทรม้า,สะพานลอยซื่อตรง,ซอยรัตนาธิเบศร์ 36,ศูนย์นิสสัน,ธนาคารกรุงเทพรัตนาธิเบศร์,เซ็นทรัลรัตนาธิเบศร์,ตรงข้ามวัดสมรโกฏิ,บิ้กซีรัตนาธิเบศร์,วัดสมรโกฏิ,ตรงข้ามเซ็นทรัลรัตนาธิเบศร์,หมู่บ้านเรวดี 3 ซอย 13,ตรงข้ามวัดทินกร,ซอยประชาราษฎ์ 11,ท่าน้ำนนทบุรี,เมเจอร์นนทบุรี,ธนาคารกรุงศรีอยุธยา(ถนนพิบูลสงครามขาเข้า),โรงเรียนการัญศึกษา,ตรงข้ามวัดนครอินทร์,วัดกำแพง(ขาเข้า),ปั๊มน้ำมัน Esso,สวิตบาร์,ตรงข้ามคอนโดริเวอร์ไรน์,ซอยพิลบูลสงคราม 14,ตรงข้ามวัดเขมา,ตรงข้ามโรงเรียนสตรีนนทบุรี-วัดปากน้ำ,หมู่บ้านพิบูลย์บางซื่อ,ตรงข้ามบริษัท พูลผลจำกัด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ใต้สะพานพระราม7(ขาเข้า),ซอยจรัญสนิทวงศ์ 96/2,โรงเรียนพระรามหกเทคโนโลยี,โรงพยาบาลยันฮี,โรงพิมพ์สามเจริญ,ซอยจรัญสนิทวงศ์ 82,ซอยจรัญสนิทวงศ์ 74/1,โลตัสจรัญสนิทวงศ์,วัดเทพากร,แยกบางพลัด,วัดเปาโรหิตย์,วิทยาลัยเทคโนโลยีพณิชยการสยาม,ตลาดพงษ์ทรัพย์,ตรงข้ามโรงเรียนปิ่นมงคลการศึกษา,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก
