1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85
ท่าน้ำนนทบุรี,เมเจอร์นนทบุรี,ธนาคารกรุงศรีอยุธยา(ถนนพิบูลสงครามขาเข้า),โรงเรียนการัญศึกษา,ตรงข้ามวัดนครอินทร์,วัดกำแพง(ขาเข้า),ปั๊มน้ำมัน Esso,สวิตบาร์,ตรงข้ามคอนโดริเวอร์ไรน์,ซอยพิลบูลสงคราม 14,ตรงข้ามวัดเขมา,ตรงข้ามโรงเรียนสตรีนนทบุรี-วัดปากน้ำ,หมู่บ้านพิบูลย์บางซื่อ,ตรงข้ามบริษัท พูลผลจำกัด,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ไอ.คิว.เซ็นเตอร์เชิงสะพานพระราม 7,ตรงข้ามวัดเสาหิน,"ตรงข้ามซอยวงศ์สว่าง 4,ซอยยิ้มประยูร","วัดน้อย,ซอยวงศ์สว่าง 13",ชุมชนวัดหลวง,"วัดเลียบ,ซอยวงศ์สว่าง 21","ตรงข้ามบิ๊กซีวงศ์สว่าง,ซอยวงศ์สว่าง 27","ดับเพลิงวงศ์สว่าง,กรุงเทพ-นนท์","ตรงข้ามกรมยุทธบริการ,ตรงข้ามสำนักงานทหารพัฒนา","วิริยะประกันภัย,ซอยรัชดาภิเษก 68",แยกประชานุกูล(รัชดาภิเษก64),"ซีเมนต์ไทย1,ทางด่วน,ซอยรัชดาภิเษก 60",หมู่บ้านปูนซีเมนต์ 2,"ตึกเอสซีบี,ซอยรัชดาภิเษก 46",โรงเรียนไทยวิจิตรศิลป์,ตรงข้าม รพ.เมโย,แยกเกษตร(ตลาดอมรพันธ์),มหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),กรมส่งเสริมการเกษตร,สำนักงานคณะกรรมการวิจัยแห่งชาติ,กรมป่าไม้,ไปรษณีย์จตุจักร,ตรงข้ามมหาวิทยาลัยศรีปทุม,โรงเรียนบางบัว,โรงเรียนปราโมชวิทยาทาน,สวนอาหารบางบัว,ซอยพหลโยธิน 49/2,อู่บางเขน
อู่บางเขน,"การไฟฟ้าบางเขน,กรมทหารราบที่11(ประตู1)",ตรงข้ามอู่บางเขน,ตรงข้ามซอยพหลโยธิน 51,กรมทหารราบที่11(ประตู2),กรมทหารราบที่11(ประตู3),วัดบางบัว,มหาวิทยาลัยศรีปทุม,โรงเรียนสารวิทยา,กรมวิทยาศาสตร์ทหารบก,โรงแรมมารวย,สำนักงานใหญ่ธกส.,ตรงข้ามมหาวิทยาลัยเกษตรศาสตร์(ฝั่งพหลโยธิน),แยกเกษตร(พหลโยธิน34/2),รพ.เมโย,วิทยาลัยเทคโนโลยี ไทยวิจิตรศิลป,ตึกเอสซีบีสำนักงานใหญ่,หมู่บ้านปูนซีเมนต์,แยกประชานุกูล(ซอยรัชดาภิเษก 35),"ซอยรัชดาภิเษก 39,ศิริชัยไก่ย่าง","กรมยุทธบริการ,สำนักงานทหารพัฒนาหน่วยบัญชาการทหารพัฒนา",แยกวงศ์สว่าง,บิ๊กซีวงศ์สว่าง,"ธนาคารกรุงเทพสาขาวงศ์สว่าง,วัดเลียบ",ตรงข้ามซอยวัดหลวง,"ตรงข้ามวัดน้อย,ตรงข้ามซอยวงศ์สว่าง 15",วัดเสาหิน,ใต้สะพานพระราม7(ขาออก),ตรงข้ามมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,ธนาคารอาคารสงเคราะห์สาขาพระราม7,ตรงข้ามหมู่บ้านพิบูลย์บางซื่อ,โรงเรียนสตรีนนทบุรี-วัดปากน้ำ,โรงเรียนเขมพิทยา,"ตรงข้ามหมู่บ้านพิบูลย์การ์เดน,ซอยแสงเสนีย์1","คอนโดริเวอร์ไร,แฟรกส์บาร์,",สวนอาหารนัดพบ,ตรงข้ามวัดกำแพง,วิทยาลัยพาณิชย์พงษ์สวัสดิ์เทคโนโลยี,ตลาดนนท์,ท่าน้ำนนทบุรี,,,
