1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155
HappyLand,KhlongChanStadium,Na,Kankhehahaengchat,OppositeRongrianBanBangKapi,OppositeSanphakonPhuenthi3NawaMin,OppositeSonoLatPhrao,TheMallBangkapi,MakroLadprao,TawanNa2,OppositeRongphayabanWetThani,OppositeLatPhrao107,LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,LatPhraoSoi126,SoiLatPhrao122,OppositeLatPhraoHospital,OppositeFutLaen,LatPhraoSoi114BangkokSuksaSchool,LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,LatPhrao92,Ladplaow71,LatPhraoSoi80,OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,KromPhaenthiThahan,LatPhraoSoi58,OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,Phawana,SoiLatPhrao42,SoiLatPhrao40,SoiLatPhrao38,YaekRatDa,SoiLatPhrao28,BusStopMRTLatPhraoStation,SoiLatPhrao26,SoiLatPhrao22,SoiLatPhrao20,LatPhraoSoi14,SoiLatPhrao12,SiamComercialBankLatphrao,OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(RatchawithiSide),ChildrenHospital,TheBangkokSchoolForTheBlind,GovernmentPharmaceuticalOrganization,MinistryOfIndustry,DepartmentOfHighway,RatchathewiThungphayathaiKhamYaekSaowanee,RangRodfaiSawankalokRd.YaekYommarat,MissionHospitalMahanak,OppositeNationalEconomicAndSocialDevelopmentBoard,OppositeWatKhaeNangLoeng,Phukhaothong,Worachak,Chakkawat,WatChaichanaSongkhram(WatTuek),Sampeng-Phahurat,SaphanPhutBusTerminal
SaphanPhutBusTerminal,PakKlongTalad,PakKlongTalad(KhlongLod),SinDamRong,WatPhrarain,TalatWolachak,PrapaMaenSi,GoldenMountWatSaket,SaphanDamLanLuang,WatKhaeNangLoeng,NationalEconomicAndSocialDevelopmentBoard,OppositeMissionHospitalLanLuangRoad,SawanlokPai1YaekYommarat,ThanonSawankhalokPai2ChumchonSoi7,MinistryOfForeignAffairs,MahidolUniversity(FacultyOfScience),RamathibodiHospital,PhayathaiPalace,PhramongkutklaoHospital,VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,BusStopMRTPhahonyothin(Exit3),LatPhraoIntersection(LatPhraoSoi1),OppositeSa-NguanSaoOToKhae,ThanakhanThaiphanitLatPhrao,BigCLatPhrao,LatPhraoSoi20,SoiLatPhrao17,YaekLatPhrao-RatDa,LatPhraoSoi40,LatPhraoSoi35,PhawanaLatPhraoSoi41,LatPhrao41/1,RongrianPhibunUpatham,LatPhraoSaphan2Market,SathaniTamruatChokChai,ChokChai4,LatPhraoSoi57/1,SueksaPhanLatPhrao,LatPhaoPostOffice,LatPhraoSoi67OppositeLatPhraoSoi80,KraenWinlet,LatPhrao79,ImperialLatPhrao,SamnaknganKhetWangThonglang,OppositeBangkokSuksaSchool,SoiLatPhrao93,FutLaen,LatPhraoHospital,RongrianPhasaAngkritSanti,OppositeLatPhraoSoi126,RongrianTriamSueksaBangKapi,LatPhrao107,WetThaNi,SoiLatPhrao111,HappylandJunction(GoingIn),OppositeHappylandMarket,LumphiniCenterHappyLand,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
