1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77
อู่สาธุประดิษฐ์,ใต้ทางด่วนสาธุประดิษฐ์,เซ็นทรัลพระราม 3,นางลิ้นจี่,"โรงเรียนวัดช่องลม,ตรงข้ามวัดช่องลม",โรงเรียนนนทรีวิทยา,ซอยโพธิ์เจริญ,"โรงเรียนคอนแวนต์,ตลาดปีนัง","ซอยไผ่สิงห์โต,ตรงข้ามตลาดคลองเตย",ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),โลตัสพระราม4(ถนนเกษมราษฏร์),กรมศุลกากร,แยกบางนา(ลงทางด่วน),"ป้ายรถประจำทาง BTS บางนา,กรมอุตุวิทยา",หมู่บ้านนภาลัย,ป้ายรถประจำทาง BTS แบริ่ง(ซอยลาซาล),ซอยแบริ่ง,ซอยสันติคาม(สุขุมวิท109),ตลาดธรรมสาโรจน์,ตรงข้ามอิมพิเรียลสำโรง(ตลาดสำโรง),บิ๊กซีสำโรง(บิ๊กซีจัมโบ้)(อู่สำโรงเก่า),ซอยสุขุมวิท 115 (ซอยอภิชาติ),เนชั่นแนล,วัดไตร,โค้งเกริก,อุดมเดช(กศน.),โรงนม,นารถสุนทร(โรงเรียนพร้านีลวัชระ),"วัดบางนางเกรง,โรงพยาบาลยุวประสาท",ไปรษณีย์ปากน้ำ,ซอยบุญศิริ,สนง.สรรพากรสมุทรปราการ 1,วัดพิชัยสงคราม,ศาลหลักเมืองปากน้ำ,อู่ฟาร์มจระเข้สมุทรปราการ,,,,
อู่ฟาร์มจระเข้สมุทรปราการ,ป้ายหน้าฟาร์มจรเข้,มูลนิธิวัยวัฒนานิวาส,อู่สายลวด,โรงเรียนป้วยฮั้ว,โรงพยาบาลสมุทรปราการ,วงเวียนท้ายบ้าน (ตรงข้าม),ตลาดปากน้ำ,ศาลากลางจังหวัดสมุทรปราการฝั่งขาเข้า,โรงเรียนนายเรือสมุทรปราการ,"โรงเรียนนายเรือ,ตรงข้ามไปรษณีย์ปากน้ำ",วัดบางนางเกรง,ตรงข้ามซอยนารถสุนทร,ตรงข้ามโรงนม,สำนักงานส่งเสริมการศึกษานอกระบบการศึกษาตามอัธยาศัยจังหวัดสมุทรปราการ,โค้งเกริกเก่า,"ตรงข้ามวัดไตร,พิพิธภัณฑ์ช้างเอราวัณ","ฮิตาชิ,โตโยต้า","ปู่เจ้า,ตรงข้ามบิ๊กซีสำโรง(ตรงข้ามบิ๊กซีจัมโบอู่สำโรงเดิม)",ตลาดสำโรงตรงข้ามสุขุมวิท 111,ซอยสันติคาม(ธ.นครหลวงไทย),ซอยโปษยานนท์,"ป้ายรถประจำทาง BTS แบริ่ง,ลาซาล",หมู่บ้านนภาลัย รพ.มนารมย์,"ตรงข้ามกรมอุตุนิยมวิทยา,ป้ายรถประจำทาง BTS บางนา",แยกบางนา(ขึ้นทางด่วน),ท่าปล่อยรถ ท่าเรือคลองเตย,การท่าเรือแห่งประเทศไทย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,บริษัท ล็อกซเล่ย์,ซอยหมู่บ้านคลองเตย,"อาคารเอื้ออมรสุข,ซอยอมร",ศุภาลัยพริมารีวา,เทสโก้โลตัสพระราม3(ฝั่งรัชดาภิเษก),อาคารปัญจธานี,ใต้ทางด่วนสาธุประดิษฐ์,เซ็นทรัลพระราม 3,อู่สาธุประดิษฐ์
