1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197
สรรพากรบึงกุ่ม ตรงข้ามสวนสยาม,ซอยสวนสยาม 16,ซอยสวนสยาม 12(ซอยเก้าเเสน),ซอยสวนสยาม 6,ตรงข้ามโรงพยาบาลนพรัตน์,ฮ้อปูดอง,ธนาคารไทยพาณิชย์รามอินทรา,ตรงข้ามแฟชั่นไอส์แลนด์,ตรงข้ามอำนวยเภสัช,ซอยชื่นกมล ตรงข้ามศูนย์โตโยต้าชัวร์,โรงพยาบาลสินแพทย์,ซอยรามอินทรา 50 ตรงข้ามศูนย์นิสสัน,คอนโดลุมพินี ตรงข้ามซอยอมรวิวัฒน์,ซอยนวมินทร์ 98 ตรงข้ามไปรษณีย์จรเข้บัว,ตรงข้ามโรงเรียนนวมินทร์(สิงห์สิงหเสนีย์),หมู่บ้านอัมรินทร์นวมินทร์ 90,โรงพยาบาลพญาไทนวมินทร์,ซอยนวมินทร์ 80 ตรงข้ามเคหะนวมินทร์,โรงเรียนเบญจมินทร์,โรงเรียนบดินทรเดชา(สิงห์สิงหเสนี) 2,หมู่บ้านปัฐวิกรณ์,ปากซอยนวลจันทร์นวมินทร์,หมู่บ้านธนะสิน(นวมินทร์ 68),ซอยนวมินทร์ 58 หมู่บ้านสินธานี 1 ตรงข้ามประกันสังคม,สันติอโศก(ซอยนวมินทร์ 52),ตรงข้ามตลาดอินทรารักษ์(นวมินทร์ 38),ธนาคารกสิกร หมู่บ้านปรีชา 2,หมู่บ้านธารทิพย์ ตรงข้ามโรงเรียนโสมาภา,หมู่บ้านศรีนคร1,ตรงข้ามหมู่บ้านวังทอง,ตรงข้ามสำนักงานที่ดินบางกะปิ,แยกแฮปปี้แลนด์นวมินทร์ 16,สนามกีฬาคลองจั่น,ซอยนวมินทร์ 10,การเคหะแห่งชาติคลองจั่น,ตรงข้ามโรงเรียนบ้านบางกะปิ,ตรงข้ามสรรพากรพื้นที่3นวมินทร์,ตรงข้ามสถานีตำรวจลาดพร้าว,ตลาดบางกะปิ ตรงข้าม It City,โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,บริษัทโอสถสภา ซอยรามคำแหง 26/1,สถานีตำรวจหัวหมาก สนามกีฬาหัวหมาก,ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,ตรงข้ามฟู้ดแลนด์ เพอร์เฟคเพลส,โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,ตลาดคลองตัน,ซอยปรีดีพนมยงค์ 44 โรงไก่,โรงเรียนเกษมโพลีเทคนิค,ซอยปรีดีพนมยงค์ 38,สุเหร่าสามอิน,ซอยปรีดีพนมยงค์ 28,โรงพยาบาลพัฒนเวช,ซอยปรีดีพนมยงค์ 18 สถานฑูตไนจีเรีย,โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 16),จัสโก้พระโขนง,ตลาดพระโขนง(ซอยสุขอุทิศ1),กล้วยน้ำไทแสตนเลส,ธนาคารกรุงศรีอยุธยา(ถนนพระราม4ขาเข้า),ตรงข้ามโรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),ซอยฟาร์มวัฒนา,แยกกล้วยน้ำไท,ซอยเจียรสวัสดิ์,มหาวิทยาลัยกรุงเทพกล้วยน้ำไท,กวลกลการ,โรงพยาบาลเทพธารินทร์,บ้านกล้วย ตรงข้ามบอสทาวเวอร์,มโนรมย์,เทสโก้โลตัสพระราม 4,ตรงข้ามร้านอาหารสรทอง,สายน้ำผึ้ง,ซอยชัยมงคล1,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีประทุมวัน,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),ซีพีทาวเวอร์,แยกนรารมย์,แยกเดโช(ขาเข้า),วัดแขก,ซอยสีลม 19,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
โรบินสันบางรัก,ตรงข้ามโรงพยาบาลเลิดสิน,เซ็นทรัลสีลม,แยกประมวญ,ตรงข้ามวัดแขก,แยกเดโช(ขาออก),โรงพยาบาลกรุงเทพคริสเตียน,ป้ายรถประจำทาง BTS ศาลาแดง(ทางออก1),สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,โรงงานยาสูบ,ตรงข้ามการไฟฟ้าคลองเตย,ซอยไผ่สิงห์โต ตรงข้ามตลาดคลองเตย,ซอยเจริญสุข,ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),สายน้ำผึ้ง(ซอย สุขุมวิท 22),ตรงข้ามเทสโก้โลตัสพระราม 4,ตรงข้ามอาคารสิรินรัตน์,บอสทาวเวอร์,ตรงข้ามโรงพยาบาลเทพธารินทร์,ศาลเจ้าพ่อกวนอู,ตรงข้ามมหาวิทยาลัยกรุงเทพกล้วยน้ำไท,ตรงข้ามซอยเจียรสวัสดิ์,แยกกล้วยน้ำไท(ไปรษณีย์กล้วยน้ำไท),ตรงข้ามซอยฟาร์มวัฒนา,โรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),โรงเรียนพระโขนงวิทยา,กล้วยน้ำไทแสตนเลส,ตลาดพระโขนง(ซอยปรีดีพนนมยงศ์ 5),สถานฑูตลาว ตรงข้ามจัสโก้พระโขนง,โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 13),ตรงข้ามธนาคารกรุงไทย,ซอยปรีดีพนมยงค์ 19 ตรงข้ามโรงพยาบาลพัฒนเวช,ตรงข้ามซอยปรีดีพนมยงค์ 30 ตรงข้ามมัสยิดอี่ดาย่าตุ้ลอิสลาม(สุเหร่าสามอิน),มีสุวรรณกวดวิชา,โรงเรียนเกษมโพลีเทคนิค(ซอยปรีดีพนมยงศ์ 39),ตรงข้ามซอยปรีดีพนมยงค์ 44,โรงไก่ ซอยปรีดีพนมยงค์ 45,ตลาดคลองตัน ตรงข้ามโรงเรียนเขียนแบบก่อสร้างและเครื่องกล,ยูเอ็มทาวน์เวอร์คลองตัน,โรงแรมนาซ่าเวกัส,การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),ฟู้ดแลนด์ เพอร์เฟคเพลส(รามคำแหง7),โรงเรียนอนุบาลใจทิพย์ เดอะมอลล์รามคำแหง 3,บิ๊กซีราม หมู่บ้านเสรี,โรงเรียนวัดเทพลีลา เมเจอร์รามคำแหง,โรงเรียนวัดเทพลีลา,ซอยรามคำแหง 43/1,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,ซอยรามคำแหง 77 ตรงข้ามโอสถสภารามคำแหง,ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),ซอยรามคำแหง 83/2 โรงแรมแอนดา,โรงแรมอเล็กซานเดอร์,ตลาดบางกะปิ(ซอยลาดพร้าว 127),สถานีตำรวจลาดพร้าว,หมวดการทางบางกะปิ,โรงเรียนบ้านบางกะปิ,ตรงข้ามสำนักงานการเคหะแห่งชาติ,ซอยนวมินทร์ 17,ตรงข้ามสนามกีฬาคลองจั่น(นวมินทร์33),สำนักงานที่ดินเขตบางกะปิ,หมู่บ้านวังทอง,ตรงข้ามหมู่บ้านศรีนคร 1,โรงเรียนโสมาภา 2,ซอยพึ่งบุญ(นวมินทร์ 69) ตรงข้ามหมู่บ้านปรีชา,ตลาดอินทรารักษ์(ซอยนวมินทร์ 75),ซอยนวมินทร์ 83 ตรงข้ามสันติอโศก,ซอยนวมินทร์ 89,ประกันสังคมนวมินทร์ 56,ซอยโพธิ์แก้ว ตรงข้ามวัดบางเตย,หมู่บ้านสามัคคี(นวมินทร์ 107),ตลาดนวลจันทร์(ถนนนวมินทร์ขาออก),ตรงข้ามตลาดปัฐวิกรณ์,ตรงข้ามโรงเรียนบดินทรเดชา(สิงห์สิงหเสนี 2),ตรงข้ามโรงเรียนเบญจมินทร์,เคหะนวมินทร์,ไทวัสดุนวมินทร์ ตรงข้ามโลตัสสุขาภิบาล1,ตรงข้ามโรงพยาบาลพญาไทนวมินทร์(เปาโลเดิม),ซอยนวมินทร์ 151 หมู่บ้านเอื้องสุข,โรงเรียนนวมิทราชูทิศ(สิงหเสนีย์),ไปรษณีย์จรเข้บัว สหฟาร์ม,ซอยนวมินทร์ 163 ซอยอมรวิวัฒน์ กม.8,กม.8 รามอินทรา52 ศูนย์นิสสัน ปั้มปริโตนาส,ตรงข้ามโรงพยาบาลสินแพทย์,ซอยรามอินทรา 89 เยื้องปั้มเอสโซ่,แยกถนนเลียบคลองสอง,แฟชั่นไอส์แลนด์,ธนาคารกรุงไทย กม.10,ปั้มปตท. ตรงข้ามร้านเฮียฮ้อปูดอง,หมู่บ้านวิสุทธาวิลล์,อโมรินี่ รพ.นพรัตน์,หมู่บ้านสวนสยามตรงข้ามโลตัส,ตรงข้ามซอยสวนสยาม 14(หมู่บ้านเก้าแสน),สวนสยาม
