1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93
RachapruekBrtStation,TheMallThapra,SocialSecurity,WatSutthawat,BukKaLo,SoiMataNuSon,TalatBangkholaemCharoenKrungSoi84,WatLatBuaKhao,WatPhrayaKrai,AsiatiqueTheRiverfont,WatRatSingkhon,MaenamHotel,SamnaknganPraisaniWatPhrayaKrai,OngkanSaphanpla,WatSuthi,RongrianSatriSiSuriyoThaiKromUThahanRuea,WatYanNawa,RobinsonBangrak,OppositeLerdsinHospital,CentralSilom,PramuanJunction,OppositeWatKhaek,DechoJunction(Outbound),TheBangkokChristianHospital,ChulalongkornHospital(RatchadamriSide),SarasinJunction,OppositeAua,PoliceGeneralHospital,RoyalThaiPolice,SiamSquare,BusStopBTSNationalStation,CharoenPhon,SrijillasapBuilding,WatthepsirinSchool,WatPhlapphlaChai,BmaGeneralHospital(ThanonLuangSide),TalatWolachak,PrapaMaenSi,GoldenMountWatSaket,SaphanDamLanLuang,ThaiAirwaysBuilding,WatRatchaNatdaRamRoyalPavillionMahajetsadabadin,DemocracyMonument(OppositeSuksapan),KhokWuaIntersectionOppositeLottery,OppositeKongSalak,NationalTheatre,blankjaa
NationalTheatre,PhraAthit,OppositeBanPhraAthit,BanglumphuIntersection1,WatChanasongkram,KongSalak,DemocracyMonument(Suksapan),OppositeThaiAirwaysBuilding,Phukhaothong,Mansri,HuaChieawHospital,WatChamnihatthakarn,WatChaimongkolCharoenPhon,SathabanTheknoloyiPathumWan,BangkokArt&CultureCenter,SiamCenter,WatPathumWanaram,PeninsulaPlaza,BusStopBTSRatchadamri(Exit2),Aua,LumphiniPark(RatchadamriSideStop.1),LumphiniPark(RatchadamriSideStop.2),BusStopBTSSaladaeng(Exit2/4),CpTower,NararomIntersection,WatKhaek,SolSilom19,LerdsinHospital,OppositeRobinsonBangrak,OppositeWatYanNawa,RajamagalaUniversityOfTechnologyKrungthep(SouthBangkokCampus),OppositeWatSutthi,OppositeSaphanpla,TrokBaYan,OppositeRongraemMaenam,WatRatSingkhonOpposite,CharoenKrung93,WatprayakaiPoliceStation,OppositeWatLatBuaKhao,TalatBangkholaem,ChoengSaphanKrungthep,BukkhaloIntersection,MahaiSawan,RatchadaphisekSoi5,ThanachartBank,OppositeTheMallThapra,RachapruekBrtStation
