1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143
VictoryMonument(PhahonYothinSide),LueCha(Phahonyothin1),Phyathai2Hospital,BusStopBTSSanampao(Exit1),BusStopBTSSanampao(Exit3),Ratchakhru(Phahonyothin5),BusStopBTSAri(Exit3),BorderPatrolPolice,SenaRuam(Phahonyothin11),BusStopBTSSaphanKhwai(Exit1),WatPhaiton,BusStopBTSMoChit(Exit3),OppositeTmbHeadquarterBank,ChatuchakPark(ViphavadiSide),PttHeadquarter,TourProperties,BorisatTriPhetThatCharinWitthayaBangKhen,OppositeSamnakNgonKhetChatuchak,HeadquartersPolice191,WatSamianNari,TheSeparationOfAgriculture,WatThawaSunthon,OppositeDailynewsNewspaper,PoliceStationTalatOppositePoliceClub,OppositePathaiudomSchoolMiracleGrand,ChulabhornResearchInstitute,LaksiTrainStation,ItSquare,WatLaksi,TungsonghongHousing,OilCargo,DonMuangDistrictOffice,DonMueangNewMarket,WatDonMueang,FaiChangDonMueang,DonmuangThaharnagardbumroongSchoolPoliceStationDonmuang,ThaninthonVillageWiphawadiRangSit35,MubanYuCharoen,WipawadeeRangsit39YingohranVillage,PaholyothinSchool,WangthongHouse,RongrianSangkhit,BigCOppositeZeerRangsit,SrimummuangMarket,WatPrayoonSivaleeVillage,RangsitUniversity,MakroRangsit,FutureRangsit,HoYa,OppositeBorisatThaiBoriSaton,SathaniKhonsongPhudoisanRangSit,SoiPrathanPhonOppositeRongnganKasap,OppositeBorisatSamatWisawakamChamkat,SoiHongSakul,KaewNimith,BangkokRangsitUniversity,PattaraHospital,Rattana,ThaiFreeman,Bangkhan(Outbound),ThamassatUniversityRangsitCampus,ThammasatBusDepot,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
ThammasatBusDepot,ThamassatUniversityRangsitCampus,TalatThai,OppositeThammasatUniversityRangsit,Bangkhun(Inbound),OppositeMubanKritsadaNakhon,OppositeSoiRattana,PattharaHospital,GolfMansion,OppositeBangkokRangsitUniversity,CentacoCompany,SuraoKaewNimith,OppositeBunthawonRangsit,WhiteHouseVillage(Inbound),RongKhaTha,OppositeBunKhom,ThaiBoriSatonCompany,FutureParkRangsit,MajorRangsit,ThanyaburiSchool,ChokchaiFarm,OppositeWatPrayunChindaRamPhahonYothin84,HospitalDoctorsRangsit,ZeerRangsit,AnusornSathan,PromThaiPingFactory,MubanPipornpong,Supalack,TtlIsuzu,HousingOverTheAirBaseOppositeTheNewDen.,OppositeSathaniTamruatnakhonbanDonMueang,ResearcherDonMuangAirportAir,DonMueang(AirportOffice),DonMueang(Terminal1-2),DonMueangAirport(Terminal3),Donmueang(Cargo),DonmueangAirport(Gate8),JaeLengShop,Cotto,HinoMotorsSales,YaekLakSi,NangsuephimNaeona,PathaiudomSchool,SamoRotTamruatThaiPbs,Wiphawadi58,RamaGardenHotel,DailynewsNewspaper,RongnganYaKhun,MoKasetsat,PaiRotPrachamThangkanThangphiset,ViphawadiHospital,BorisatToyotaWiphawadi46,OppositeWatSamian,SonoWiphawadiNosophoBanmueang,SamnaknganKhetChatuchak,AkhanChinnawat3BorisatTriPhet,RongrianHoWang,TmbHeadquarter,OppositeChatuchakPark,DepartmentOfLandTransport,Phahonyothin18,OppositeWatPhaiton,BusStopBTSSaphanKhwai(Exit2),BangsuePoliceStation,SaiLom(Phahonyothin8),BusStopBTSAri(Exit4),Ratchakhru(OppositePhahonyothin5),Kanchanakom(Phahonyothin2),BusStopBTSSanampao(Exit4),Channel5,LueCha(OppositePhahonyothin1),VictoryMonument(PhahonYothinSide)
