1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137
สถานีรถไฟหัวลำโพง,วัดดวงแข,แยกมหานคร,สะพานเหลือง,จุฬาลงกรณ์ 9,จุฬาลงกรณ์ 11,จามจุรีสแควร์,สถานเสาวภา,สวนลุมพินี(ตรงข้ามตึกอื้อจือเหลียง),สวนลุมพินี,บ่อนไก่,คลองเตย ป้ายรถประจำทาง MRT,โรงงานยาสูบ,ตรงข้ามการไฟฟ้าคลองเตย,ซอยไผ่สิงห์โต ตรงข้ามตลาดคลองเตย,ซอยเจริญสุข,ซอยโชคดี(ธนาคารกรุงศรีอยุธยา),สายน้ำผึ้ง(ซอย สุขุมวิท 22),ตรงข้ามเทสโก้โลตัสพระราม 4,ตรงข้ามอาคารสิรินรัตน์,บอสทาวเวอร์,ตรงข้ามโรงพยาบาลเทพธารินทร์,ศาลเจ้าพ่อกวนอู,ตรงข้ามมหาวิทยาลัยกรุงเทพกล้วยน้ำไท,ตรงข้ามซอยเจียรสวัสดิ์,แยกกล้วยน้ำไท(ไปรษณีย์กล้วยน้ำไท),ตรงข้ามซอยฟาร์มวัฒนา,โรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),โรงเรียนพระโขนงวิทยา,ตลาดพระโขนง(ซอยปรีดีพนนมยงศ์ 5),สถานฑูตลาว ตรงข้ามจัสโก้พระโขนง,โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 13),ตรงข้ามธนาคารกรุงไทย,ซอยปรีดีพนมยงค์ 19 ตรงข้ามโรงพยาบาลพัฒนเวช,ตรงข้ามซอยปรีดีพนมยงค์ 30 ตรงข้ามมัสยิดอี่ดาย่าตุ้ลอิสลาม(สุเหร่าสามอิน),มีสุวรรณกวดวิชา,โรงเรียนเกษมโพลีเทคนิค(ซอยปรีดีพนมยงศ์ 39),ตรงข้ามซอยปรีดีพนมยงค์ 44,โรงไก่ ซอยปรีดีพนมยงค์ 45,ตลาดคลองตัน ตรงข้ามโรงเรียนเขียนแบบก่อสร้างและเครื่องกล,ยูเอ็มทาวน์เวอร์คลองตัน,การไฟฟ้าย่อยบางกะปิ,โรงพยาบาลแพทย์ปัญญา(ซอยรามคำแหง5),ฟู้ดแลนด์ เพอร์เฟคเพลส(รามคำแหง7),โรงเรียนอนุบาลใจทิพย์ เดอะมอลล์รามคำแหง 3,บิ๊กซีราม หมู่บ้านเสรี,โรงเรียนวัดเทพลีลา เมเจอร์รามคำแหง,โรงเรียนวัดเทพลีลา,ซอยรามคำแหง 43/1,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,ซอยรามคำแหง 77 ตรงข้ามโอสถสภารามคำแหง,ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),ซอยรามคำแหง 83/2 โรงแรมแอนดา,โรงแรมอเล็กซานเดอร์,แยกลำสาลี(รามคำแหง95),บางกะปิคอนโด(แยกสวนสน),ตรงข้ามบริษัทแอมเวย์(เก่า),วัดศรีบุญเรือง,ตรงข้ามรามคำแหง 68,ซอยรอดอนันต์ 4,ซอยตาเซียน,ตรงข้ามโรงเรียนชินวร,คลองบางเตย(ขาออก),ซอยสุขสม,สุเหร่าคลองกุ่ม,หมู่บ้านเปี่ยมสุข,หมู่บ้านสหกรณ์
ตรงข้ามหมู่บ้านสหกรณ์,ตรงข้ามหมู่บ้านเปี่ยมสุข,ตรงข้ามสุเหร่าคลองกุ่ม,ตรงข้ามซอยสุขสม,โรงเรียนชินวร,ซอยเสรีไทย 10 ซอยตาเซียน,ซอยเสรีไทย 4,ซอยรามคำแหง 68,ตรงข้ามวัดศรีบุญเรือง,บริษัทแอมเวย์(เก่า),บางกะปิคอนโด(แยกสวนสน)(รามคำแหง60/1),แยกลำสาลี(ถนนรามคำแหงขาเข้า),โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,บริษัทโอสถสภา ซอยรามคำแหง 26/1,สถานีตำรวจหัวหมาก สนามกีฬาหัวหมาก,ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,มหาวิทยาลัยรามคำแหง,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,ตรงข้ามฟู้ดแลนด์ เพอร์เฟคเพลส,โรงพยาบาลแพทย์ปัญญา,ตรงข้ามการไฟฟ้านครหลวงเขตบางกะปิ,โรงแรมนาซ่าเวกัส,ตลาดคลองตัน,ซอยปรีดีพนมยงค์ 44 โรงไก่,โรงเรียนเกษมโพลีเทคนิค,ซอยปรีดีพนมยงค์ 38,สุเหร่าสามอิน,ซอยปรีดีพนมยงค์ 28,โรงพยาบาลพัฒนเวช,ซอยปรีดีพนมยงค์ 18 สถานฑูตไนจีเรีย,โรงเรียนพิบูลย์เวช(ซอยปรีดีพนมยงค์ 16),จัสโก้พระโขนง,ตลาดพระโขนง(ซอยสุขอุทิศ1),กล้วยน้ำไทแสตนเลส,ธนาคารกรุงศรีอยุธยา(ถนนพระราม4ขาเข้า),ตรงข้ามโรงพยาบาลกล้วยน้ำไท(ถนนพระราม4ขาออก),ซอยฟาร์มวัฒนา,แยกกล้วยน้ำไท,ซอยเจียรสวัสดิ์,มหาวิทยาลัยกรุงเทพกล้วยน้ำไท,กวลกลการ,โรงพยาบาลเทพธารินทร์,บ้านกล้วย ตรงข้ามบอสทาวเวอร์,มโนรมย์,เทสโก้โลตัสพระราม 4,ตรงข้ามร้านอาหารสรทอง,สายน้ำผึ้ง,ซอยชัยมงคล1,การไฟฟ้าคลองเตย,การไฟฟ้าคลองเตยตรงข้ามโรงงานยาสูบ,ลุมพินีทาวเวอร์(ตรงข้ามบ่อนไก่),ลุมพินีประทุมวัน,อื้อเจือเหลียง,โรงแรมดุสิต(ถนนพระราม4),โรบินสันสีลม(ตรงข้ามรพ.จุฬา),โรงแรมมณเฑียร,วัดหัวลำโพง,ท่ารถสามย่าน (45),โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),ท่าปล่อยรถ หัวลำโพง,blankjaa,blankjaa
