1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169
กองสลาก,แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง",ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,"เสริมมิตร,ซอยเพชรเกษม 25/1",ป้ายรถประจำทาง BTSบางหว้า(ทางออก4),ตรงข้ามมหาวิทยาลัยสยาม,ซอยเพชรเกษม 27/1,ตรงข้ามเพชรเกษม 42,ตรงข้ามศาลขุนด่านเจ้าพ่อเสือ,ตรงข้ามวัดจันทร์ประดิษฐาราม,ศูนย์กีฬากันอริ,วัดรางบัว,สถานีกาชาด11วิเศษนิยม,ซีคอนบางแค,ซอยเพชรเกษม 39,บ้านพักคนชราบางแค,ตลาดบางแค,ตรงข้ามเทสโก้โลตัสบางแค,บริษัทนันยางอุตสาหกรรม,บริษัทคาสเซ่อร์พีค,ซอยเพชรเกษม 45/1,ตรงข้ามเดอะมอลล์บางแค,ซอยเพชรเกษม 51,ตรงข้ามโรงพยาบาลเกษมราษฏร์บางแค,แยกเพชรเกษม-สาย2(ขาออก),โรงเรียนอำนวยศิลป์ธนบุรี,วัดม่วง,สำนักปู่สวรรค์,บิ๊กซีเพชรเกษม(หลักสอง),ซอยเพชรเกษม 67,ตรงข้ามหมู่บ้านเศรษฐกิจ,บริษัท นันยางการทอ จำกัด,ซอยเพชรเกษม 73/2,ตลาดเพชรเกษม,ซอยเพชรเกษม 77,ซอยเพชรเกษม 77/7 หมู่บ้านเพชรเกษม 1,ซอยเพชรเกษม 81,เข้าซอย ถนน มาเจริญ,ชวนถวิล 1,ตรงข้ามบริษัท ไทยรุ่งยูเนียนคาร์ จำกัด (มหาชน),ตรงข้ามหมู่บ้านพงษ์ศิริชัย 4,โตโยมิ,Work Place,พรเพ็ญ,วัดศรีนวลธรรมวิมล,,,,,,,,,,,,,,,,,,,,,
วัดศรีนวลธรรมวิมล,ตรงข้ามวิทยาลัยการจัดการเพชรเกษม1,หมู่บ้านพรทิพา,ซอยกำนันสมพงษ์,วัดหนองแขม,พรเพ็ญ,มาเจริญ,ตรงข้ามหมู่บ้านพฤกษาทาวน์ เพชรเกษม 81,มาเจริญ 38,หมู่บ้านพุตตาน,บริษัท โตโยมิ จำกัด,หมู่บ้านพงษ์ศิริชัย 4,ไทยรุ่งยูเนียนคาร์,ชวนถวิล 2,โอ้วซิมเฮง,"ศูนย์การค้าหนองแขม,คอนโดเทลหนองแขม",ซอยเพชรเกษม 114,ตรงข้ามตลาดการค้าหนองแขม,ซอยเพชรเกษม 112,"ซอยเพชรเกษม 110,มหาวิทยาลัยธนบุรี",ซอยเพชรเกษม 108,"ซอยเพชรเกษม 106,หมู่บ้านศรีเพชร",มหาวิทยาลัยเอเชียอาคเนย์,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล (หนองแขม),แยกถนนพุทธมณฑลสาย 3,บิ๊กซีเอ็กซ์ตร้าเพชรเกษม,ฟาร์มรุ่งรักษ์ (ซอยละอองศรี),เดอะพรอต เทรด,แยกเลียบคลองทวีวัฒนา,ตรงข้ามซอยเพชรเกษม 69,หมู่บ้านเศรษฐกิจ,ซอยเพชรเกษม 100 โรงเรียนอนุบาลเด่นหล้า,ซอยเพชรเกษม 98 สถานีตำรวจหลักสอง,ซอยเพชรเกษม 96 ตรงข้ามสำนักปู่สวรรค์,ซอยเพชรเกษม 94 หมู่บ้านเพชรเกษม 3,ตรงข้ามวัดม่วง,หมู่บ้านสุขสันต์ 2,ซอยเพชรเกษม 92/1,โรงพยาบาลเกษมราษฏร์บางแค,ศูนย์บริการสาธารณสุข 40,ซอยเพชรเกษม 88,เดอะมอลล์บางแค,หมู่บ้านศุภวรรณ3,โรงเรียนบางแคเหนือ,โรงเรียนภาษานุสรณ์บางแค,เทสโก้โลตัสบางแค,ซอยเพชรเกษม 62/1ตรงข้ามตลาดบางแค,ซอยเพชรเกษม 62 ตรงข้ามบ้านพักคนชราบางแค,ซอยเพชรเกษม 58/1,ซอยเพชรเกษม 58,ซอยเพชรเกษม 56 ตรงข้ามซีคอนบางแค,ซอยเพชรเกษม 54,ซอยเพชรเกษม 50/4 ตรงข้ามวัดรางบัว,ซอยเพชรเกษม 50 ตรงข้ามศูนย์กีฬากันอริ,วัดจันทร์ประดิษฐาราม,ศาลขุนด่านเจ้าพ่อเสือ,ซอยเพชรเกษม 42,ซอยเพชรเกษม 38,มหาวิทยาลัยสยาม,ซอยเพชรเกษม 36 วัดประดู่บางจาก,ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,ท่าพระป้ายแรก(ถนนจรัญ),วัดท่าพระ,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),หอศิลป์เจ้าฟ้า,ตรงข้ามโรงละครแห่งชาติ,สนามหลวง(ตรงข้ามม.ธรรมศาสตร์),สนามหลวง(ตรงข้ามวัดมหาธาตุ)
