1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205
อู่หมอชิต 2,ตรงข้ามนิคมรถไฟ กม.11,ตรงข้ามปั้มบางจากกำแพงเพชร 2,หมู่บ้านปูนซีเมนต์,แยกประชานุกูล(ซอยรัชดาภิเษก 35),"ซอยรัชดาภิเษก 39,ศิริชัยไก่ย่าง","กรมยุทธบริการ,สำนักงานทหารพัฒนาหน่วยบัญชาการทหารพัฒนา",แยกวงศ์สว่าง,บิ๊กซีวงศ์สว่าง,ตรงข้ามวัดเลียบ,"ธนาคารกรุงเทพสาขาวงศ์สว่าง,วัดเลียบ",ตรงข้ามซอยวัดหลวง,"ตรงข้ามวัดน้อย,ตรงข้ามซอยวงศ์สว่าง 15",ซอยยิ้มประยูร,"ซอยยิ้มประยูร,ซอยวงศ์สว่าง 4",วัดเสาหิน,ซอยจรัญสนิทวงศ์ 96/2,โรงเรียนพระรามหกเทคโนโลยี,โรงพยาบาลยันฮี,โรงพิมพ์สามเจริญ,ซอยจรัญสนิทวงศ์ 82,ซอยจรัญสนิทวงศ์ 74/1,โลตัสจรัญสนิทวงศ์,เทพพากร,วัดเทพากร,แยกบางพลัด,วัดเปาโรหิตย์,วิทยาลัยเทคโนโลยีพณิชยการสยาม,ตลาดพงษ์ทรัพย์,ตรงข้ามโรงเรียนปิ่นมงคลการศึกษา,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),หมู่บ้านเปี่ยมรัก,สถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),บ้านภาณุ(ซอยบรมราชชนนี 91),โรงพยาบาลธนบุรี 2,ตรงข้ามกองบังคับการตำรวจนครบาล 7,ตรงข้ามสถานีตำรวจคู่ขนานลอยฟ้า,หมู่บ้านกฤษดานคร 20,ร้านบุญถาวรบรมราชชนนี,ตรงข้ามหมู่บ้านอมรชัย 3,พุทธมณฑลสาย 3-บรมราชชนนี(ขาออก),"ศาลเจ้า,ฟอร์ดพุทธมนฑล",ตรงข้ามโรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านลดาวัลย์,ศูนย์หนังสือธรรมสภา,ตรงข้ามหมู่บ้านสุขทวี,"ซอยบรมราชชนนี 121,หมู่บ้านพรรษพฤกษา",หมู่บ้านสกุลทิพย์บรมราชชนนี 123,"ตลาดพุทธ,",ซอยศาลายา 23,พุทธมณฑล(ขาเข้า),หมู่บ้านศรีมณฑล,สวนอาหารบัวหลวง,โรงพยาบาลจิตตเวช,หมู่บ้านบุศรินทร์ (ปรีชา),วัดนครชื่นชุ่ม(ขาออก),ตรงข้ามโรงเรียนอนุบาลภัทรบุตร,ตรงข้ามซอยกระทุ่มล้ม1,ซอยหมู่บ้านปฐมพร,หมู่บ้านสินพัฒนาธานี,หมู่บ้านพัชรินทร์วิลล่า,โรงงานกะทิชาวเกาะ(ขาออก),ตลาดมาลี(ขาเข้า),ตลาดสินสมบูรณ์(ขาเข้า),"หมู่บ้านพรหมพิทักษ์,ตรงข้ามสตรีประเทืองวิทย์",ซอยเพชรเกษม 83,ตรงข้ามวัดศรีสำราญราษฎร์บำรุง,ตรงข้ามสามมิตรมอร์เตอร์,ธนาคารไทยพาณิชย์ สาขาอ้อมน้อย,สถานีตำรวจดับเพลิงอ้อมน้อย,ซอยแลนด์,โรงแรมสตาร์อินน์(ขาออก),อ้อมน้อย,ตรงข้ามกรมสรรพากร (อ้อมน้อย),"ซอยเพชรเกษม 97,ไทยกาเม็นท์",ซอยอัครพัฒน์,หมู่บ้านสามพราน(ซอยเทศบาล 3),โรงงานอาหารไทยอ้อมใหญ่,หมู่บ้านนิศาชลอ้อมใหญ่(เทศบาล 11),วัดอ้อมใหญ่,อู่รถเมล์ บ.วังศกาญจน์กิจ (อ้อมใหญ่),,,,,,,,,
อู่รถเมล์ บ.วังศกาญจน์กิจ (อ้อมใหญ่),ตรงข้ามวัดอ้อมใหญ่,หมู่บ้านนิศาชลอ้อมใหญ่(ซอยเทศบาล 10),ตรงข้ามโรงงานอาหารไทยอ้อมใหญ่,หมู่บ้านสามพราน,ดอนทราย (ตรงข้ามตลาดพันล้าน),ตรงข้ามไทยกาเม็นท์,ตรงข้ามโรงเรียนอ้อมน้อยโสภณชนูปถัมภ์,โรงพยาบาลสัตว์แชมป์เปี่ยน,"ตลาดเก้าแสน,มหาชัย 2",ซอยเพชรเกษม 126,โรงแรมกาแล็คซี่อินน์อ้อมน้อย,ซอยเพชรเกษม 93,"ด่านชั่ง,ซอยเพชรเกษม 122",สามมิตรมอร์เตอร์,วัดศรีสำราญราษฎร์บำรุง,"ตลาดสาย 4,ซอยเพชรเกษม 118",แยกพุทธมณฑลสาย4,หมู่บ้านพรหมพิทักษ์,พุทธมณฑลสาย 4 ซอย3 (ตรงข้ามตลาดสินสมบูรณ์),ศูนย์สุขภาพชุมชน,ตรงข้ามตลาดมาลี,โรงงานกะทิชาวเกาะ,หมู่บ้านพัชรินทร์วิลล่าซอย 25,หมู่บ้านสินพัฒนาธานีซอย 21,หมู่บ้านกระทุ่มล้ม,ซอยกระทุ่มล้ม 1,หมู่บ้านบุศรินทร์,ซอยหมู่บ้านปาริชาติ,หมู่บ้านปรีชาตรงข้ามบ้านปันสุข,ตรงข้ามโรงพยาบาลจิตตเวช,"หมู่บ้านร่วมเกื้อ,ตรงข้ามกุมารนิเวศน์",ตรงข้ามหมู่บ้านศรีมณฑล,พุทธมณฑล (ขาออก),ตรงข้ามตลาดพุทธ,ซอยพรรษพฤกษา,ตรงข้ามหมู่บ้านสกุลทิพย์,ซอยบรมราชชนนี 78,โรงเรียนอนุบาลพลอยแก้ว,หมู่บ้านปัญจทรัพย์,พุทธมณฑลสาย 3-บรมราชชนนี(ขาเข้า),หมู่บ้านอมรชัย 3,ธนาคารอาคารสงเคราะห์สาขาพุทธมณฑล,หมู่บ้านพระปิ่น 2(บรมราชชนนี 70),"หมู่บ้านพระปิ่น 2,ซอยบรมราชชนนี 68",ตรงข้ามหมู่บ้านกฤษดานคร 20,หมู่บ้านเดอะซิตี้,สถานีตำรวจคู่ขนานลอยฟ้า,กองบังคับการตำรวจนครบาล 7,ตรงข้ามโรงพยาบาลธนบุรี 2,หมู่บ้านเขมรัฐ(ซอยบางกอกน้อย-นครชัยศรี),ตรงข้ามหมู่บ้านภาณุ,"บริษัท ดี.พี.เซรามิคส์จำกัด,แยกทุ่งมังกร(บรมราชชนนี60)",ตรงข้ามสถานีขนส่งสายใต้ใหม่(ตลิ่งชัน),ตรงข้ามวัดมะกอก(แยกทุ่งมังกร),ไปรษณีย์ ตลิ่งชัน,ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,"กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย,ซอยฉิมพลี 2",บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,บรมราชชนนี 12,"ศูนย์ฟอร์ดบรมราชชนนี,ตรงข้ามโรงพยาบาลเจ้าพระยา",กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,"โรงหนังธนบุรีรามา,จรัญสนิทวงศ์49",โรงเรียนปิ่นมงคลการศึกษา,"วัดรวกบางบำหรุ,บ้านบรรหารศิลปอาชา",สำนักงานที่ดินกรุงเทพมหานครสาขาบางกอกน้อย,ซอยจริญสนิทวงศ์ 65(ซอยร่วม),แยกบางพลัด(จรัญสนิทวงศ์ 69),ซอยจรัญสนิทวงศ์ 73,โรงเรียนบูรณวิทย์,"วัดบางพลัด,จรัญสนิทวงศ์ 77/3",สำนักงานเขตบางพลัด,"บางพระครู,จรัญฯ 85",ซอยจรัญสนิทวงศ์ 89/1,ตรงข้ามโรงพยาบาลยันฮี,ตรงข้ามสถานีตำรวจดับเพลิงบางอ้อ,ตรงข้ามซอยจรัญสนิทวงศ์ 96/2,ใต้สะพานพระราม7(ขาเข้า),ตรงข้ามวัดเสาหิน,"ตรงข้ามซอยวงศ์สว่าง 4,ซอยยิ้มประยูร","วัดน้อย,ซอยวงศ์สว่าง 13",ชุมชนวัดหลวง,"วัดเลียบ,ซอยวงศ์สว่าง 21","ตรงข้ามบิ๊กซีวงศ์สว่าง,ซอยวงศ์สว่าง 27","ดับเพลิงบางซ่อน,แยกวงศ์สว่าง,เขตวงศ์สว่าง","ดับเพลิงวงศ์สว่าง,กรุงเทพ-นนท์","ตรงข้ามกรมยุทธบริการ,ตรงข้ามสำนักงานทหารพัฒนา","วิริยะประกันภัย,ซอยรัชดาภิเษก 68",แยกประชานุกูล(รัชดาภิเษก64),"ซีเมนต์ไทย1,ทางด่วน,ซอยรัชดาภิเษก 60",หมู่บ้านปูนซีเมนต์ 2,นครชัยแอร์,ปั้มบางจากกำแพงเพชร 2,นิคมรถไฟ กม.11,ตรงข้ามสวนสมเด็จพระนางเจ้าสิริกิติ์,อู่หมอชิต 2
