1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173
อู่รถเมล์สาย 542 (ตลิ่งชัน),ซอยบรมราชชนนี 52,ตรงข้ามศาลแขวงดุสิต,ซอยบรมราชชนนี 46,กรมสวัสดิการและคุ้มครองแรงงาน กองตรวจความปลอดภัย ซอยฉิมพลี 2,บริษัท เบนซ์ตลิ่งชัน จำกัด,เสรีกอล์ฟ,ซอยบรมราชชนนี 22,บรมราชชนนี 12,ศูนย์ฟอร์ดบรมราชชนนี ตรงข้ามโรงพยาบาลเจ้าพระยา,กระทรวงวัฒนธรรม,ลุมพินีพาร์คปิ่นเกล้า,เมเจอร์ปิ่นเกล้า,ตรงข้ามเทสโก้โลตัสปิ่นเกล้า,แยกบรมราชชนนี (ขาเข้า),โรงหนังธนบุรีรามา จรัญสนิทวงศ์49,โรงเรียนปิ่นมงคลการศึกษา,วัดรวกบางบำหรุ บ้านบรรหารศิลปอาชา,สำนักงานที่ดินกรุงเทพมหานครสาขาบางกอกน้อย,ซอยจริญสนิทวงศ์ 65(ซอยร่วม),แยกซังฮี้,ตรงข้ามมหาวิทยาลัยราชภัฏสวนสุนันทา,ตรงข้ามพระที่นั่งวิมานเมฆ,ตรงข้ามสวนสัตว์ดุสิต,สวนจิตรลดา(ราชวิถี32),สวนจิตรลดา(ราชวิถี24),บ้านราชวิถี,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,ป้ายรถประจำทาง BTS-Arl พญาไท,กรมปศุสัตว์,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก2),ตรงข้ามมาบุญครอง,รร.เตรียมอุดมศึกษา,จุฬาลงกรณ์ (ลานพระรูป 2 รัชกาล),จุฬาลงกรณ์ (คณะวิทยาศาสตร์),โรงแรมแมนดาริน,คริสตจักรสะพานเหลือง,ศาลแรงงานกลาง,ป้ายรถประจำทาง MRT หัวลำโพง(ทางออก4),วัดไตรมิตร,โรงพยาบาลเทียนฟ้ามูลนิธิ,แยกเฉลิมบุรี,ตลาดเก่าเยาวราช,วัดตึก,สำเพ็ง-พาหุรัด,ตรงข้ามโรงเรียนศึกษานารี,แยกบ้านแขก(ขาออก),วงเวียนใหญ่(นิรันดร์รัตน์),บางยี่เรือ(ขาออก),สะพานเนาวจำเนียร(ขาออก),ตรงข้ามวัดสังข์กระจาย,ซอยเพชรเกษม 5/1,สถานีตำรวจบางกอกใหญ่(ซอยคริสตจักร),ซอยจรัญสนิทวงค์ 1,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ซอยบุบผาสวรรค์,ศูนย์การค้านครหลวง,ตรงข้ามโรงพยาบาลศรีวิชัย วัดรวก,วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,แยกบรมราชชนนี,เทสโกโลตัสปิ่นเกล้า,เซ็นทรัลปิ่นเกล้า,ตรงข้ามคอนโดลุมพินีปิ่นเกล้า,รพ.เจ้าพระยา,ก่อนถึงสายใต้ปิ่นเกล้า,ซอยบรมราชชนนี 35,ซอยบรมราชชนนี 45,ซีด้าร์แมนชั่น,สถานีตำรวจนครบาลตลิ่งชัน,ต่างระดับราชพฤกษ์-บรมราชชนนี 1,ศาลแขวงดุสิต,สำนักงานอัยการจังหวัดตลิ่งชัน,โรงเรียนโพธิสาร(ซอยวัดมะกอก),ไปรษณีย์ ตลิ่งชัน
blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
