1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73
ท่าปล่อยรถ เดอะมอลล์ท่าพระ,โรงพยาบาลท่าพระ,ใต้สะพานทางรถไฟตลาดพลู,ตรงข้ามธนบุรีพลาซ่า,เดอะมอลล์ท่าพระ,"ประกันสังคม,ซอยรัชดาภิเษก 6","บุคคโล,สมาคมสร้างคุณค่า",ซอยมาตานุสรณ์,ถนนตกพระราม 3 ซอย 1,หมู่บ้านอโนทัย,ฟิวเจอร์โฮมโปร,แยกเหนือใต้,"บริษัทวาโก้,ธนาคารไทยพาณิชย์",บริษัทไทยน้ำทิพย์,หน้าไอซีซี,ซอยวัดดอกไม้,แยกสาธุประดิษฐ์(ซอย5),ศูนย์ฮอนด้าแยกสาธุประดิษฐ์,บริษัท นำแสงเอนจิเนียริ่ง,ตรงข้ามวัดปริวาส,ตรงข้ามวัดด่าน,ครูหวี 2,วัดคลองใหม่,ตรงข้ามวัดคลองภูมิ,หัวปลาช่องนนทรี,วัดช่องนนทรี,พระราม 3 ซอย 71,"โรงเรียนวัดช่องลม,ตรงข้ามวัดช่องลม",โรงเรียนนนทรีวิทยา,ซอยโพธิ์เจริญ,ตรงข้ามสโมสรการท่าเรือ,ตรงข้ามสนามกีฬาการท่าเรือ,ซอยคั่วพริกก่อนถึงแยกกรมศุลกากร,อู่คลองเตย,,,
อู่คลองเตย,ตรงข้ามเขตการเดินรถที่4,สนามกีฬาการท่าเรือ,บริษัท ล็อกซเล่ย์,ตรงข้ามซอยอมร,ตรงข้ามโรงเรียนนนทรีวิทยา,วัดช่องลม,คลังน้ำมัน,ตรงข้ามวัดช่องนนทรี,ธนาคารกรุงเทพตรงข้ามหัวปลา,ตรงข้ามธนาคารกสิกรไทยสาขาพระราม3,สมาคมเตชะสัมพันธ์,วัดคลองภูมิ,ตรงข้ามวัดคลองใหม่,ธนาคารกรุงศรีอยุธยาพระราม3,Sv ซิตี้,ซอยวัดด่าน,โรงแรมเจ้าพระยา,ซอยวัดปริวาส,โรงปูน,แยกสาธุประดิษฐ์,บริษัท ไลอ้อน,ตรงข้ามไอซีซี,ใต้สะพานแขวน,ตรงข้ามไทยน้ำทิพย์,วัดบางโคล่นอก,"แยกเหนือใต้,กรมควบคุมความประพฤติ",โรงแรมมณเฑียรริเวอร์ไซด์,ตรงข้ามฟิวเจอร์,วัดจันทร์นอก,วัดอินทร์บรรจง,ตรงข้ามโรงรับจำนำฮ่งฮวด,เชิงสะพานกรุงเทพ,แยกมไหสวรรย์,ซอยรัชดาภิเษก 5,ธนาคารธนชาติ,ตรงข้ามเดอะมอลล์ท่าพระ
