1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117
VictoryMonument(RatchawithiSide),ChildrenHospital,TheBangkokSchoolForTheBlind,PrasatNeurologicalInstitute,ChitraladaPalace(OppositeRatchawithi22),ChitraladaPalace(OppositeRatchawithi32),DusitZoo,VimanmekPalace,Ratchawithi19,KrungThonMarketRatchawithiSoi23,BangpladIntersection(CharanSanitWong69),CharatNiThawong73,RongrianBuranaWit,WatBangBrilliantlyNietzscheWong77/3.,ThanakhanKasikonthaiBangO,PhibunSinMaketTing,CharanSanitWong89/1,SamcharoenThailandMall,OppositeYanheeInternationalHospital,SathaniTamruatDapphloengBangO,OppositeSoiCharanSanitWong96/2,OppositeWatSaoHin,WongSawangSoi4SoiYimPrayun,WatNoiSoiWongsawang13,Watluang,WatLiapSoiWongsawang21,BigCWongSawangSoiWongsawang27,BangSonWongSawang,OppositeSoiKrungthep-Non56,SoiKrungthep-Non43,OppositeWatThangLuang,PetHospitalKrungthep-Non,SoiKrungthep-Non11,BigCNonthaburi,OppositeKrasuangSatharanasuk,SoiTiwanon3,Rawadee,BankOfAyudhyaPublicCompanyLimited(TiWaNonRoad),OppositeSoiPinPraphaKhom1,NewWorldMall,OppositeRongrianSayamBorihanThurakitNonthaburi,SathaniTamruatLatTanot,MubanIndothai,BikSiRattanaThiBet,SoiWatSamonkot,OppositeCentralRattanathibet,LumpiniCondo,YakPlanungklao,MubanChomploern,RattanaClinic,Maneeya,SoiSaimah,YaekThaIt,NaKhetKanDoenrotThi7,MubanNanthaNaTha-ItSaima,MubanUeaAthon,LaphawanVillageKrongkarn5,MubanPhetrada,TalatThaIt
TalatThaIt,OppositeMubanPhetrada,MubanLaphaWanKrongkarn5,MubanManiYa,MubanNanthaNaOppositeTha-ItSaima,OppositeNaKhetKanDoenrotThi7,PakSoiThaIt,AbanManeeya,BusStopBTSSaiMa,FlyoverSuetrong,SoiRattanaThiBet36,ShowRoomNissan,BangkokBank(Rattanathibet),CentralRattanathibet,OppositeSoiWatSamonKot,OppositeBigCRatthanathibet,MubanIndothai(Rathanathibet18),SalaKlangChangwatNonthaburi,RongrianSayamBorihanThurakitNonthaburi,SoiPinPraphaKhom1,BamratNaradunHospital,SoiTiWanon8,Satharanasuk,OppositeHangBigCNonthaburi,ThanakhanSiAiEmBiThai,SoiKrungthep-Non14,SoiSiriChai1/1,RongrianKhemaWitthaya,WatThangLuang,OppositeSoiKrungthep-Non43,SoiKrungthep-Nonthaburi56,BigCWongsawang,BangkokBankWatLiap,OppositeSoiWatluang,ThongkhamWatNoiOppositeWongSawangSoi15,WongSawangSoi4,WatSaoHin,CharanSanitWong96/2,RongrianPhraRamHokTheknoloyi,YanheeInternationalHospital,SamcharopnPanich,CharatNiThawong82,CharatNiThawong74/1,TescoLotusCharansanitwong,WatTapakorn,BangpladJunction,OppositeKhamasirinSchool,SanghiIntersection,OppositeSuanSunandha/SuanDusit,OppositeVimanmekPalace,OppositeDusitZoo,ChitraladaPalace(Ratchawithi32),ChitraladaPalace(Ratchawithi24),RajvithiHome,PhramongkutklaoCollegeOfMedicine,PhayathaiPalace,PhramongkutklaoHospital,VictoryMonument(RatchawithiSide),blankjaa
