1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69
อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),เซ็นจูรี่,อาคารวรรณสรณ์,ป้ายรถประจำทาง BTS-Arl พญาไท,กรมปศุสัตว์,ตรงข้าม รร.กรุงเทพการบัญชี,ตรงข้ามพันธุ์ทิพย์ประตูน้ำ,เพชรรามา,สุขุมวิท62แยก8,สุขุมวิท62แยก4-6,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,โรงพยาบาลไทยนครินทร์ บางนา-ตราด27,ศรีเอี่ยม ตรงข้ามเคหะบางนา,ซอยบางนา-ตราด 19 กม.4,พาร์คแลนด์ อินเด็กซ์ลิฟวิ่งมอร์ บางนา,สำนักงานสรรพากรพื้นที่บางพลี,บริษัท Hks Thailand ตรงข้ามบางนาทาวเวอร์,ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),วิทยาเขตรามคำแหง ตรงข้ามประตูที่ 1 ตรงข้ามไปรษณีย์ไทยจำกัด
วิทยาเขตรามคำแหง(ม.รามฯ ประตูที่ 1),ซอยจรรยวรรธ,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,สุขุมวิท62แยก1,ทางด่วนสุขุมวิท62,เมโทร,แยกประตูน้ำ,อินทราสแควร์ประตูน้ำ,ซอยรางน้ำ,ตรงข้ามวัดตะพาน,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะพญาไท),blankjaa
