1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145
สวนเจ้าเชตุ,วังสราญรมย์,ตรงข้ามจราจรกลาง,ตรงข้ามเฉลิมกรุง,สินดำรงค์,วัดพระพิเรนทร์,ตลาดวรจักร,ประปาแม้นศรี,แม้นศรี,โรงพยาบาลหัวเฉียว,ยศเส,วัดชำนิหัตถการ,"วัดชัยมงคล,แยกเจริญผล",สถาบันเทคโนโลยีปทุมวัน,หอศิลป์กรุงเทพฯ,สยามเซ็นเตอร์,วัดปทุมวนาราม,"หลังสวน,ป้ายรถประจำทาง BTS ชิดลม",เซ็นทรัลชิดลม,ป้ายรถประจำทาง BTS เพลินจิต(ซอยนายเลิศ),ซอยนานา,"อาคารแปซิฟิคเฟลล์,สุขุมวิทซอย7",ซอยสุขุมวิท 15,"ซอยสุขุมวิท 19,โรบินสัน",ซอยสุขุมวิท 23,"ซอยสุขุมวิท 27,ตรงข้ามสายน้ำผึ้ง",ซอยสุขุมวิท 31,ตรงข้ามสวนเบญจศิริ,เอ็มควอเทียร์,ซอยสุขุมวิท 41,ซอยสุขุมวิท 47,ซอยสุขุมวิท 49,ซอยสุขุมวิท 34,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 1),ซอยสุขุมวิท 57,ซอยสุขุมวิท 40(ยูเนสโก้),เมเจอร์เอกมัย,วัดธาตุทอง,"ตรงข้ามโรงเรียนศรีวิกรม์,ซอยสุขุมวิท 65/1",ป้ายรถประจำทาง BTSพระโขนง(ทางออก3),ตลาดพระโขนง,"ดับเพลิง,อ่อนนุช",ซอยสุขุมวิท 79,"ป้ายรถประจำทาง BTSอ่อนนุช,ซอยสุขุมวิท 81 (ศิริพจน์)",ศูนย์การค้ามาร์เก็ตพลัส(เขตพระโขนง),ตลาดบางจาก,สำนักงานขนส่งพื้นที่ 3,ปุณณวิถี(สุขุมวิท101),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 3),วชิรธรรมสาธิต(สุขุมวิท 101/1),ซอยสุขุมวิท 101/2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 1),ตรงข้ามโรงพยาบาลกล้วยน้ำไท 2,แยกบางนา(ขาออกป้ายที่1),แยกบางนา(บางนา-ตราดขาออก),ตรงข้ามไบเทคบางนา,ตรงข้าม 13 เหรียญรีสอร์ท,ซอยบางนา-ตราด 15,ซอยบางนา-ตราด 19,เซ็นทรัลบางนา,"โรงพยาบาลไทยนครินทร์,บางนา-ตราด27","ศรีเอี่ยม,ตรงข้ามเคหะบางนา","ซอยบางนา-ตราด 19,กม.4","พาร์คแลนด์,อินเด็กซ์ลิฟวิ่งมอร์ บางนา",สำนักงานสรรพากรพื้นที่บางพลี,"บริษัท Hks Thailand,ตรงข้ามบางนาทาวเวอร์",ตรงข้ามโรงพยาบาลปิยะมินทร์,หมู่บ้านสันตินคร,ตรงข้ามโรงเรียนราชวินิตบางแก้ว,ตรงข้าม มหาวิทยาลัยรามคำแหง 2 (ประตู2),วิทยาเขตรามคำแหง ตรงข้ามประตูที่ 1 ตรงข้ามไปรษณีย์ไทยจำกัด,รามคำแหง 2 ซอย 13,อู่รถเมล์สาย 38 48 (ม.รามคำแหง2)
อู่รถเมล์สาย 38 48 (ม.รามคำแหง2),วิทยาเขตรามคำแหง(ม.รามฯ ประตูที่ 1),ซอยจรรยวรรธ,โรงเรียนราชวินิตบางแก้ว,ลุมพินีเมกาซิตี้บางนา,โรงพยาบาลปิยะมินทร์,บางนาทาวเวอร์,ซอยมิตรภาพ,ตรงข้ามสำนักงานสรรพากรพื้นที่บางพลี,เนชั่นทาวเวอร์,อินเด็กซ์บางนา,บางนา-ตราด50,เคหะบางนา,ตรงข้ามเซ็นทรัลบางนา,ซอยบางนา-ตราด 28,โรงแรมเอวาน่า,โรงเรียนประภามนตรี,ไบเทคบางนา,แยกบางนา(บางนา-ตราดขาเข้า),แยกบางนา(ขาเข้า),โรงพยาบาลกล้วยน้ำไท 2,ป้ายรถประจำทาง BTS อุดมสุข(ทางออก 4),ซอยสุขุมวิท 66,ปณ.อุดมสุข,วชิรธรรมสาธิต(ตรงข้ามสุขุมวิท 101/1),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 4),ป้ายรถประจำทาง BTS ปุณณวิถี(ทางออก 2),ซอยสุขุมวิท 62/1,ตรงข้ามตลาดบางจาก(สุขุมวิท 93),ซอยสุขุมวิท 56,โรงเรียนนารีนิรมล(เขตพระโขนง),ป้ายรถประจำทาง BTSอ่อนนุช(ขาเข้า),"ตรงข้ามตลาดอ่อนนุช,การประปาพระโขนง",ตรงข้ามตลาดพระโขนง,ป้ายรถประจำทาง BTS พระโขนง(ทางออก 2),โรงเรียนศรีวิกรม์,เกตเวย์เอกมัย,ท้องฟ้าจำลอง,ซอยสุขุมวิท 40,ป้ายรถประจำทาง BTS ทองหล่อ(ทางออก 2/4),ซอยสุขุมวิท 34(ซอยสุภางค์),ซอยสุขุมวิท 28(ซอยบรรณสาร),ป้ายรถประจำทาง BTS พร้อมพงษ์(ทางออก4),อุทยานเบญจสิริ,ซอยสุขุมวิท 20,"ซอยสุขุมวิท 18,แยกอโศก","ซอยสุขุมวิท 12,ตรงข้ามโรบินสันสุขุมวิท","ซอยสุขุมวิท 10(ตรงข้ามแอมบาสเดอร์),สวนชูวิทย์","ซอยสุขุมวิท 6,ป้ายรถประจำทาง BTS นานา","เพลินจิตเซ็นเตอร์,ซอยนานา",ป้ายรถประจำทาง BTS เพลินจิต(ทางออก4),"ซอยต้นสน,ตรงข้ามสถานฑูตอังกฤษ",สำนักงานตำรวจแห่งชาติ,สยามสแควร์,ป้ายรถประจำทาง BTS สนามกีฬาแห่งชาติ,เจริญผล,อาคารศรีจุลทรัพย์,ตรงข้ามโรงเรียนเทพศิรินทร์,โรงเรียนเทพศิรินทร์,วัดพลับพลาชัย,โรงพยาบาลกลาง(ฝั่งถนนหลวง),วรจักร,"จักรวรรดิ,แยกเสือป่า,เยาวราช",วัดชัยชนะสงคราม(วัดตึก),วังบูรพา,เฉลิมกรุง,จราจรกลาง,หน่วยบัญชาการรักษาดินแดน,สวนเจ้าเชตุ,,,,
