1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109
สภากาชาดไทย,ท่าปล่อยรถ จุฬาลงกรณ์,โรงเรียนสาธิตมหาวิทยาลัยศรีนครินทรวิโรฒปทุมวัน,จุฬาลงกรณ์ (สัตวแพทย์/ทันตแพทย์),แยกเฉลิมเผ่า,สยามสแควร์,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก3),กิ่งเพชร,อุรุพงษ์,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,วิทยาเขตพณิชยการพระนคร,ทำเนียบรัฐบาล,วังแดง,วัดราชาธิวาสราชวรวิหาร,โรงเรียนเซนต์คาเบรียล,โรงพยาบาลวชิรพยาบาล,"วิทยาลัยอาชีวศึกษาอาชีวศิลป์,ตรงข้ามตลาดศรีย่าน","แม็คโครบางกะบือ,ซอยสามเสน 25",กองพันทหารม้าที่ 4 รักษาพระองค์,โรงเรียนโยธินบูรณะ,ตรงข้ามวัดประดู่,"ประชาราษฎร์ 1 ซอย7/1,ตรงข้ามสถานีดับเพลิงบางโพ","สี่แยกบางโพ,โรงพยาบาลบางโพ",ตรงข้ามโรงเรียนเทพสัมฤทธิ์,ซอยเยาวพา,ตรงข้ามตลาดเตาปูน,"ประชานฤมิตร,ธนาคารกสิกรไทย,ประชาคม,กรุงเทพ-นนทบรุี 5","ซอยกรุงเทพ-นนทบุรี 13,ซอยไสวสุวรรณ","สถานีตำรวจเตาปูน,ซอยกรุงเทพ-นนทบุรี 17","วัดเชิงหวาย,ซอยกรุงเทพ-นนทบุรี 21/1",โรงงานทอผ้า,"ตลาดบางซ่อน,ซอยกรุงเทพ-นนทบุรี 25",ซอยกรุงเทพ-นนทบุรี 29,ตรงข้ามกรมยุทธทหาร,"ดับเพลิงวงศ์สว่าง,กรุงเทพ-นนท์","ตรงข้ามกรมยุทธบริการ,ตรงข้ามสำนักงานทหารพัฒนา","วิริยะประกันภัย,ซอยรัชดาภิเษก 68",แยกประชานุกูล(รัชดาภิเษก64),"ซีเมนต์ไทย1,ทางด่วน,ซอยรัชดาภิเษก 60",หมู่บ้านปูนซีเมนต์ 2,นครชัยแอร์,ปั้มบางจากกำแพงเพชร 2,นิคมรถไฟ กม.11,อู่หมอชิต 2,,,,,,,,,,
อู่หมอชิต 2,ตรงข้ามนิคมรถไฟ กม.11,ตรงข้ามปั้มบางจากกำแพงเพชร 2,หมู่บ้านปูนซีเมนต์,แยกประชานุกูล(ซอยรัชดาภิเษก 35),"ซอยรัชดาภิเษก 39,ศิริชัยไก่ย่าง","กรมยุทธบริการ,สำนักงานทหารพัฒนาหน่วยบัญชาการทหารพัฒนา",แยกวงศ์สว่าง,กรมยุทธบริการ,"ซอยกรุงเทพ-นนทบุรี 44,ตรงข้ามซอยสมถวิล","ดีสแควร์,ครัวคุณสุ,โรงเรียนอนุบาลพิริยะโยธิน","ตลาดบางซ่อน,ถนนกรุงเทพ-นนทบุรี 25","ตรงข้ามโรงงานทอผ้า,ซอยกรุงเทพ-นนทบุรี 34","ตรงข้ามวัดเชิงหวาย,ไปรษณีย์บางซื่อ",สถานีตำรวจเตาปูนซอยกรุงเทพ-นนทบุรี 26,ตรงข้ามซอยไสว,"ตรงข้ามประชานฤมิตร,ตรงข้ามธนาคารกสิกรไทย","ตลาดเตาปูน,ซอยกรุงเทพ-นนทบุรี4",ซอยสะพานขวา,"โรงเรียนเทพสัมฤทธิ์,ซอยพัฒนา",แยกบางโพ,"สถานีดับเพลิงบางโพ,ถนนประชาราษฎร์สาย 1 ซอย 16",วัดประดู่,"แยกเกียกกาย,ตรงข้ามวัดแก้วฟ้าจุฬามณี","บางกะบือ,น้อมจิตต์,ห้างสุพรีม",โรงเรียนพณิชยการสามเสน,ศรีย่าน,ตรงข้ามวชิรพยาบาล,ตรงข้ามสามเสน11-13,ตรงข้ามโรงเรียนเซนต์คาเบรียล,ตรงข้ามหอสมุดแห่งชาติ,ท่าปล่อยรถ เทเวศร์ (72),ท่าปล่อยรถสาย 99,สำนักงานก.พ,โรงเรียนราชวินิตร,สนามม้านางเลิ้ง,ตรงข้ามโรงพยาบาลมิชชั่น,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ฯศูนย์กรุงเทพฯ,ป้ายรถประจำทาง BTS ราชเทวี(ทางออก2),สยามเซ็นเตอร์,(สถานี ป้ายรถประจำทาง BTS สยาม),วิทยาลัยพยาบาลตำรวจ,สนามม้าปทุมวัน,โรงพยาบาลจุฬา,ตรงข้ามโรงแรมตะวันนา,ตรงข้ามศูนย์ฮอนด้าพระราม3สาขาสุรวงศ์,องค์การโทรศัพท์,มเหสักข์,อาคารเกียรตินาคิน,ซอยวัดมหาพฤฒาราม,วัดแก้วแจ่มฟ้า,ซอยสองพระ,สถานีตำรวจบางรัก,บริษัทกรุนด์ฟอส,สภากาชาดไทย
