1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,233,235,237,239,241,243,245,247,249,251,253,255,257,259,261
อู่รถเมล์ บริษัท วังศกาญจน์กิจ(บางขุนเทียน),ซอยแสกงาม,ซอยหมู่บ้านชายทะเล,โรงงานkt(ถนนบางขุนเทียน-ชายทะเลขาเข้า),ตรงข้ามสะแกงาม,หมู่บ้านเพชรวงแหวน,แยกถนนเอกชัย,หมู่บ้านบางบอนวิลล์,วงแหวนสหกิจออยล์,เมนี่เพลสคอฟฟี่แอนด์เบเกอรี่,ดิเอ็มเพอเรอ นาราสิริ คอเล็คชั่น,วงแหวนเซ็นเตอร์,ตรงข้ามปั๊มคาลเท็กซ์กาญจนาภิเษก,ยูโรเอเซียอินเตอร์เทรด,เดอะมอลล์บางแค,หมู่บ้านศุภวรรณ3,โรงเรียนบางแคเหนือ,โรงเรียนภาษานุสรณ์บางแค,เทสโก้โลตัสบางแค,ซอยเพชรเกษม 62/1ตรงข้ามตลาดบางแค,ซอยเพชรเกษม 62 ตรงข้ามบ้านพักคนชราบางแค,ซอยเพชรเกษม 58/1,ซอยเพชรเกษม 58,ซอยเพชรเกษม 56 ตรงข้ามซีคอนบางแค,ซอยเพชรเกษม 54,ซอยเพชรเกษม 50/4 ตรงข้ามวัดรางบัว,ซอยเพชรเกษม 50 ตรงข้ามศูนย์กีฬากันอริ,วัดจันทร์ประดิษฐาราม,ศาลขุนด่านเจ้าพ่อเสือ,ซอยเพชรเกษม 42,ซอยเพชรเกษม 38,มหาวิทยาลัยสยาม,ซอยเพชรเกษม 36 วัดประดู่บางจาก,ซอยเพชรเกษม 32 ซอยเสริมมิตร,ซอยเพชรเกษม 28 วัดคูหาสวรรค์,โรงพยาบาลบางไผ่,ซอยเพชรเกษม 18 วิบูลย์บริหารธุรกิจ,ซอยเพชรเกษม 14 แยกท่าพระ,สถานีตำรวจบางกอกใหญ่(ซอยคริสตจักร),ซอยจรัญสนิทวงค์ 1,โรงเรียนเสสะเวชวิทยา,วิทยาลัยพาณิชยการธนบุรี,วัดบางเสาธง,ตรงข้ามการไฟฟ้าย่อยคลองมอญ,ศูนย์การค้านครหลวง,"ตรงข้ามโรงพยาบาลศรีวิชัย,วัดรวก",วัดรวกสุทธาราม,ตลาดบางขุนศรี(จรัญสนิทวงศ์35),บางขุนนนท์,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,ซอยจรัญสนิทวงศ์ 43,วัดนายโรง,พาต้าปิ่นเกล้า,สะพานพระปิ่นเกล้า(ขาเข้า),กองสลาก,แยกคอกวัว,อนุสาวรีย์ประชาธิปไตย(ศึกษาภัณฑ์),สภาทนายความ,แยกผ่านฟ้า(ขาออก),"แยกผ่านฟ้า(ขาเข้า),สถานีตำรวจนครบาลนางเลิ้ง",ราชดำเนินคอนโดมิเนียม,ตรงข้ามโรงเรียนเจริญศึกษา,ตรงข้ามตลาดนางเลิ้ง,สี่แยกมหานาค,สนามม้านางเลิ้ง,ตรงข้ามโรงพยาบาลมิชชั่น,"แยกอุรุพงษ์,โคลีเซี่ยม",กรมทางหลวง(ถนนพระราม6),คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล,โรงพยาบาลรามาธิบดี,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,พระราชวังพญาไท,โรงพยาบาลพระมงกุฎเกล้า,อนุสาวรีย์ชัยสมรภูมิ (เกาะดินแดง),ตรงข้ามสวนสันติภาพ,สำนักงาน ป.ป.ส.,รร.พิบูลประชาสรรค์,สถาบันราชานุกูล,ตรงข้ามโบสถ์แม่พระฟาติมา,ตลาดขวัญพัฒนา,"ซอยโพธิ์ปั้น,ที่ทำการไปรษณีย์ดินแดง","แยก อ.ส.ม.ท.,พระราม 9 ซอย 5",สำนักผังเมือง,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย(รฟม.),วิลล่าคาเฟ่ พระราม 9 ซอย 19,ถนนพระราม 9 ซอย 25,ศูนย์โตโยต้าพระราม 9,พระราม 9 พลาซ่า,"ฟู้ดแลนด์,เพอร์เฟคเพลส(รามคำแหง7)","โรงเรียนอนุบาลใจทิพย์,เดอะมอลล์รามคำแหง 3","บิ๊กซีราม,หมู่บ้านเสรี","โรงเรียนวัดเทพลีลา,เมเจอร์รามคำแหง",โรงเรียนวัดเทพลีลา,ซอยรามคำแหง 43/1,ตรงข้ามมหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 59 (ตรงข้ามสนามกีฬา (การกีฬา)),ตรงข้ามสถานีตำรวจหัวหมาก,"ซอยรามคำแหง 77,ตรงข้ามโอสถสภารามคำแหง",ตรงข้ามโรงพยาบาลรามคำแหง (ตรงข้ามบริษัทไทยน้ำทิพย์รามคำแหง),"ซอยรามคำแหง 83/2,โรงแรมแอนดา",โรงแรมอเล็กซานเดอร์,"ซอยโรงงาน,ปั้มน้ำมัน ป.ต.ท.",ตรงข้ามบริษัท กรีนสปอร์ต,"แยกกรุงเทพกรีฑา,หมู่บ้านนักกีฬา",ตรงข้ามเจวีเค,โรงเรียนลำสาลี,ซอยบ้านเอื้ออาทร 7,ซอยบี 5,หมู่บ้านอยู่สบาย,ชุมชนสะฮาดะห์ซอย 26,กรมที่ดินประเวศ,,,,,,,,,,,,,,,,,,,,
ท่าหมู่บ้านนักกีฬา,ตรงข้ามกรมที่ดินประเวศ,ชุมชนสะฮาดะห์,ตรงข้ามมัสยิดดารุนาฮีม,ตรงข้ามหมู่บ้านอยู่สบาย,กรุงเทพกรีฑาซอย C4,บริษัทคอมฟอร์ม,โรงเรียนยุคลธรซอย18,ตรงข้ามหมู่บ้านแสงทอง,หมู่บ้านกฤษณา,สนามกอล์ฟยูนิโก้,สนามกอล์ฟกรุงเทพกรีฑา,ตรงข้ามบ้านเอื้ออาทรซอย7,ตรงข้ามโรงเรียนลำสาลีบำรุงราษฎร์,อาคารเจวีเค,บริษัทกรีนสปอร์ต,ตรงข้ามซอยโรงงาน,โรงแรมอเล็กซ์ซานเดอร์(ตรงข้ามศูนย์ฮอนด้ารามคำแหง),โรงพยาบาลรามคำแหง,บริษัทไทยน้ำทิพย์รามคำแหง,"บริษัทโอสถสภา,ซอยรามคำแหง 26/1","สถานีตำรวจหัวหมาก,สนามกีฬาหัวหมาก",ศูนย์หนังสือมหาวิทยาลัยรามคำแหง,อาคารเศรษฐศาตร์มหาวิทยาลัยรามคำแหง,ซอยรามคำแหง 20(หมู่บ้านเสรี)ตรงข้ามบิ๊กซีราม,เดอะมอลล์รามคำแหง 2,"ตรงข้ามฟู้ดแลนด์,เพอร์เฟคเพลส",แยกถนนพระราม 9,ตรงข้ามศูนย์โตโยต้าพระราม 9,เอส อาร์ แมนชั่น,วิลล่าคาเฟ่,โรงพยาบาลปิยะเวช(ถนนพระราม 9 ขาออก),ตรงข้ามสำนักผังเมือง,อาคารว่องวานิช,"แยก อ.ส.ม.ท.,พระราม 9 ซอย 4",ตรงข้ามซอยโพธิ์ปั้น,ตรงข้ามตลาดขวัญพัฒนา,โบสถ์แม่พระฟาติมา,แฟลตดินแดง(ป้าย1),แฟลตดินแดง(ป้าย2),ตรงข้าม รร.พิบูลประชาสรรค์,ตลาดศรีวานิช,สวนสันติภาพ,อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),โรงพยาบาลเด็ก,โรงเรียนสอนคนตาบอดกรุงเทพ,องค์การเภสัชกรรม,กระทรวงอุตสาหกรรม,ตรงข้ามกรมทางหลวง,แยกอุรุพงษ์,โรงพยาบาลมิชชั่น,ตรงข้ามสนามม้านางเลิ้ง,ซอยนครสวรรค์ 12,ซอยนครสวรรค์ 2,ตรงข้ามโรงเรียนเจริญศึกษา,ราชดำเนินคอนโดมิเนียม,แยกผ่านฟ้า(ขาออก),"วัดราชนัดดา,ลานพลับพลามหาเจษฎาบดินทร์",อนุสาวรีย์ประชาธิปไตย(ตรงข้ามศึกษาภัณฑ์),แยกคอกวัวตรงข้ามกองสลาก,ตรงข้ามกองสลาก,สะพานพระปิ่นเกล้า(ขาออก),ตรงข้ามพาต้าปิ่นเกล้า,โรงเรียนธนกิจ,โรงแรมแฮปปี้อิน,ซอยจรัญสนิทวงศ์ 34/2,ตรงข้ามโรงเรียนจรัญบริหารธุรกิจ,แยกบางขุนนนท์,ตรงข้ามแม็คโครจรัญสนิทวงศ์,"ฟู้ดแลนด์ซูเปอร์มาร์เก็ต,วัดเพลง","โรงพยาบาลศรีวิชัย,วัดรวก",สถานีตำรวจบางกอกน้อย,ตรงข้ามศูนย์การค้านครหลวง,วัดอัมพวา,การไฟฟ้านครหลวงเขตธนบุรี(คลองมอญ),วัดโพธิ์เรียง,ตลาดนางลอย,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),วัดท่าพระ,ซอยจรัญสนิทวงค์ 4,ตรงข้ามสถานีตำรวจบางกอกใหญ่,วัดประดู่ในทรงธรรม,ตรงข้ามวิบูลย์บริหารธุรกิจ,วัดนวลนรดิศ,โรงพยาบาลพญาไท3,"เสริมมิตร,ซอยเพชรเกษม 25/1",ป้ายรถประจำทาง BTSบางหว้า(ทางออก4),ตรงข้ามมหาวิทยาลัยสยาม,ซอยเพชรเกษม 27/1,ตรงข้ามเพชรเกษม 42,ตรงข้ามศาลขุนด่านเจ้าพ่อเสือ,ตรงข้ามวัดจันทร์ประดิษฐาราม,ศูนย์กีฬากันอริ,วัดรางบัว,สถานีกาชาด11วิเศษนิยม,ซีคอนบางแค,ซอยเพชรเกษม 39,บ้านพักคนชราบางแค,ตลาดบางแค,ตรงข้ามเทสโก้โลตัสบางแค,บริษัทนันยางอุตสาหกรรม,บริษัทคาสเซ่อร์พีค,ซอยเพชรเกษม 45/1,ตรงข้ามเดอะมอลล์บางแค,นาวีเจริญทรัพย์,ปั๊มคาลเท็กซ์กาญจนาภิเษก,โชว์รูมรถนำเข้าถนนกาญจนาภิเษก,ตรงข้ามวงแหวนเซ็นเตอร์,สนามกอล์ฟนที,แม็คโครบางบอน,หมู่บ้านบางบอนวิลล์okshopสาขาบางบอน,ปั๊มน้ำมันปตท.กาญจนาภิเษก,โรงพยาบาลบางกอก8อินเตอร์เนชั่นแนล,ปั๊มแก๊ส Lpg,ตรงข้ามหมู่บ้านเพชรวงแหวน,สะแกงาม,พระราม 2 ซอย 66,เคหะธนบุรี(บิ๊กซีการเคหะพระราม2),โรงพยาบาลพระราม 2,การเคหะแห่งชาติบางขุนเทียน,เคหะการไฟฟ้า,เคหะธนบุรี(โลตัสพระราม2),ซอยเทียนทะเล 16,หน้ากีโต้ไทยแลนด์,ตรงข้ามซอยเทียนทะเล 16,โรงงานkt(ถนนบางขุนเทียน-ชายทะเลขาออก),ซอยเทียนทะเล 11,ตรงข้ามหมู่บ้านชายทะเล,ซอยเทียนทะเล 17,สี่แยกสุขสวัสดิ์-บางขุนเทียน,อู่รถเมล์ บริษัท วังศกาญจน์กิจ(บางขุนเทียน)
