1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133
ViriyawongBusDepot,BigCKahaRam2,PhraRam2Hospita,NationalHousingBang,YaekHuaKrabue,OppositeBangKhunThianDistrictOffice,CentralRama2,OppositeThaKham,SanChaomaeNgu,WatKok,Bangmod,ThanakhanAkhanSongkhro,SamakhomHinNaenHaengPrathetThai,WatSisuk,ChanPhring,ToyotaCenterWatPuttabucha,Bangpakokhospita,Pothong,JomthongDistrict,TalatBangPaKaeo,WatNakNiMitSukSawat8,SoiPlangAnuson,Daokhanong,BigCDaoKhanong,MahaiSawan,RatchadaphisekSoi5,ThanachartBank,OppositeTheMallThapra,Ratchada-ThaPhraHospital,ThaPhraIntersection,WatPraduNaiSongtham,OppositeViboonCollege,WatNuannoradit,Phyathai3Hospital,SermitPhetkasemSoi25/1,BusStopBTSBangwa(Exit4),OppositeSiamUniversity,Phetkasem27/1,OppositePhetkasem42,OppositeKhundanChaoporsuaShrine,OppositeWatChanpradittharam,Kan-AriSportClub,WatRangbua,RedCrossStation11(Wisetniyom),SeaconBangkae,Phetkasem39,BangkaeHomeFoundation,BangkaeMarket,OppositeTescoLotusBangkae,NanyangIndustrial,CastlePeakCompany,Phetkasem45/1,OppositeTheMallBangkae,NawiCharoenSap,PamKhanThekKanchanaPhiSek,KanchanaPhiSek,OppositeWongwaenCenter,NatheeGolf,MakroBangbon,MubanBangBonBangBon2,PamnamManPotothoKanchanaPhiSek,RongphayabanBangkok8International,PamkaetLpg,OppositeMubanPhetWongwaen,SakaeNgam,PhraRamThi2Soi66,ViriyawongBusDepot[TransferStop]
blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa,blankjaa
