from,to,distance
OppositeWatThepleela,RongrianWatThepLila,505.1983367033477
RongrianWatThepLila,PakSoiSoiRamKhamHang43/1,482.2233126507207
PakSoiSoiRamKhamHang43/1,OppositeRamkhamhaengUniversity,439.4710782065508
OppositeRamkhamhaengUniversity,SoiRamkhamhaeng59(OppositeTheStadium(Sports)),483.37687960754056
SoiRamkhamhaeng59(OppositeTheStadium(Sports)),MakPoliceStation,388.5810295144338
MakPoliceStation,AmkhamhaengSoi77OppositeOsotspaUniversity.,411.0924019182273
AmkhamhaengSoi77OppositeOsotspaUniversity.,OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),486.7855635612112
OppositeRamkhamhaengHospital(OppositeThaiNamthipRamkhamhaeng),SoiRamkhamhaeng83/2HotelsAnda.,410.9284257305037
SoiRamkhamhaeng83/2HotelsAnda.,HotelAlexander'S,357.4720301386664
HotelAlexander'S,TheMallBangkapi,524.6434492329486
TheMallBangkapi,MakroLadprao,483.49676280028683
MakroLadprao,TawanNa2,411.35253374628206
TawanNa2,OppositeRongphayabanWetThani,493.1470619476948
OppositeRongphayabanWetThani,OppositeLatPhrao107,425.3965995982098
OppositeLatPhrao107,LatPhrao130/1,380.332604727029
LatPhrao130/1,RongrianSonKhomphiotoeSaek-LatPhrao,429.63041541592946
RongrianSonKhomphiotoeSaek-LatPhrao,LatPhraoSoi126,525.0365225151484
LatPhraoSoi126,SoiLatPhrao122,470.9293431599092
SoiLatPhrao122,OppositeLatPhraoHospital,487.05767901319234
OppositeLatPhraoHospital,OppositeFutLaen,349.20719311015256
OppositeFutLaen,LatPhraoSoi114BangkokSuksaSchool,351.4885356240366
LatPhraoSoi114BangkokSuksaSchool,LatPhraoSoi112BangkokSuksaSchool,432.7736561396135
LatPhraoSoi112BangkokSuksaSchool,OppositeSamnaknganKhetWangThonglang,361.3721780991893
OppositeSamnaknganKhetWangThonglang,OppositeImperialLatPhrao,494.43022500980226
OppositeImperialLatPhrao,LatPhrao92,421.39150740868996
LatPhrao92,Ladplaow71,510.31006902984024
Ladplaow71,LatPhraoSoi80,433.10141890129955
LatPhraoSoi80,OppositeLatPhaoPostOffice,482.8626396906083
OppositeLatPhaoPostOffice,SoiLatPhraoSoi64,394.1821904044228
SoiLatPhraoSoi64,KromPhaenthiThahan,359.74269343929615
KromPhaenthiThahan,LatPhraoSoi58,405.48232827710905
LatPhraoSoi58,OppositeLatPhraoSaphan2Market,365.11769500398896
OppositeLatPhraoSaphan2Market,PhibunUpathamSchool,481.15409066705706
PhibunUpathamSchool,Phawana,357.6853071070886
Phawana,SoiLatPhrao42,408.81848380135057
SoiLatPhrao42,SoiLatPhrao40,425.7659248232247
SoiLatPhrao40,SoiLatPhrao38,426.0848232732347
SoiLatPhrao38,YaekRatDa,384.95774919529845
YaekRatDa,SoiLatPhrao28,458.45284248230985
SoiLatPhrao28,BusStopMRTLatPhraoStation,511.06274117768015
BusStopMRTLatPhraoStation,SoiLatPhrao26,405.70230830132175
SoiLatPhrao26,SoiLatPhrao22,475.8724595165263
SoiLatPhrao22,SoiLatPhrao20,395.3635891895595
SoiLatPhrao20,LatPhraoSoi14,440.40393744812314
LatPhraoSoi14,SoiLatPhrao12,500.435770079534
SoiLatPhrao12,SiamComercialBankLatphrao,550.4044141554988
SiamComercialBankLatphrao,OppositeAkhanPhromPhan,454.3198521324708
OppositeAkhanPhromPhan,LatPhraoIntersection(LatPhraoSoi4),491.3517577004097
LatPhraoIntersection(LatPhraoSoi4),PakThangLatPhrao-WiphawadiRangSit,446.58744794664887
PakThangLatPhrao-WiphawadiRangSit,BusStopMRTPhahonyothin(Exit3),427.96214067678494
